Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,1629,3051,3325,0.766,0.383,9.555,str('t-test'),str('bounded'),10
Failed,,,2998,559,2302,0.13,0.562,4.143,str('ks-test'),str('bounded'),50
Failed,,,4242,4286,3763,0.547,0.832,2.271,str('t-test'),str('bounded'),37
Failed,,,602,2456,1726,0.243,0.838,1.657,str('ks-test'),str('bounded'),34
Failed,,,637,4229,501,0.006,0.924,3.131,str('t-test'),str('bounded'),14
Failed,,,4585,1723,3873,0.891,0.012,8.075,str('ks-test'),str('bounded'),28
Failed,,,3339,3123,2251,0.287,0.346,6.197,str('t-test'),str('bounded'),41
Failed,,,2131,1114,4605,0.981,0.36,5.581,str('ks-test'),str('bounded'),44
Failed,,,1931,3581,2475,0.454,0.786,2.912,str('ks-test'),str('bounded'),6
Failed,,,3301,1092,3152,0.567,0.154,8.284,str('t-test'),str('bounded'),41
Failed,,,4544,4690,394,0.235,0.492,5.158,str('ks-test'),str('bounded'),29
Failed,,,675,2202,3980,0.847,0.578,1.039,str('t-test'),str('bounded'),19
Failed,,,562,4171,2700,0.899,0.663,3.783,str('ks-test'),str('bounded'),35
Failed,,,4198,1664,1678,0.014,0.282,9.933,str('t-test'),str('bounded'),25
Failed,,,2944,2869,4389,0.681,0.115,6.81,str('ks-test'),str('bounded'),13
Failed,,,1809,361,1236,0.295,0.95,1.906,str('t-test'),str('bounded'),48
Failed,,,1528,4382,4988,0.091,0.191,0.169,str('ks-test'),str('bounded'),35
Failed,,,2581,1895,639,0.945,0.87,6.05,str('t-test'),str('bounded'),20
Failed,,,3834,3263,2926,0.372,0.517,7.922,str('ks-test'),str('bounded'),7
Failed,,,74,37,259,0.926,0.531,8.543,str('t-test'),str('bounded'),10
Failed,,,1210,3221,1500,0.822,0.741,6.288,str('ks-test'),str('bounded'),44
Failed,,,4841,709,2875,0.217,0.328,2.438,str('t-test'),str('bounded'),4
Failed,,,3585,4448,749,0.603,0.037,4.315,str('ks-test'),str('bounded'),17
Failed,,,2198,1356,3725,0.159,0.043,4.924,str('t-test'),str('bounded'),13
Failed,,,2235,4636,2126,0.937,0.461,2.061,str('t-test'),str('bounded'),19
Failed,,,3600,2149,3499,0.083,0.609,6.648,str('ks-test'),str('bounded'),29
Failed,,,4847,3322,124,0.718,0.754,9.775,str('t-test'),str('bounded'),42
Failed,,,981,833,4253,0.364,0.186,3.933,str('ks-test'),str('bounded'),7
Failed,,,244,2805,2975,0.384,0.084,1.209,str('t-test'),str('bounded'),47
Failed,,,3874,297,1400,0.528,0.981,5.019,str('ks-test'),str('bounded'),12
Failed,,,2618,3922,4744,0.166,0.632,8.142,str('t-test'),str('bounded'),25
Failed,,,1488,1415,884,0.809,0.313,3.086,str('ks-test'),str('bounded'),35
Failed,,,1847,3639,4632,0.575,0.549,4.784,str('t-test'),str('bounded'),47
Failed,,,2903,1151,993,0.462,0.385,8.941,str('ks-test'),str('bounded'),7
Failed,,,4160,4944,2652,0.855,0.223,7.069,str('t-test'),str('bounded'),19
Failed,,,440,1191,3575,0.843,0.907,7.621,str('t-test'),str('bounded'),15
Failed,,,785,3004,4825,0.908,0.822,7.24,str('ks-test'),str('bounded'),33
Failed,,,4417,497,803,0.054,0.237,1.554,str('t-test'),str('bounded'),21
Failed,,,3170,4348,3055,0.627,0.4,4.682,str('ks-test'),str('bounded'),8
