Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Completed,0.55,439,503,3301,4568,0.62,0.453,1.089,str('t-test'),str('bounded'),5
Completed,0.55,7638,2300,3556,1283,0.785,0.284,6.765,str('ks-test'),str('bounded'),8
Completed,0.55,3423,3414,3174,2700,0.96,0.24,3.014,str('ks-test'),str('bounded'),7
Completed,0.55,151,972,1573,3631,0.796,0.1,3.474,str('t-test'),str('bounded'),4
Completed,0.55,5621,1831,1535,344,0.609,0.146,9.301,str('ks-test'),str('bounded'),7
Completed,0.55,2241,2633,1778,4259,0.628,0.316,0.55,str('ks-test'),str('bounded'),6
Completed,0.55,325,4362,1484,1773,0.535,0.998,0.218,str('t-test'),str('bounded'),4
Completed,0.55,5510,3502,1661,4743,0.87,0.762,7.011,str('ks-test'),str('bounded'),7
Completed,0.55,2007,2036,1279,1120,0.883,0.714,3.261,str('ks-test'),str('bounded'),6
Completed,0.55,11188,999,1078,4611,0.963,0.638,5.021,str('ks-test'),str('bounded'),8
Completed,0.55,2909,4540,691,773,0.789,0.838,3.772,str('ks-test'),str('bounded'),6
Completed,0.55,817,1858,818,1336,0.629,0.625,2.128,str('t-test'),str('bounded'),5
Failed,,,4144,802,1590,0.934,0.508,9.275,str('t-test'),str('full'),629
Failed,,,3996,4256,4370,0.538,0.098,7.668,str('ks-test'),str('full'),1364
Failed,,,2214,1809,1348,0.414,0.681,1.634,str('t-test'),str('bounded'),4787
Failed,,,1232,2525,3410,0.991,0.956,4.833,str('ks-test'),str('bounded'),2621
Failed,,,2554,83,1053,0.117,0.265,5.869,str('t-test'),str('full'),1072
Failed,,,3482,3563,2438,0.24,0.487,9.563,str('ks-test'),str('bounded'),3626
Failed,,,303,999,4524,0.864,0.796,0.99,str('t-test'),str('full'),184
Failed,,,1286,4664,273,0.287,0.567,2.936,str('ks-test'),str('full'),2392
Failed,,,4924,2105,2944,0.661,0.15,6.51,str('t-test'),str('bounded'),3959
Failed,,,4839,4436,1466,0.019,0.91,0.733,str('t-test'),str('full'),4959
Failed,,,1455,2001,4068,0.893,0.369,9.97,str('ks-test'),str('bounded'),1506
Failed,,,82,3667,1136,0.441,0.02,6.769,str('t-test'),str('bounded'),1215
