Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.06,127,2378,4677,2.889,0.046,False,False
Completed,0.05,364,1654,1383,1.972,0.039,False,False
Completed,0.06,89,869,3088,8.035,0.013,False,False
Completed,0.06,92,4251,2927,7.422,0.006,False,False
Completed,0.06,325,3154,1508,2.569,0.031,False,False
Completed,0.08,139,2743,4467,2.277,0.035,False,False
Completed,0.06,106,4780,1183,7.716,0.011,False,False
Completed,0.07,115,3859,3568,3.107,0.01,False,False
Completed,0.11,356,4575,1612,0.086,0.022,False,False
Completed,0.06,90,3207,4575,9.292,0.032,False,False
Completed,0.05,141,2676,1009,4.733,0.032,False,False
Completed,0.05,652,572,409,2.802,0.014,False,False
Completed,0.06,106,1984,3987,7.206,0.038,False,False
Completed,0.06,90,1417,1988,7.655,0.046,False,False
Completed,0.07,166,945,3701,2.353,0.021,False,False
Completed,0.05,128,996,556,5.336,0.034,False,False
Completed,0.06,88,1449,3842,4.662,0.01,False,False
Completed,0.1,314,2017,2130,0.502,0.001,False,False
Completed,0.06,88,1247,4108,7.48,0.023,False,False
Completed,0.05,157,2223,2072,3.153,0.037,False,False
Completed,0.07,378,1387,2682,1.369,0.027,False,False
Completed,0.06,119,174,959,8.0,0.013,False,False
Completed,0.06,102,3701,1107,6.945,0.007,False,False
Completed,0.06,110,4754,2517,3.673,0.042,False,False
Completed,0.06,115,2354,3866,8.095,0.024,False,False
Completed,0.07,299,1063,2455,1.288,0.035,False,False
Completed,0.06,116,523,3205,7.039,0.036,False,False
Completed,0.06,92,4543,3638,7.245,0.045,False,False
Completed,0.06,98,4371,1748,7.921,0.041,False,False
Completed,0.09,226,2845,4399,1.448,0.005,False,False
Completed,0.07,85,708,4545,3.44,0.014,False,False
Completed,0.06,114,2073,1581,7.179,0.028,False,False
Completed,0.06,110,1818,3510,7.674,0.037,False,False
Completed,0.04,760,373,234,1.709,0.023,False,False
Completed,0.06,93,346,4447,5.66,0.049,False,False
Completed,0.06,100,1869,1796,4.968,0.01,False,False
Completed,0.11,489,2044,3607,0.493,0.002,False,False
Completed,0.06,1588,753,19,8.88,0.041,False,False
Completed,0.06,226,2874,187,6.185,0.029,False,False
Completed,0.06,90,4317,3462,4.438,0.018,False,False
Completed,0.06,93,1682,4767,8.776,0.048,False,False
Completed,0.1,332,470,1491,0.604,0.013,False,False
Completed,0.06,123,1033,2929,6.081,0.012,False,False
Completed,0.06,104,3885,2732,5.896,0.021,False,False
Completed,0.06,137,4724,2044,8.96,0.019,False,False
Completed,0.11,385,3746,4080,0.415,0.03,False,False
Completed,0.06,87,203,4245,4.672,0.039,False,False
Completed,0.06,107,1334,1896,5.952,0.001,False,False
Completed,0.06,106,2256,2546,9.216,0.011,False,False
Completed,0.11,363,1200,1134,0.163,0.049,False,False
Completed,0.06,114,2579,2271,3.671,0.047,False,False
Completed,0.06,98,4022,3994,6.963,0.008,False,False
Completed,0.06,148,4899,924,7.561,0.004,False,False
Completed,0.07,327,3532,2959,1.808,0.043,False,False
Completed,0.06,142,26,3104,3.253,0.026,False,False
Completed,0.06,142,1549,757,7.365,0.015,False,False
Completed,0.06,134,4632,1285,4.061,0.039,False,False
Completed,0.06,105,3184,4883,5.322,0.001,False,False
Completed,0.07,423,2811,633,1.134,0.002,False,False
Completed,0.04,250,1654,553,3.594,0.025,False,False
Completed,0.08,206,1945,4982,1.575,0.015,False,False
Completed,0.06,108,890,1393,7.794,0.026,False,False
Completed,0.06,112,2971,1541,7.286,0.043,False,False
Completed,0.06,108,4181,4817,3.333,0.005,False,False
Completed,0.05,762,4400,428,1.524,0.007,False,False
Completed,0.06,91,3421,3392,7.859,0.045,False,False
Completed,0.05,118,3391,1366,4.471,0.019,False,False
Completed,0.06,99,4444,4953,6.159,0.033,False,False
Completed,0.06,147,4155,604,9.3,0.031,False,False
Completed,0.1,407,3021,3254,0.074,0.017,False,False
Completed,0.06,99,923,3419,4.878,0.003,False,False
Completed,0.06,184,1898,456,5.746,0.038,False,False
Completed,0.08,257,4986,4156,1.213,0.013,False,False
Completed,0.05,114,3916,1094,4.248,0.003,False,False
Completed,0.06,92,2626,2808,5.135,0.038,False,False
Completed,0.05,152,2398,892,4.547,0.047,False,False
Completed,0.1,292,1523,4042,0.306,0.039,False,False
Completed,0.06,88,77,2318,9.066,0.003,False,False
Completed,0.06,92,3564,2486,5.824,0.017,False,False
Completed,0.06,88,4852,3897,4.798,0.031,False,False
Completed,0.11,409,4050,709,0.367,0.034,False,False
Completed,0.06,95,2525,3057,9.01,0.02,False,False
Completed,0.06,87,442,4695,9.579,0.019,False,False
Completed,0.07,381,1729,1411,1.053,0.03,False,False
Completed,0.06,97,2182,3348,4.112,0.032,False,False
Completed,0.05,156,658,376,5.256,0.021,False,False
Completed,0.06,119,2895,523,9.825,0.011,False,False
Completed,0.1,411,4262,3184,0.792,0.049,False,False
Completed,0.09,140,4085,4481,1.898,0.035,False,False
Completed,0.04,762,4494,120,2.623,0.026,False,False
Completed,0.06,89,3283,3719,6.755,0.016,False,False
Completed,0.06,106,3785,2972,9.5,0.041,False,False
Completed,0.06,91,4824,2409,5.021,0.049,False,False
Completed,0.06,102,3612,3812,4.349,0.011,False,False
Completed,0.1,314,784,3688,0.979,0.034,False,False
Completed,0.06,433,1993,90,9.641,0.021,False,False
Completed,0.06,105,1586,4527,5.215,0.016,False,False
Completed,0.05,122,610,1867,4.169,0.03,False,False
Completed,0.06,91,1015,2622,9.939,0.031,False,False
Completed,0.1,344,2460,1220,0.693,0.017,False,False
Completed,0.07,92,1463,4320,3.83,0.019,False,False
Completed,0.06,91,93,1981,5.538,0.033,False,False
Completed,0.04,2986,3004,6,1.849,0.032,True,False
Completed,0.06,90,3465,2129,9.404,0.048,False,False
Completed,0.11,321,4954,2582,0.002,0.026,False,False
Completed,0.06,104,3959,2019,4.52,0.035,False,False
Completed,0.06,90,2592,4358,6.113,0.024,False,False
Completed,0.06,239,2595,2032,2.195,0.015,False,False
Completed,0.06,90,3961,4370,8.433,0.026,False,False
Completed,0.06,99,4961,1192,6.419,0.036,False,False
Completed,0.07,127,3514,2593,2.954,0.025,False,False
Completed,0.07,253,127,2757,2.134,0.007,False,False
Completed,0.06,105,1415,1045,8.49,0.046,False,False
Completed,0.06,91,2488,4183,6.676,0.043,False,False
Completed,0.05,200,963,2158,2.703,0.004,False,False
Completed,0.06,93,578,3590,8.2,0.004,False,False
Completed,0.04,590,1632,305,2.428,0.043,False,False
Completed,0.07,100,1968,4625,3.031,0.047,False,False
Completed,0.06,95,833,1652,6.342,0.008,False,False
Completed,0.06,93,3111,1819,8.725,0.024,False,False
Completed,0.06,90,4282,4216,8.43,0.036,False,False
Completed,0.06,101,4844,940,6.121,0.03,False,False
Completed,0.11,321,3402,3352,0.349,0.006,False,False
Completed,0.07,602,3290,133,0.342,0.025,False,False
Completed,0.06,89,4501,3731,9.041,0.036,False,False
Completed,0.06,98,4087,1832,5.811,0.026,False,False
Completed,0.06,96,3113,4492,4.807,0.015,False,False
Completed,0.11,293,836,4617,0.237,0.005,False,False
Completed,0.06,96,1971,1645,9.131,0.043,False,False
Completed,0.06,90,1640,3582,6.033,0.045,False,False
Completed,0.05,147,585,298,4.599,0.007,False,False
Completed,0.06,88,961,4191,8.808,0.008,False,False
Completed,0.1,326,2485,2165,0.575,0.047,False,False
Completed,0.06,91,1407,2765,4.884,0.043,False,False
Completed,0.06,105,120,1052,5.735,0.004,False,False
Completed,0.06,99,3507,1179,9.367,0.015,False,False
Completed,0.06,103,3502,2355,3.997,0.043,False,False
Completed,0.06,89,4583,4435,9.453,0.019,False,False
Completed,0.06,343,3874,96,7.242,0.025,False,False
Completed,0.07,371,2618,1082,1.529,0.047,False,False
Completed,0.06,91,3909,2795,7.848,0.011,False,False
Completed,0.06,105,4984,2117,7.318,0.003,False,False
Completed,0.07,95,3462,4143,3.304,0.039,False,False
Completed,0.06,88,1785,3063,8.15,0.013,False,False
Completed,0.03,815,50,143,2.694,0.039,False,False
Completed,0.1,374,905,4388,0.608,0.045,False,False
Completed,0.06,93,2336,2405,6.085,0.019,False,False
Completed,0.06,100,3060,2335,8.484,0.006,False,False
Completed,0.07,94,3857,4628,3.027,0.031,False,False
Completed,0.09,452,4565,219,0.239,0.037,False,False
Completed,0.06,87,3447,2826,5.716,0.012,False,False
Completed,0.06,254,2558,1491,2.638,0.012,False,False
Completed,0.06,107,1927,3959,8.671,0.039,False,False
Completed,0.06,221,1162,1586,2.879,0.015,False,False
Completed,0.1,320,464,3574,0.111,0.022,False,False
Completed,0.07,115,1350,3281,2.894,0.021,False,False
Completed,0.06,135,563,1182,8.686,0.044,False,False
Completed,0.06,88,938,4290,5.829,0.038,False,False
Completed,0.11,403,2068,1255,0.058,0.014,False,False
Completed,0.06,95,2089,3283,9.587,0.033,False,False
Completed,0.04,215,1000,1007,3.795,0.007,False,False
Completed,0.08,241,624,4148,1.652,0.001,False,False
Completed,0.06,104,1373,1561,7.423,0.027,False,False
Completed,0.09,1818,2213,32,0.635,0.048,True,False
Completed,0.06,96,3381,1324,9.883,0.049,False,False
Completed,0.06,92,4782,4223,4.091,0.024,False,False
Completed,0.06,489,4221,1250,1.401,0.018,False,False
Completed,0.06,101,2535,3211,7.173,0.043,False,False
Completed,0.06,94,1623,4969,9.696,0.01,False,False
Completed,0.05,114,212,1992,4.239,0.034,False,False
Completed,0.07,301,745,2544,1.529,0.027,False,False
Completed,0.08,221,3117,3113,1.765,0.049,False,False
Completed,0.06,114,2280,2876,4.37,0.025,False,False
Completed,0.06,244,887,172,9.827,0.001,False,False
Completed,0.06,90,33,4676,6.913,0.008,False,False
Completed,0.07,286,1728,2285,1.436,0.032,False,False
Completed,0.05,419,3655,513,3.081,0.036,False,False
Completed,0.06,93,4430,2533,8.538,0.01,False,False
Completed,0.06,98,4024,2003,5.702,0.004,False,False
Completed,0.1,301,2966,4961,0.224,0.029,False,False
