Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.91,4839,4241,447,1.473,0.037,True,True
Completed,0.47,26,1982,2048,2.597,0.038,False,False
Completed,0.79,39,3449,1945,0.368,0.028,False,False
Completed,0.19,21,4208,3183,6.421,0.011,False,False
Completed,0.19,32,4837,725,9.021,0.006,False,False
Completed,0.19,24,2820,4463,2.963,0.033,False,False
Completed,0.77,58,2434,924,0.362,0.016,False,False
Completed,0.19,23,268,3426,7.851,0.028,False,False
Completed,0.19,23,694,1744,6.681,0.036,False,False
Completed,0.92,4593,2700,301,9.645,0.049,True,True
Completed,0.62,26,3949,4163,1.767,0.013,False,False
Completed,0.37,27,4588,1620,4.357,0.021,False,False
Completed,0.19,21,2756,2882,7.607,0.041,False,False
Completed,0.19,22,1737,2985,5.378,0.031,False,False
Completed,0.69,30,1232,1752,1.43,0.008,False,False
Completed,0.19,23,621,4344,3.991,0.003,False,False
Completed,0.19,21,2887,4491,8.122,0.012,False,False
Completed,0.73,46,4433,1989,0.555,0.045,False,False
Completed,0.19,26,4002,2884,4.291,0.041,False,False
Completed,0.35,30,3709,387,6.722,0.003,False,False
Completed,0.92,3292,907,218,0.966,0.009,False,True
Completed,0.92,1597,4967,128,4.624,0.014,False,True
Completed,0.19,28,2145,604,7.617,0.02,False,False
Completed,0.77,66,566,3106,0.127,0.038,False,False
Completed,0.44,24,994,2045,3.78,0.027,False,False
Completed,0.19,21,1326,4542,6.29,0.017,False,False
Completed,0.19,22,4853,2233,8.064,0.014,False,False
Completed,0.19,22,3117,3500,3.881,0.049,False,False
Completed,0.92,2521,1330,241,6.628,0.012,True,True
Completed,0.78,57,1361,4672,0.031,0.045,False,False
Completed,0.19,25,671,906,6.797,0.016,False,False
Completed,0.19,21,49,3314,9.348,0.024,False,False
Completed,0.19,23,1815,1482,9.44,0.048,False,False
Completed,0.19,21,2430,3319,5.979,0.043,False,False
Completed,0.59,24,1082,786,2.572,0.017,False,False
Completed,0.78,778,2098,582,0.178,0.038,True,False
Completed,0.63,28,3315,757,1.371,0.004,False,False
Completed,0.19,21,4428,3270,9.837,0.031,False,False
Completed,0.19,25,3791,1355,5.762,0.036,False,False
Completed,0.19,23,2677,3839,2.959,0.012,False,False
Completed,0.81,803,2783,1542,0.067,0.023,True,False
Completed,0.19,30,3629,482,9.556,0.013,False,False
Completed,0.19,21,1616,4241,4.171,0.02,False,False
Completed,0.77,51,2551,4151,0.164,0.002,False,False
Completed,0.19,25,4760,1649,7.731,0.042,False,False
Completed,0.19,21,4327,3165,6.488,0.044,False,False
Completed,0.56,23,3374,668,4.057,0.012,False,False
Completed,0.66,5500,3938,521,1.745,0.035,True,False
Completed,0.19,30,765,432,5.87,0.025,False,False
Completed,0.93,865,4637,54,8.685,0.036,False,True
Completed,0.73,37,720,4855,1.172,0.034,False,False
Completed,0.19,25,2184,2370,7.705,0.007,False,False
Completed,0.19,26,1552,3036,6.781,0.002,False,False
Completed,0.18,26,87,522,4.584,0.026,False,False
