Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.84,143,2075,6,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,109,4285,231,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,52,2233,84,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,45,1312,631,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,13,5000,4783,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,38,5000,939,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.53,11,1,2191,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,40,2101,59,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,21,2003,8,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,26,2052,68,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,43,2086,43,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,50,2061,30,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,44,2021,14,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,11,1,12,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,10,2001,42,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,197,2020,1,0.144,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,404,4587,46,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,16,5000,3077,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,481,4792,51,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.52,15,1,3955,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,37,2060,35,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,37,2029,19,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,259,4799,81,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,43,2043,24,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,40,2128,76,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,59,2038,12,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,373,4412,53,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,75,2879,176,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,80,2024,4,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,47,2148,58,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,16,4680,3089,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,227,4369,113,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,102,4273,308,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,87,4571,337,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,72,3416,281,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,134,5000,198,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,3083,2564,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,491,1985,37,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,95,1986,298,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1281,1931,11,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,79,4516,443,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,30,5000,1696,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,79,3549,252,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,136,5000,171,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,15,2012,50,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,776,1984,25,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,876,2158,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,26,5000,1798,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,151,4050,215,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,95,4484,305,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
