Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.85,362,4793,4489,0.614,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,348,763,5000,0.633,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,423,4894,5000,0.658,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,287,99,913,0.787,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,466,1471,1256,0.743,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,777,1,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,300,391,4564,0.588,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,325,233,5000,0.587,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,219,278,3799,0.071,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,456,1760,1266,0.292,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,207,353,4791,0.061,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,271,67,312,0.831,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.45,267,1,1328,0.722,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,380,788,1132,0.754,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,377,1230,1207,0.334,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,411,2757,1048,0.873,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.43,286,1,455,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,231,2696,3572,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,332,2894,1136,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,469,2540,1188,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,874,2804,3521,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,1071,3117,3857,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,937,1259,3216,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,623,4762,787,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,372,2495,847,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,492,2906,1139,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,1403,4240,360,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,362,2813,1226,0.282,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,259,3085,3689,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,833,5000,3213,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,400,2439,875,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,230,2675,3161,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,871,2663,3366,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,994,3147,3582,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,630,4681,1954,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,445,5000,865,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,484,3055,1022,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,437,4207,1089,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,240,2674,2026,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,843,3105,3371,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,267,2765,3742,0.278,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,212,2527,3903,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,293,4247,3573,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,230,2544,2802,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,244,1,287,0.107,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,409,4172,1749,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,279,956,1863,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,696,2429,2377,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,235,2910,2817,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,286,4431,3026,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,285,4562,3429,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,257,3237,2778,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,238,63,303,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,694,4155,2480,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,273,4025,3724,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,591,3891,1684,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,196,2181,3143,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,692,2062,2674,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,306,4128,3308,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,630,2739,2129,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,232,2584,2594,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,576,2770,1881,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,730,3860,2605,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,1149,2509,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,351,3960,1826,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,681,1800,2230,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,204,2424,4005,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,215,2472,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
