Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.54,28,1,2311,0.696,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,14,5000,2437,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,35,1,2598,0.763,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,21,1812,997,0.506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,13,438,4241,0.44,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,13,5000,4486,0.156,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,12,5000,4349,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,10,1,140,0.217,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,88,5000,169,0.173,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,26,3511,1114,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,38,1,1976,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,11,1,141,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,25,1,2402,0.596,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,68,2795,95,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,13,2026,125,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,98,1703,120,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,109,2867,51,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,19,2117,77,0.565,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,134,3996,121,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,25,2057,33,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,30,3418,365,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,201,1718,50,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,17,2149,126,0.455,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,195,3701,62,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,173,1861,75,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,38,2712,142,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,202,5000,63,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,121,5000,142,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,318,3066,28,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,49,3297,282,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,13,2003,39,0.602,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,23,5000,930,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,25,2964,412,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,29,4562,610,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,20,3513,810,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,40,5000,373,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,97,2826,53,0.497,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,17,4240,1404,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,19,3787,1011,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,114,1797,101,0.361,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,130,1195,82,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,72,1189,128,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,68,1136,140,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,138,519,22,0.474,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,20,3980,1133,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,666,1453,16,0.422,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,11,1,41,0.486,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,12,1,15,0.466,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,167,1161,47,0.454,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,15,3556,1771,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,11,1,24,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,11,1,29,0.421,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,19,5000,1102,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,15,2985,1391,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,51,2500,72,0.281,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,11,1,106,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,11,1,55,0.536,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,15,3364,1247,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,62,718,84,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,121,3062,63,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,479,5000,32,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,17,5000,1570,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,157,2380,22,0.424,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,16,3802,1552,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,14,3199,1616,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,144,5000,118,0.912,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,19,4207,1294,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,19,84,70,0.531,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,185,1549,57,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,260,3715,40,0.471,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,315,861,17,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
