Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.91,22,5000,32,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,10,5000,63,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,15,5000,44,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,5000,116,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2599,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,120,5000,7,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,4057,115,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3275,0.195,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,35,5000,18,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1391,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,4,4507,122,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2779,2140,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1810,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,4452,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,3,3331,116,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2337,2745,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,9,5000,69,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3677,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2989,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,18,5000,38,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,12,5000,53,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,13,4587,49,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,52,3918,14,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,21,3804,33,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,9,3774,60,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,27,3907,24,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,17,4135,44,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,94,4005,7,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,8,3942,68,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,6,3720,94,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,28,3379,21,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,19,4522,44,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,4879,113,0.435,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4187,325,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,31,4609,21,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,58,4623,13,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,9,4235,75,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,666,4563,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,3,2773,115,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,9,4483,86,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,5,4351,123,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2975,312,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,15,3795,40,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,41,4008,19,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,4208,110,0.489,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,56,3644,10,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,11,4550,61,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,35,4418,24,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,21,4125,35,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,10,3751,72,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,86,4377,8,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2686,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1797,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,11,3867,51,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1702,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,4,3107,103,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,2456,106,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,3488,103,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,3,3065,116,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3554,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,4871,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,10,3293,57,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,21,3807,28,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2090,1716,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2729,1914,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4337,435,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2716,4909,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2178,359,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,7,3974,85,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
