Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.67,304,2754,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,452,1728,3051,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,538,2050,80,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1002,2614,300,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,984,2622,577,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,583,2476,3628,0.922,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,356,2836,4312,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,626,1737,2689,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,242,376,4639,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,317,2394,2825,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,317,1792,4494,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,362,2584,1454,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,841,1830,3678,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,512,3397,3514,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,424,420,1480,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,322,2531,2506,0.281,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,824,2629,763,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,338,766,4269,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,498,3749,4477,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,326,615,3874,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,497,211,3307,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,863,2542,429,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,2318,2498,53,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,309,1256,4492,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,174,141,3696,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1453,2533,323,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,363,653,1622,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,768,751,4914,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,165,157,4326,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,179,2355,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,401,1030,5000,0.49,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,647,3225,4110,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,312,999,2492,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1303,2504,152,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,266,150,3456,0.388,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,394,1201,2846,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,677,2557,607,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,177,135,2853,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,399,2542,1511,0.609,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,383,2416,1885,0.773,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,351,1764,4134,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,190,2379,3785,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,391,425,1329,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,152,26,3373,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,157,40,2534,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,419,695,1323,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,1533,2426,76,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,172,2182,4589,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,163,94,4581,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,260,593,2957,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,368,156,1811,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,451,721,983,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,180,6,2766,0.2,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,328,1971,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1568,2524,271,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,355,4801,4470,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,296,1592,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,304,677,2259,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,160,70,3784,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,382,4737,4799,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,466,804,1717,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,197,100,2171,0.035,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,434,4543,4549,0.137,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,406,2504,1529,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,445,4064,4198,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1087,2535,365,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,458,5000,4696,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,250,303,3161,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1334,2395,130,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,418,2548,1118,0.382,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,390,1024,3150,0.398,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,478,4142,2933,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,894,2450,356,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,400,697,1173,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,722,2502,481,0.465,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,459,3172,2962,0.571,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,615,2436,538,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,439,2413,1273,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,586,2506,689,0.54,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1205,2452,279,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,382,2435,1128,0.558,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,548,2505,833,0.551,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,518,2514,762,0.53,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,869,2513,561,0.55,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,747,2493,433,0.637,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,1642,2452,149,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,478,2530,965,0.433,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1059,2476,327,0.652,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,849,2490,380,0.504,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,600,2636,1781,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1292,2473,183,0.563,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,646,2520,631,0.474,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,2408,2444,58,0.607,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,299,1123,3521,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,783,1018,2887,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1253,2470,259,0.564,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,162,2111,4283,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,605,2427,962,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,629,2455,839,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,426,2335,1043,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,227,2385,4626,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,789,4191,1707,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,580,142,4033,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
