Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.11,1021,1377,0,96,704,114
Completed,0.1,1492,1731,23,289,1492,297
Completed,0.11,1600,4448,1,380,975,128
Completed,0.1,2726,1568,13,267,1190,53
Completed,0.1,422,1527,15,244,535,129
Completed,0.11,685,1400,25,77,1358,199
Completed,0.1,916,898,8,205,861,70
Completed,0.11,600,1178,1,56,877,137
Completed,0.1,569,1804,11,140,1199,191
Completed,0.1,543,836,6,270,224,39
Completed,0.1,1546,491,17,457,314,47
Completed,0.14,2471,1992,3,325,1843,160
Completed,0.14,3394,1617,3,463,1301,85
Completed,0.1,497,1788,7,317,1505,337
Completed,0.1,630,1542,11,251,779,115
Completed,0.1,700,1072,16,3,293,29
Completed,0.1,1903,1494,6,358,624,25
Completed,0.1,1715,1416,2,430,1085,58
Completed,0.1,497,1570,20,35,1013,164
Completed,0.1,453,1977,5,132,1390,306
Completed,0.1,910,2955,8,245,852,64
Completed,0.14,1049,1630,3,170,1537,251
Completed,0.1,708,1086,2,130,591,65
Completed,0.1,565,1801,20,440,1363,256
Completed,0.1,589,1273,8,455,910,209
Completed,0.1,886,1646,5,351,1228,152
Completed,0.1,391,1995,19,1,1719,349
Completed,0.12,1076,1401,9,253,1205,263
Completed,0.1,1127,1740,13,68,994,73
Completed,0.11,515,869,10,106,669,136
Completed,0.1,4676,1962,13,51,1272,15
Completed,0.1,396,1302,5,172,479,118
Completed,0.1,1001,1209,19,276,1142,93
Completed,0.1,2637,1148,11,320,446,34
Completed,0.11,1668,1679,9,25,1656,54
Completed,0.11,3631,1771,1,486,1627,109
Completed,0.1,6188,1832,22,420,964,17
Completed,0.1,765,4920,17,409,277,47
Completed,0.1,489,632,16,73,529,103
Completed,0.11,2058,1567,1,304,679,63
Completed,0.1,462,1760,7,97,821,167
Completed,0.1,895,1134,4,209,1002,225
Completed,0.1,511,1538,20,22,1414,233
Completed,0.1,722,1411,23,159,732,160
Completed,0.1,3092,226,12,321,44,1
Completed,0.1,425,1572,11,359,1424,344
Completed,0.1,1983,1852,25,314,1087,119
Completed,0.1,4090,571,25,384,384,9
Completed,0.1,1814,1978,16,448,1047,249
Completed,0.1,933,1289,18,41,651,37
Completed,0.19,1072,1102,26,373,849,173
Completed,0.1,1632,1661,22,156,1454,104
Completed,0.1,4515,1229,15,492,769,55
Completed,0.1,2214,1884,4,229,812,44
Completed,0.1,677,1959,18,288,918,148
Completed,0.1,503,1896,21,54,1823,297
Completed,0.1,2607,1277,16,193,1274,76
Completed,0.1,1144,1488,4,302,1371,320
Completed,0.1,448,1614,24,203,889,202
Completed,0.1,1359,1491,15,118,1192,126
Completed,0.11,2083,1897,10,370,1739,228
Completed,0.11,5466,1054,10,174,991,12
Completed,0.1,1155,1808,17,402,611,89
Completed,0.1,732,1988,22,88,475,58
Completed,0.1,1061,1396,6,340,958,81
Completed,0.1,392,1742,24,30,1246,272
Completed,0.1,6175,993,5,226,715,14
Completed,0.11,6769,1523,10,481,1155,28
Completed,0.1,880,1836,2,181,1345,134
Completed,0.1,1044,1727,21,461,1550,139
Completed,0.1,520,1321,21,31,798,109
Completed,0.1,2383,1698,18,165,1120,32
Completed,0.1,532,979,19,96,418,80
Completed,0.1,889,1880,24,497,1380,177
Completed,0.1,3827,1737,22,252,1039,26
Completed,0.14,2840,1790,3,279,252,7
Completed,0.1,512,1823,15,62,1516,208
Completed,0.1,1071,787,20,411,562,49
Completed,0.1,1532,1292,13,310,1031,185
Completed,0.1,598,1975,8,219,646,101
Completed,0.1,1090,1382,19,467,161,15
Completed,0.1,564,646,2,200,357,52
Completed,0.1,660,1744,8,330,1316,205
Completed,0.11,873,1927,0,6,1184,68
Completed,0.1,990,1584,14,423,445,98
Completed,0.14,540,771,3,89,757,188
Completed,0.1,1972,1657,14,461,502,57
Completed,0.1,465,1690,5,246,1267,231
Completed,0.1,2610,1887,12,422,1233,125
Completed,0.1,439,1437,20,117,241,52
Completed,0.14,2713,1015,3,274,910,49
Completed,0.1,658,1967,5,365,695,91
Completed,0.11,2078,669,10,351,313,15
Completed,0.11,373,1642,10,33,806,196
Completed,0.1,2387,779,19,10,607,12
Completed,0.1,748,1861,24,395,1566,234
Completed,0.11,1283,1269,0,147,1112,132
Completed,0.1,457,1529,11,238,1073,266
Completed,0.1,693,956,21,450,494,105
Completed,0.11,853,1766,9,180,332,60
Completed,0.1,2261,1935,16,85,1460,140
Completed,0.1,912,1360,19,428,846,83
Completed,0.1,1397,4593,12,327,1245,165
Completed,0.19,4136,1737,26,464,968,32
Completed,0.1,3682,1205,25,91,813,14
Completed,0.1,1680,687,23,470,577,81
Completed,0.1,870,985,17,176,922,194
Completed,0.1,689,1844,11,269,1300,175
Completed,0.11,1338,1498,1,43,1422,74
Completed,0.1,642,1419,7,236,881,103
Completed,0.1,561,1753,23,49,535,95
Completed,0.14,1886,1546,3,70,1199,38
Completed,0.19,5997,1905,26,291,1904,35
Completed,0.1,973,938,7,326,634,55
Completed,0.1,772,1921,2,204,1664,206
Completed,0.1,562,1575,15,349,966,239
Completed,0.1,522,1983,21,138,999,169
Completed,0.1,2451,1452,25,456,1147,183
Completed,0.1,749,1919,18,403,1773,271
Completed,0.19,468,1608,26,27,396,88
Completed,0.1,1077,1051,5,490,1039,87
Completed,0.1,590,1955,23,95,1122,193
Completed,0.11,4402,1971,0,400,1317,53
Completed,0.1,3220,1923,8,316,857,23
Completed,0.1,2309,1987,4,82,1886,421
Completed,0.1,3480,1654,17,302,1377,79
Completed,0.12,4367,1612,1,194,1469,338
Completed,0.1,5854,1281,21,379,696,30
Completed,0.1,614,610,15,34,465,50
Completed,0.1,814,1530,20,437,1489,211
Completed,0.1,2430,1078,14,211,804,135
Completed,0.1,834,1403,17,259,687,150
Completed,0.1,675,1703,18,124,1595,180
Completed,0.1,2426,1828,14,231,1010,66
Completed,0.11,1094,1173,9,375,1079,219
Completed,0.1,768,1800,6,446,776,142
Completed,0.1,1715,1408,14,474,1309,235
Completed,0.1,581,1263,8,256,431,66
Completed,0.11,2010,1937,10,226,1763,149
Completed,0.1,1447,1855,17,8,885,42
Completed,0.1,1094,1171,2,231,401,27
Completed,0.19,2191,1701,26,483,918,113
Completed,0.1,1612,1794,12,90,1703,84
Completed,0.1,522,1940,21,417,1674,343
Completed,0.14,1093,815,3,444,748,172
Completed,0.1,441,1763,19,103,1288,312
Completed,0.1,611,1669,7,202,1183,159
Completed,0.1,706,1296,4,120,986,234
Completed,0.11,835,1094,10,296,514,121
Completed,0.1,3928,1324,16,338,1221,60
Completed,0.14,417,1748,3,24,644,128
Completed,0.11,1614,1684,10,258,1613,307
Completed,0.1,404,4242,21,113,1682,410
Completed,0.14,1336,4811,3,189,1946,198
Completed,0.1,780,1609,19,384,1093,154
Completed,0.1,680,1185,15,104,729,71
Completed,0.1,676,1715,13,352,215,47
Completed,0.1,2648,1984,13,281,1551,103
Completed,0.1,885,1111,24,415,374,39
Completed,0.1,427,1780,5,233,1584,347
Completed,0.1,1601,1374,22,482,1101,261
Completed,0.11,1422,1563,9,110,1349,106
Completed,0.11,3043,1519,1,167,828,79
Completed,0.1,1078,1440,6,195,543,35
Completed,0.1,1170,1138,12,395,956,179
Completed,0.1,668,844,7,182,180,30
Completed,0.11,1127,1765,1,286,1149,243
Completed,0.1,579,922,5,371,785,123
Completed,0.1,1084,451,23,120,268,22
Completed,0.1,913,1233,20,172,1191,98
Completed,0.1,1038,1707,17,139,1416,260
Completed,0.1,459,1240,5,157,872,214
Completed,0.14,2717,1933,3,480,1910,239
Completed,0.1,3149,957,12,117,888,18
Completed,0.1,398,1961,15,197,175,38
Completed,0.1,1946,1431,13,449,627,77
Completed,0.1,956,1010,17,161,454,74
Completed,0.1,2185,1848,12,472,1742,265
Completed,0.1,2153,1601,8,414,970,35
Completed,0.1,1655,1478,4,267,1168,107
Completed,0.19,651,1511,26,131,1235,236
Completed,0.1,812,598,18,274,219,21
Completed,0.1,416,1384,16,50,933,187
Completed,0.1,1102,1816,18,455,1264,99
Completed,0.1,2105,1193,22,351,567,43
Completed,0.1,459,1954,7,294,1440,254
Completed,0.11,3081,810,9,263,655,19
Completed,0.1,1030,1886,2,421,1057,82
Completed,0.1,1400,1562,25,279,1322,308
Completed,0.14,1536,1027,3,34,657,24
Completed,0.1,616,1332,11,366,843,129
Completed,0.19,1438,1865,26,349,1384,332
Completed,0.1,950,1931,14,163,1527,300
Completed,0.1,1465,1994,25,429,745,136
Completed,0.12,2244,1709,0,440,1021,201
Completed,0.11,367,1365,1,10,273,46
Completed,0.1,1141,1304,22,84,1078,80
Completed,0.1,402,652,6,285,612,131
Completed,0.1,857,1773,24,262,789,70
Completed,0.1,2066,1834,5,336,1623,56
Completed,0.1,1655,1677,19,221,756,31
Completed,0.1,373,1120,6,77,1015,253
Completed,0.1,793,1463,21,228,1393,153
Completed,0.1,1153,1738,11,186,1590,94
Completed,0.1,580,1863,8,40,1054,146
Completed,0.1,834,1668,12,181,1263,245
Completed,0.1,622,4506,25,44,541,76
Completed,0.1,394,1941,12,22,1194,287
Completed,0.1,1275,1598,13,176,1339,184
Completed,0.1,834,1165,18,329,983,96
Completed,0.1,521,1043,20,465,900,225
Completed,0.1,460,1509,8,447,1327,303
Completed,0.1,2286,1792,21,477,1160,47
Completed,0.1,1174,1724,24,55,1293,59
Completed,0.1,688,1347,14,141,600,112
Completed,0.1,2302,1696,7,81,468,10
Completed,0.1,1774,1915,16,357,1206,165
Completed,0.1,585,1884,11,344,1786,440
Completed,0.1,679,1947,2,78,941,120
Completed,0.1,410,352,11,49,336,68
Completed,0.1,1026,1899,6,146,1479,88
Completed,0.1,1536,1849,22,171,1820,197
Completed,0.19,3428,1418,26,326,487,19
Completed,0.1,1342,1959,25,142,1927,369
Completed,0.1,528,1427,18,218,1055,210
Completed,0.11,505,933,0,65,539,90
Completed,0.1,462,1149,8,166,710,141
Completed,0.1,576,1776,4,30,1403,218
Completed,0.11,2798,1958,9,466,1509,187
Completed,0.1,492,886,24,431,779,167
Completed,0.1,560,1507,5,392,574,104
Completed,0.1,1310,864,12,379,426,59
Completed,0.1,1440,1973,19,37,1797,78
Completed,0.11,3100,1583,10,323,1096,73
Completed,0.1,3870,1868,16,311,639,13
Completed,0.1,2405,1380,8,289,1252,39
Completed,0.1,6346,1553,22,103,862,149
Completed,0.1,3499,1100,23,144,120,2
Completed,0.1,420,1354,24,210,1347,295
Completed,0.1,1760,4629,17,350,1888,261
Completed,0.1,1564,3819,6,460,1748,97
Completed,0.19,901,851,26,256,691,102
Completed,0.11,740,257,1,7,237,16
Completed,0.1,977,1759,18,149,1732,128
Completed,0.1,2933,915,14,195,336,8
Completed,0.14,534,710,3,105,393,97
Completed,0.1,1164,1729,4,295,897,161
Completed,0.1,917,1911,11,119,603,48
Completed,0.12,552,1114,10,21,760,92
Completed,0.1,523,1520,19,273,308,53
Completed,0.11,1262,1974,1,354,1640,384
Completed,0.1,827,1713,21,208,672,84
Completed,0.1,2701,1680,12,492,1437,133
Completed,0.1,3103,1991,6,160,1063,19
Completed,0.11,751,1616,0,53,1542,227
Completed,0.1,598,1429,2,393,1382,267
Completed,0.1,539,1895,15,376,829,189
Completed,0.1,670,1005,23,132,1001,217
Completed,0.12,519,1676,14,105,627,137
Completed,0.1,3177,1399,8,3,704,103
Completed,0.1,1888,394,17,412,142,7
Completed,0.1,619,1979,17,46,1915,251
Completed,0.1,450,1821,17,180,268,67
Completed,0.1,1031,1306,19,284,1288,116
Completed,0.1,2398,1883,24,453,912,36
Completed,0.14,2172,1072,3,313,745,43
Completed,0.1,2224,1746,12,420,1117,123
Completed,0.11,466,1945,1,10,1343,208
Completed,0.1,620,1634,15,15,1131,116
Completed,0.14,1684,1854,3,434,497,79
Completed,0.1,1320,1944,23,339,1368,222
Completed,0.19,2073,1261,26,182,950,56
Completed,0.1,621,1352,7,401,1215,230
