Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Failed,,,204,3,316,1940,1392
Failed,,,193,0,154,305,1913
Failed,,,1224,2,330,1569,323
Failed,,,602,4,459,1265,1233
Failed,,,971,1,280,1152,1361
Failed,,,1355,0,401,1955,210
Failed,,,325,3,85,169,1558
Failed,,,468,2,420,766,465
Failed,,,1499,4,96,1108,1798
Failed,,,1830,0,291,87,1118
Failed,,,862,3,225,1788,647
Failed,,,745,0,46,1675,759
Failed,,,1714,3,472,450,1473
Failed,,,1116,1,167,1495,1669
Failed,,,84,4,351,629,63
Failed,,,27,1,125,1896,1138
Failed,,,1057,4,426,228,595
Failed,,,680,3,305,908,1941
Failed,,,811,0,497,553,1586
Failed,,,1425,2,368,372,997
Failed,,,394,4,177,1502,1267
Failed,,,250,1,328,1436,741
Failed,,,1282,3,129,689,1026
Failed,,,1888,1,449,1741,1830
Failed,,,919,3,8,385,437
Failed,,,536,2,200,30,36
Failed,,,1504,4,251,1846,1702
Failed,,,1166,0,71,833,1382
Failed,,,135,2,380,1041,854
Failed,,,183,2,284,1547,1524
Failed,,,523,2,104,507,1329
Failed,,,905,1,159,894,1200
Failed,,,1268,1,37,214,353
Failed,,,301,4,478,1910,1879
Failed,,,407,0,19,1024,97
Failed,,,1375,2,468,850,1639
Failed,,,1794,1,148,1829,1445
Failed,,,763,4,338,46,792
Failed,,,629,1,393,433,678
Failed,,,1661,4,91,1693,1090
Failed,,,1010,0,272,737,1767
Failed,,,41,3,213,1387,500
Failed,,,100,0,439,155,1300
Failed,,,1067,3,13,1969,968
Failed,,,696,4,134,1165,1620
Failed,,,814,2,67,1310,1975
Failed,,,1449,0,196,1613,566
Failed,,,481,2,261,261,1170
Failed,,,374,1,236,679,822
Failed,,,1343,3,309,1445,1410
Failed,,,1987,1,115,500,1732
Failed,,,955,3,430,1626,1
Failed,,,589,0,364,1770,404
Failed,,,1620,2,187,106,1861
Failed,,,241,4,58,784,708
Failed,,,243,0,370,1176,1219
Failed,,,1614,1,499,1997,317
Failed,,,584,4,50,129,1915
Failed,,,966,1,244,273,1552
Failed,,,1329,0,123,592,892
Failed,,,361,3,424,1282,1371
Failed,,,471,1,74,1653,652
Failed,,,1440,3,381,471,1116
Failed,,,1858,1,202,1459,1811
Failed,,,694,0,447,812,77
Failed,,,1725,2,6,1064,1659
Failed,,,1074,2,326,116,1479
Failed,,,105,4,127,1758,758
Failed,,,39,2,400,526,1947
Failed,,,1007,4,83,1348,289
Failed,,,1666,0,278,332,609
Failed,,,636,2,204,1544,1129
Failed,,,754,1,27,1931,1281
Failed,,,1784,3,461,195,987
Failed,,,421,3,332,889,1584
Failed,,,310,0,165,50,424
Failed,,,1279,2,348,1824,1840
Failed,,,1922,2,44,871,1021
Failed,,,891,4,470,1005,742
Failed,,,525,1,293,1392,848
Failed,,,1556,4,227,734,1384
Failed,,,1145,0,422,1711,1688
Failed,,,177,3,97,413,45
Failed,,,133,1,193,934,1343
Failed,,,1163,4,260,1190,924
Failed,,,1510,0,64,240,246
Failed,,,542,3,389,1886,1522
Failed,,,910,0,319,1531,1885
Failed,,,1878,3,136,345,352
Failed,,,1295,1,440,1334,545
Failed,,,265,4,15,540,1191
Failed,,,404,1,490,395,786
Failed,,,1435,3,57,1729,1447
Failed,,,1766,1,361,716,1625
Failed,,,797,4,186,1410,107
Failed,,,681,2,116,1055,486
Failed,,,1650,4,433,821,1777
Failed,,,1052,0,237,1873,1084
Failed,,,20,2,312,1,681
Failed,,,87,0,39,1268,1614
Failed,,,740,4,359,287,1309
Failed,,,872,1,411,174,1157
Failed,,,1840,3,103,1952,576
Failed,,,455,3,232,1131,1977
Failed,,,315,2,273,1806,15
Failed,,,1346,4,215,68,1722
Failed,,,1952,0,394,1112,1416
Failed,,,983,2,94,764,819
Failed,,,600,0,145,651,714
Failed,,,1230,1,16,454,1874
Failed,,,199,4,466,1670,394
Failed,,,218,1,3,83,911
Failed,,,1248,4,452,1791,1321
Failed,,,1581,0,132,779,1501
Failed,,,613,3,323,1097,232
Failed,,,995,0,377,1491,362
Failed,,,1962,3,76,635,1903
Failed,,,1366,1,256,1685,1208
Failed,,,336,4,197,439,555
Failed,,,442,0,300,622,1468
Failed,,,853,4,120,1573,1646
Failed,,,719,1,174,1968,1760
Failed,,,1688,4,373,158,476
Failed,,,1107,1,53,1147,671
Failed,,,76,3,494,977,1066
Failed,,,2,1,220,1745,139
Failed,,,1032,3,294,379,1597
Failed,,,669,3,415,700,945
Failed,,,787,2,348,837,590
Failed,,,1755,4,172,1039,1178
Failed,,,1414,0,477,16,1999
Failed,,,384,2,43,1858,268
Failed,,,277,1,454,1206,1739
Failed,,,1897,0,333,1902,829
Failed,,,928,3,149,224,1434
Failed,,,562,0,82,361,1031
Failed,,,143,4,277,1319,1853
Failed,,,158,0,436,1840,527
Failed,,,1126,3,111,34,1240
Failed,,,1543,2,306,1021,1937
Failed,,,512,4,241,855,331
Failed,,,1911,4,488,1376,1535
Failed,,,1258,0,183,429,1354
Failed,,,290,3,366,1695,882
Failed,,,433,2,139,1363,1095
Failed,,,1402,4,315,511,639
Failed,,,772,2,444,316,1790
Failed,,,655,0,264,211,1677
Failed,,,1687,3,191,1915,86
Failed,,,49,3,69,1219,1496
Failed,,,124,1,344,487,298
Failed,,,1092,3,145,1637,1965
Failed,,,1737,1,465,683,1146
Failed,,,707,3,24,1443,618
Failed,,,838,0,215,1080,973
Failed,,,1869,2,267,796,1259
Failed,,,1460,2,87,1774,1562
Failed,,,492,4,396,100,170
Failed,,,348,0,109,963,1822
Failed,,,1978,1,230,144,733
Failed,,,946,4,289,1982,1003
Failed,,,563,2,481,1618,1405
Failed,,,1594,4,33,258,862
Failed,,,1201,0,352,1297,59
Failed,,,232,2,161,577,1710
Failed,,,228,0,110,1699,1370
Failed,,,1197,2,435,425,898
Failed,,,567,4,306,746,1550
Failed,,,950,1,488,859,1921
Failed,,,1313,0,367,39,511
Failed,,,344,3,184,1836,1225
Failed,,,488,2,313,1223,751
Failed,,,1456,4,138,901,1481
Failed,,,1873,0,442,1919,1661
Failed,,,711,1,191,320,458
Failed,,,1741,3,266,1556,1806
Failed,,,1088,1,70,515,1109
Failed,,,120,3,387,1360,654
Failed,,,53,1,143,96,1579
Failed,,,1022,3,343,1778,186
Failed,,,1683,0,22,792,989
Failed,,,652,3,464,1084,1274
Failed,,,768,0,267,1439,1130
Failed,,,1406,2,396,1633,283
Failed,,,437,4,88,491,1949
Failed,,,294,0,409,573,43
Failed,,,1262,3,109,1301,1693
Failed,,,1907,1,288,254,1390
Failed,,,877,4,230,1622,846
Failed,,,509,2,33,1978,749
Failed,,,1539,4,483,148,1019
Failed,,,1130,0,162,1157,1838
Failed,,,162,3,354,967,429
Failed,,,147,2,453,443,1193
Failed,,,1178,4,4,1682,540
Failed,,,558,2,132,1487,1887
Failed,,,924,0,76,1101,1515
Failed,,,1312,1,196,1795,926
Failed,,,281,4,255,80,1338
Failed,,,388,0,250,981,686
Failed,,,1751,2,122,162,1776
Failed,,,783,4,429,1964,492
Failed,,,665,1,373,1577,106
Failed,,,1633,3,172,299,1632
Failed,,,1036,1,493,1256,1452
Failed,,,6,3,52,618,784
Failed,,,72,1,295,1854,1984
Failed,,,1103,3,221,20,253
Failed,,,723,4,99,841,1162
Failed,,,857,2,171,697,1307
Failed,,,438,2,475,1749,1613
Failed,,,332,1,29,1315,395
Failed,,,1362,4,455,559,1868
Failed,,,999,3,334,365,717
Failed,,,617,0,406,220,814
Failed,,,1585,2,81,1905,1418
Failed,,,1244,1,277,914,1724
Failed,,,214,4,210,1209,8
Failed,,,203,1,258,544,562
Failed,,,1234,4,193,1331,1207
Failed,,,1565,0,388,349,1900
Failed,,,596,3,64,1527,367
Failed,,,980,0,137,1890,230
Failed,,,1949,2,320,236,1506
Failed,,,1350,2,15,1194,1328
Failed,,,319,4,442,930,909
Failed,,,459,1,55,5,1068
Failed,,,1489,3,490,1870,664
Failed,,,868,3,361,1051,1762
Failed,,,736,2,433,1414,1641
Failed,,,1121,0,312,1733,801
Failed,,,91,2,239,391,1462
Failed,,,16,0,479,1127,270
Failed,,,1048,2,39,997,1994
Failed,,,1654,2,358,1948,1172
Failed,,,685,4,159,178,591
Failed,,,801,1,103,283,939
Failed,,,1431,1,232,602,1599
Failed,,,400,3,284,1272,134
Failed,,,261,1,214,1666,1858
Failed,,,914,3,394,654,1038
Failed,,,546,0,338,760,1432
Failed,,,129,4,18,1810,1737
Failed,,,173,0,180,1286,877
Failed,,,1141,3,371,589,1356
Failed,,,1560,1,51,1607,1536
Failed,,,895,2,302,133,333
Failed,,,1926,4,243,1993,1930
Failed,,,1275,0,423,952,1235
Failed,,,306,2,122,1172,529
Failed,,,417,1,383,1762,1494
Failed,,,1385,3,74,112,773
Failed,,,758,3,203,808,1675
Failed,,,640,0,5,671,1796
Failed,,,1003,2,126,475,636
Failed,,,36,4,325,1649,1100
Failed,,,109,2,84,885,168
Failed,,,1078,4,400,1238,1569
Failed,,,1721,0,205,191,1265
Failed,,,690,2,279,1934,971
Failed,,,824,1,460,1540,623
Failed,,,1855,3,26,336,1144
Failed,,,1444,1,331,1344,1963
Failed,,,475,3,155,530,305
Failed,,,366,0,350,409,1703
Failed,,,1333,3,166,1715,60
Failed,,,1992,1,471,730,864
Failed,,,962,4,45,1395,1400
Failed,,,580,1,226,1001,1005
Failed,,,1215,0,97,1820,408
Failed,,,247,3,420,54,1824
Failed,,,237,2,235,1906,369
Failed,,,1206,4,285,218,1894
Failed,,,593,2,414,898,548
Failed,,,959,1,357,504,919
Failed,,,1340,1,478,323,1508
Failed,,,371,3,36,1551,224
Failed,,,477,0,469,1384,1752
Failed,,,818,4,148,437,1073
Failed,,,700,1,91,43,1460
Failed,,,1730,4,391,1834,807
Failed,,,96,3,270,1028,1655
Failed,,,45,0,14,265,581
Failed,,,1014,3,439,1609,1186
Failed,,,1657,1,135,570,1991
Failed,,,625,4,318,1306,277
Failed,,,759,1,390,1169,132
Failed,,,1790,4,65,957,1605
Failed,,,1379,0,261,1972,1283
Failed,,,411,2,194,151,953
Failed,,,305,1,311,788,1040
Failed,,,1931,1,432,110,387
Failed,,,901,3,115,1766,1845
Failed,,,519,0,187,1630,1747
Failed,,,1155,2,58,1449,838
Failed,,,187,4,491,675,1426
Failed,,,139,0,329,165,194
Failed,,,1169,2,153,1959,1542
Failed,,,1500,2,458,970,1346
Failed,,,532,4,25,1156,890
Failed,,,915,1,207,1261,520
Failed,,,1884,3,282,615,1248
Failed,,,1286,1,86,1565,1929
Failed,,,254,3,402,309,338
Failed,,,398,2,95,625,1685
Failed,,,1429,4,419,1499,79
Failed,,,1775,0,223,447,775
Failed,,,807,2,290,1679,1488
Failed,,,676,0,472,1785,1102
Failed,,,1643,3,47,91,630
Failed,,,1061,1,351,1104,450
Failed,,,31,4,168,770,1783
Failed,,,81,1,425,1506,981
Failed,,,1112,4,124,368,1251
Failed,,,1718,0,303,1327,1571
Failed,,,866,0,49,912,307
Failed,,,1834,3,498,1214,1957
Failed,,,1495,2,178,231,1153
Failed,,,465,4,369,1892,610
Failed,,,322,0,128,1045,1398
Failed,,,1352,3,327,829,870
Failed,,,975,3,449,26,1717
Failed,,,606,2,252,389,1814
Failed,,,1574,4,202,1737,421
Failed,,,1220,0,381,692,725
Failed,,,190,2,72,1432,1012
Failed,,,208,1,399,813,1559
Failed,,,1587,1,270,10,900
Failed,,,619,3,219,1866,1364
Failed,,,985,2,21,1722,1227
Failed,,,1954,4,462,404,506
Failed,,,1373,0,142,1416,325
Failed,,,341,2,341,708,1907
Failed,,,452,1,164,353,69
Failed,,,1483,4,355,1522,1667
Failed,,,1815,0,35,533,1471
Failed,,,847,3,484,1343,765
Failed,,,730,0,286,1199,644
Failed,,,1697,2,227,927,1123
