Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.96,18,1588,29,421,1056,168
Completed,0.96,9,1939,35,217,534,45
Completed,0.96,6,1238,5,42,1200,122
Completed,0.96,8,1827,49,85,1818,169
Completed,0.96,13,543,4,131,230,7
Completed,0.96,14,1882,58,316,1137,197
Completed,0.96,10,1538,15,268,922,148
Completed,0.96,17,1629,15,411,1362,295
Completed,0.96,11,1760,0,449,478,71
Completed,0.96,12,1178,53,429,596,149
Completed,0.96,14,1331,70,120,984,35
Completed,0.96,10,1596,42,140,1251,112
Completed,0.96,28,1849,55,436,1287,56
Completed,0.96,12,1082,48,323,949,103
Completed,0.96,69,1513,23,245,450,3
Completed,0.96,12,972,9,159,755,40
Completed,0.96,7,1625,36,112,1164,129
Completed,0.96,3,1781,29,34,886,215
Completed,0.96,16,1825,7,376,1653,252
Completed,0.96,16,1919,52,167,1733,91
Completed,0.96,21,1488,18,276,1227,54
Completed,0.96,11,1692,12,483,507,101
Completed,0.96,4,1109,24,104,738,173
Completed,0.96,7,1842,15,156,1029,221
Completed,0.96,7,1588,58,118,1471,257
Completed,0.96,23,1683,32,331,1391,89
Completed,0.96,55,1385,8,413,874,11
Completed,0.96,11,1613,3,69,1588,62
Completed,0.96,58,1777,43,253,675,6
Completed,0.96,7,1748,62,202,811,186
Completed,0.96,7,1198,24,216,1047,259
Completed,0.96,20,1643,49,356,1539,347
Completed,0.96,12,1697,49,396,863,144
Completed,0.96,599,1495,54,344,1404,191
Completed,0.96,15,1908,16,205,1901,166
Completed,0.96,5,1663,62,54,1599,327
Completed,0.96,6,689,43,4,54,3
Completed,0.96,7,1029,37,169,1016,119
Completed,0.96,48,1569,34,279,1522,18
Completed,0.96,8,1796,66,87,749,40
Completed,0.96,5,1640,0,9,1466,118
Completed,0.96,15,1436,30,248,800,38
Completed,0.96,11,1089,11,298,686,154
Completed,0.96,17,1853,19,442,1078,200
Completed,0.96,14,1608,45,284,1422,293
Completed,0.96,30,1900,57,485,1658,110
Completed,0.96,16,1438,14,64,1162,28
Completed,0.96,8,1736,25,177,574,73
Completed,0.96,11,1770,7,368,944,236
Completed,0.96,14,1867,29,213,1704,294
Completed,0.96,84,961,22,496,822,6
Completed,0.96,15,1676,68,290,1224,171
Completed,0.96,34,1830,50,224,1351,22
Completed,0.96,5,1095,61,16,881,67
Completed,0.96,4,1811,32,141,412,99
Completed,0.96,13,1556,9,407,377,47
Completed,0.96,37,1351,39,283,909,15
Completed,0.96,27,1584,64,458,1325,93
Completed,0.96,3,1925,45,24,1189,223
Completed,0.96,12,1679,20,249,1311,253
Completed,0.96,8,1284,10,184,1262,229
Completed,0.96,18,1870,62,263,1761,127
Completed,0.96,4,1519,20,72,971,184
Completed,0.96,285,1991,3,380,609,1
Completed,0.96,19,1195,27,360,1126,80
Completed,0.96,6,1900,35,38,1868,467
Completed,0.96,21,1655,43,189,1631,58
Completed,0.96,4,1853,67,19,1386,345
Completed,0.96,10,1607,6,239,1114,132
Completed,0.96,15,1181,16,450,774,107
Completed,0.96,14,1718,55,122,267,8
Completed,0.96,58,1882,23,306,1493,60
Completed,0.96,13,1539,52,352,713,97
Completed,0.96,11,1111,18,212,217,10
Completed,0.96,11,1813,12,44,1550,87
Completed,0.96,30,1275,59,404,1051,51
Completed,0.96,15,1907,40,257,1564,255
Completed,0.96,12,1305,28,454,310,20
Completed,0.96,5,1845,44,95,807,125
Completed,0.96,18,1428,51,337,1087,146
Completed,0.96,13,1981,22,227,1592,249
Completed,0.96,3,641,67,59,487,84
Completed,0.96,24,1785,13,497,1395,152
Completed,0.96,10,570,40,296,555,48
Completed,0.96,11,1021,26,258,870,198
Completed,0.96,11,1915,63,364,235,26
Completed,0.96,7,1485,7,192,742,112
Completed,0.96,13,1689,32,48,1025,32
Completed,0.96,6,829,24,211,320,55
Completed,0.96,13,1803,8,222,1769,371
Completed,0.96,13,1359,64,331,1269,266
Completed,0.96,15,1686,11,138,890,30
Completed,0.96,52,1959,53,446,1850,39
Completed,0.96,12,1389,19,118,1345,75
Completed,0.96,10,1045,48,41,565,20
Completed,0.96,15,1780,54,216,1169,65
Completed,0.96,11,900,11,442,639,81
Completed,0.96,19,1998,27,491,1217,280
Completed,0.96,14,1744,38,266,1282,244
Completed,0.96,15,1448,65,474,953,165
Completed,0.96,4,1997,60,32,1255,176
Completed,0.96,9,1199,51,208,980,222
Completed,0.96,8,870,14,312,786,160
Completed,0.96,86,1523,41,482,1133,9
Completed,0.96,7,1290,71,274,600,88
Completed,0.96,4,1957,3,30,1685,385
Completed,0.96,3,1470,36,13,418,60
Completed,0.96,19,1930,34,434,917,86
Completed,0.96,7,1355,22,130,1196,185
Completed,0.96,21,1802,47,302,1702,210
Completed,0.96,12,1943,10,251,1060,104
Completed,0.96,17,1242,20,490,706,58
Completed,0.96,4,1268,4,56,842,126
Completed,0.96,2,813,54,31,528,120
Completed,0.96,5,1878,38,153,644,139
Completed,0.96,12,1535,27,200,1422,205
Completed,0.96,21,1983,70,312,1880,331
Completed,0.96,11,884,53,262,460,32
Completed,0.96,8,1428,0,140,1377,306
Completed,0.96,23,1730,8,462,1619,176
Completed,0.96,6,1174,65,102,1123,219
Completed,0.96,16,1600,57,329,780,53
Completed,0.96,13,1561,36,234,959,87
Completed,0.96,8,1101,34,344,455,51
Completed,0.96,32,1834,5,418,1812,97
Completed,0.96,10,1929,51,127,1826,311
Completed,0.96,7,1675,22,101,1673,213
Completed,0.96,19,1228,47,461,1177,175
Completed,0.96,21,774,39,407,707,23
Completed,0.96,17,1620,13,363,1368,185
Completed,0.96,4,1171,1,74,527,85
Completed,0.96,70,1904,30,188,1239,8
Completed,0.96,10,1301,8,308,1001,204
Completed,0.96,9,1857,64,137,1507,183
Completed,0.96,9,515,19,87,418,17
Completed,0.96,7,1431,57,426,349,80
Completed,0.96,13,1505,32,453,733,127
Completed,0.96,5,1969,14,4,848,57
Completed,0.96,9,1361,50,165,670,52
Completed,0.96,6,1563,62,82,1063,100
Completed,0.96,18,1912,43,406,1450,218
Completed,0.96,7,694,16,325,596,115
Completed,0.96,9,1145,69,356,785,140
Completed,0.96,7,939,29,122,568,63
Completed,0.96,12,1659,56,172,1478,145
Completed,0.96,24,1820,39,348,1098,46
Completed,0.96,10,1116,63,398,636,124
Completed,0.96,2,1546,7,39,139,21
Completed,0.96,37,1459,3,446,1416,33
Completed,0.96,11,1726,28,301,820,111
Completed,0.96,6,1186,43,129,313,27
Completed,0.96,6,760,6,353,391,89
Completed,0.96,22,1604,51,434,1534,237
Completed,0.96,3,1051,22,12,1035,151
Completed,0.96,20,1650,16,390,1205,76
Completed,0.96,16,1414,23,371,562,29
Completed,0.96,7,1075,5,180,925,164
Completed,0.96,5,1871,35,66,1340,241
Completed,0.96,9,1618,42,162,1160,267
Completed,0.96,8,1481,70,226,1142,243
Completed,0.96,24,1926,0,336,1647,145
Completed,0.96,7,710,45,380,307,56
Completed,0.96,4,1344,12,109,490,119
Completed,0.96,42,1805,59,469,987,19
Completed,0.96,11,1896,49,277,905,177
Completed,0.96,10,1993,54,182,1634,354
Completed,0.96,3,905,37,138,213,37
Completed,0.96,10,1406,16,260,1139,253
Completed,0.96,36,1774,27,395,1745,53
Completed,0.96,6,1314,43,35,1246,93
Completed,0.96,18,1610,68,211,518,16
Completed,0.96,12,1953,8,133,1299,79
Completed,0.96,174,1220,32,114,968,2
Completed,0.96,8,1680,38,441,461,104
Completed,0.96,22,1798,53,420,1316,262
Completed,0.96,15,835,69,400,766,64
Completed,0.96,15,1155,12,204,1072,59
Completed,0.96,13,1552,24,324,1184,230
Completed,0.96,19,1940,14,400,1923,423
Completed,0.96,25,1693,60,375,1577,86
Completed,0.96,13,1491,52,387,157,7
Completed,0.96,4,1920,18,59,663,107
Completed,0.96,16,1979,67,414,1010,135
Completed,0.96,17,1734,2,315,1490,358
Completed,0.96,13,1513,47,106,1379,50
Completed,0.96,24,1849,17,297,357,9
Completed,0.96,8,1312,55,156,855,98
Completed,0.96,20,1055,41,422,826,41
Completed,0.96,658,1595,30,31,322,66
Completed,0.96,18,1759,70,340,1407,118
Completed,0.96,56,460,65,489,382,4
Completed,0.96,5,890,8,67,877,102
Completed,0.96,7,1977,25,111,1456,286
Completed,0.96,8,1730,53,148,1044,192
Completed,0.96,4,1466,58,98,691,143
Completed,0.96,4,820,27,329,74,14
Completed,0.96,16,1782,10,350,1524,314
Completed,0.96,7,1824,24,195,764,153
Completed,0.96,15,1665,5,262,629,39
Completed,0.96,24,1938,37,78,1603,29
Completed,0.96,26,1398,35,500,1107,117
Completed,0.96,8,1799,2,121,1149,159
Completed,0.96,10,1553,67,155,1351,319
Completed,0.96,10,1937,61,238,497,32
Completed,0.96,17,1475,9,316,996,74
Completed,0.96,47,1711,21,430,1270,27
Completed,0.96,501,1866,46,476,553,68
Completed,0.96,11,1410,40,219,1333,172
Completed,0.96,23,1995,33,359,1830,192
Completed,0.96,18,1748,41,384,1670,285
Completed,0.96,4,1172,45,98,694,159
Completed,0.96,26,1410,29,495,1024,144
Completed,0.96,8,1932,34,120,1672,403
Completed,0.96,10,1764,32,227,944,170
Completed,0.96,16,1529,52,369,1274,154
Completed,0.96,9,676,67,198,607,41
Completed,0.96,6,1892,71,70,1090,93
Completed,0.96,7,1713,24,160,1353,311
Completed,0.96,11,1627,15,463,628,108
Completed,0.96,106,1455,39,185,281,1
Completed,0.96,31,1734,35,178,605,8
Completed,0.96,20,1996,51,293,1177,54
Completed,0.96,8,1434,55,455,491,104
Completed,0.96,19,1679,8,453,1376,336
Completed,0.96,20,385,8,191,276,46
Completed,0.96,43,1610,67,21,1485,240
Completed,0.96,10,712,47,413,630,64
Completed,0.96,11,1847,16,387,797,192
Completed,0.96,7,1451,9,148,1236,245
Completed,0.96,30,1330,49,53,855,9
Completed,0.96,18,1767,61,200,1540,85
Completed,0.96,14,1937,0,249,1351,143
Completed,0.96,13,854,23,326,518,40
Completed,0.96,11,1706,57,344,931,160
Completed,0.96,14,1012,15,308,345,15
Completed,0.96,5,1842,39,92,748,95
Completed,0.96,12,1757,66,286,1272,298
Completed,0.96,29,1924,65,432,95,2
Completed,0.96,22,1574,19,439,1035,80
Completed,0.96,10,1220,26,217,998,109
