Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.04,21,1457,7,83,1236,223
Completed,0.04,32,1569,16,222,1325,234
Completed,0.04,27,1670,3,116,727,70
Completed,0.04,31,1379,20,381,256,26
Completed,0.05,82,1771,13,364,1186,94
Completed,0.04,15,1645,1,96,1427,303
Completed,0.05,41,1839,17,134,1036,56
Completed,0.04,69,1719,6,387,613,30
Completed,0.06,17,1447,12,119,405,66
Completed,0.04,14,1925,3,30,875,142
Completed,0.04,43,600,1,445,254,38
Completed,0.05,89,1508,13,281,1459,180
Completed,0.04,19,485,11,361,185,42
Completed,0.04,43,1404,4,416,1103,183
Completed,0.06,50,1367,12,463,1049,212
Completed,0.04,29,1904,11,191,1575,384
Completed,0.06,41,987,12,404,812,121
Completed,0.06,16,213,5,109,206,39
Completed,0.04,26,1176,19,179,1008,179
Completed,0.06,37,1265,8,427,579,141
Completed,0.04,42,1091,0,34,909,31
Completed,0.04,59,1700,6,207,1525,99
Completed,0.04,31,1222,6,351,485,78
Completed,0.06,46,1946,12,146,529,20
Completed,0.04,97,1612,2,398,1074,52
Completed,0.05,44,1935,17,374,1464,305
Completed,0.05,23,825,17,212,357,43
Completed,0.08,12,1783,9,1,1430,183
Completed,0.04,37,1651,19,253,983,153
Completed,0.04,38,1308,15,189,835,73
Completed,0.06,72,1884,14,389,1370,127
Completed,0.04,54,976,2,334,420,17
Completed,0.04,42,1802,20,196,1790,205
Completed,0.04,57,1915,6,429,1823,332
Completed,0.04,94,1241,16,422,845,36
Completed,0.06,685,1324,5,170,1304,3
Completed,0.04,20,1834,10,107,961,237
Completed,0.04,44,1732,0,359,1389,208
Completed,0.06,32,626,14,429,340,68
Completed,0.06,50,1935,8,244,1122,89
Completed,0.05,13,1610,13,17,1481,334
Completed,0.04,42,1505,19,496,543,123
Completed,0.06,20,1296,5,9,444,33
Completed,0.04,33,856,11,349,745,152
Completed,0.04,320,1751,2,435,1546,12
Completed,0.08,50,1391,9,326,896,111
Completed,0.04,26,1389,2,103,1320,154
Completed,0.06,32,697,8,316,624,79
