detector,dataset,detector_count,dataset_file_count,detector_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime,valid_pair_count__gd_plus,valid_detector_count__gd_plus,valid_pair_count_total__gd_plus,valid_pair_count__igd_plus,valid_detector_count__igd_plus,valid_pair_count_total__igd_plus,valid_pair_count__recommendation_benchmark_dominance_rate,valid_detector_count__recommendation_benchmark_dominance_rate,valid_pair_count_total__recommendation_benchmark_dominance_rate,valid_pair_count__benchmark_pareto_dominated_rate,valid_detector_count__benchmark_pareto_dominated_rate,valid_pair_count_total__benchmark_pareto_dominated_rate,valid_pair_count__exact_r2_recommendations,valid_detector_count__exact_r2_recommendations,valid_pair_count_total__exact_r2_recommendations,valid_pair_count__exact_r2_benchmark,valid_detector_count__exact_r2_benchmark,valid_pair_count_total__exact_r2_benchmark,valid_pair_count__r2_gap,valid_detector_count__r2_gap,valid_pair_count_total__r2_gap,valid_pair_count__recommendation_default_dominance_rate,valid_detector_count__recommendation_default_dominance_rate,valid_pair_count_total__recommendation_default_dominance_rate,valid_pair_count__default_dominated_rate,valid_detector_count__default_dominated_rate,valid_pair_count_total__default_dominated_rate,valid_pair_count__spearman_accuracy,valid_detector_count__spearman_accuracy,valid_pair_count_total__spearman_accuracy,valid_pair_count__spearman_runtime,valid_detector_count__spearman_runtime,valid_pair_count_total__spearman_runtime
CSDDM,SensorStream,,,,,,20,20,1.0,27,2,2,0.015165456100284986,0.013516110658003096,0.65,0.5185185185185185,0.12449507384882347,0.12332129856025474,0.0011737752885687264,0.05,1.0,0.9939770308390125,0.9744360902255638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSDDM,ALL,,9.0,,9.0,0.0,180,180,1.0,109,22,20,0.06392572180029472,0.06544661583932207,0.4722222222222222,0.5778707524830078,0.16768287806405305,0.16203620053811008,0.005646677525942988,0.3055555555555555,0.8888888888888888,0.8903044285326543,0.9137722103243767,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,8.0,,,8.0,,
D3,Electricity,,,,,,20,20,1.0,4,8,8,0.25913470603217703,0.15508508332971907,0.0,0.0,0.1599334210653453,0.10050825139824997,0.05942516966709534,0.25,0.5,0.7973311399251893,0.944751130930229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,ForestCovertype,,,,,,20,20,1.0,21,8,8,0.0017380066159962849,0.012050577484271355,0.9,0.6190476190476191,0.13099141926315572,0.12894939295920008,0.0020420263039556408,0.25,1.0,0.9890860651696296,0.9921023642555648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,GasSensor,,,,,,20,20,1.0,13,8,8,0.10575764771909299,0.08255644088315538,0.05,0.15384615384615385,0.17062155311026136,0.11618940119761752,0.05443215191264385,0.2,0.5,0.9577137615895573,0.8183894312360954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,NOAAWeather,,,,,,20,20,1.0,2,8,8,0.0,0.5,0.0,0.0,0.5,0.25,0.25,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,OutdoorObjects,,,,,,20,20,1.0,4,8,8,0.2375000000000007,0.25000000000000067,0.0,0.0,0.2916666666666672,0.18326335651238107,0.10840331015428611,0.05,0.625,0.37796447300922725,0.37796447300922725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,Ozone,,,,,,20,20,1.0,2,8,8,0.0,0.5,0.0,0.0,0.5,0.25,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,PokerHand,,,,,,20,20,1.0,19,8,8,0.04070869607652068,0.019824946184041375,0.2,0.42105263157894735,0.08389740308692013,0.08407616304484425,-0.0001787599579241156,0.05,0.625,0.8369129718537562,0.8284989261435387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,RialtoBridgeTimelapse,,,,,,20,20,1.0,14,8,8,0.044411183857472766,0.014115791663059651,0.65,0.8571428571428571,0.15070468082373883,0.15985679587395982,-0.009152115050220982,0.55,1.0,0.8620971540829587,0.8446785102797569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
