Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.71,180,3563,819,391,63,1
Completed,0.73,30,161,3367,824,212,6
Completed,0.74,9,690,265,520,243,7
Completed,0.71,162,3069,2661,212,33,3
Completed,0.73,63,3809,1420,888,142,4
Completed,0.73,45,2436,4005,322,103,10
Completed,0.71,42,2110,1249,974,11,3
Completed,0.75,50,4108,3639,284,233,9
Completed,0.72,45,2768,2399,621,124,6
Completed,0.73,64,1014,4990,187,151,2
Completed,0.73,19,481,1849,476,183,2
Completed,0.72,84,3258,4280,785,92,7
Completed,0.74,16,4867,540,120,201,10
Completed,0.71,271,1397,3089,685,43,5
Completed,0.72,72,1305,1682,854,110,8
Completed,0.73,130,4932,4135,420,135,3
Completed,0.7,242,3192,375,741,26,5
Completed,0.75,43,571,2942,51,250,9
Completed,0.74,20,1061,1080,355,219,9
Completed,0.72,81,2659,3497,921,56,4
Completed,0.73,51,4219,2237,241,165,1
Completed,0.74,38,2064,4840,550,79,6
Completed,0.71,44,2364,103,155,46,2
Completed,0.74,32,3894,2511,587,198,7
Completed,0.72,88,2983,1251,254,89,10
Completed,0.73,40,760,3863,946,186,5
Completed,0.74,29,266,1962,657,154,4
Completed,0.73,92,3512,4411,91,121,8
Completed,0.74,21,4613,652,751,230,7
Completed,0.71,878,1612,3222,443,14,1
Completed,0.74,62,1724,889,605,160,10
Completed,0.72,323,4501,3286,172,69,4
Completed,0.74,36,3625,2046,990,209,3
Completed,0.73,56,154,4630,299,51,8
Completed,0.71,141,873,1501,104,20,6
Completed,0.74,37,2871,3934,671,240,1
Completed,0.72,161,4006,194,492,100,4
Completed,0.74,33,2252,2741,800,129,9
Completed,0.75,29,1952,2474,407,220,5
Completed,0.72,81,1173,3715,693,111,2
Completed,0.72,42,459,625,903,79,1
Completed,0.74,31,3304,3013,338,180,6
Completed,0.72,254,4820,1773,505,40,8
Completed,0.74,37,1418,4365,196,188,3
Completed,0.71,140,1446,782,883,49,9
Completed,0.74,38,4838,3170,326,211,4
Completed,0.71,160,3287,1930,524,71,1
Completed,0.73,46,432,4522,207,158,6
Completed,0.73,49,1199,1381,387,126,8
Completed,0.72,76,2563,3811,829,102,3
Completed,0.74,21,4314,71,22,243,5
Completed,0.72,206,1925,2621,704,17,10
Completed,0.74,30,2230,2282,123,113,3
Completed,0.73,91,3994,4716,682,147,8
Completed,0.74,46,895,3523,788,222,1
Completed,0.74,6,131,421,624,191,2
Completed,0.71,258,3612,2818,184,38,7
Completed,0.74,21,4512,1578,971,178,10
Completed,0.72,126,1745,4161,288,82,5
Completed,0.75,24,1623,1805,637,248,6
Completed,0.72,460,4635,4255,79,27,1
Completed,0.72,52,3489,495,771,136,4
Completed,0.74,35,253,3065,455,108,9
Completed,0.72,60,773,1196,135,77,10
Completed,0.74,46,3005,3604,575,168,4
Completed,0.72,224,3872,2344,274,59,3
Completed,0.74,39,2353,4956,957,217,7
Completed,0.73,5,2047,298,375,187,2
Completed,0.72,150,4191,2715,933,88,6
Completed,0.74,17,2685,1455,221,197,8
Completed,0.72,163,1078,4058,538,47,3
Completed,0.71,134,555,2150,874,17,5
Completed,0.74,39,3166,4603,432,227,10
Completed,0.72,86,4960,844,722,118,7
Completed,0.73,50,1323,3410,39,157,2
Completed,0.75,25,1369,2005,487,214,9
Completed,0.72,175,4849,4436,804,62,5
Completed,0.74,25,3275,696,109,171,2
