Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.68,203,2738,3534,559,57,10
Completed,0.63,53,2586,1559,248,220,4
Completed,0.69,384,1439,3743,872,94,7
Completed,0.67,112,978,813,375,172,9
Completed,0.68,435,4996,4253,749,17,2
Completed,0.67,186,1876,2350,507,98,6
Completed,0.67,150,3394,2659,383,216,5
Completed,0.68,209,3525,963,590,134,8
Completed,0.69,160,2378,3772,465,55,3
Completed,0.59,38,42,1701,962,196,3
Completed,0.69,211,4060,3268,88,119,8
Completed,0.68,237,4502,1887,285,68,9
Completed,0.65,110,855,2828,660,247,1
Completed,0.57,261,1565,133,158,12,5
Completed,0.67,136,3083,4817,783,177,6
Completed,0.63,95,3071,125,600,80,10
Completed,0.65,148,1582,4806,475,235,1
Completed,0.66,165,848,1876,976,32,5
Completed,0.66,217,4504,2819,102,157,6
Completed,0.67,206,4048,1710,280,154,7
Completed,0.69,121,59,3278,654,36,4
Completed,0.69,64,2370,975,157,207,2
Completed,0.69,188,3528,3780,781,107,9
Completed,0.72,264,3382,2361,192,56,1
Completed,0.69,131,1893,2668,817,133,10
Completed,0.67,58,534,597,315,118,7
Completed,0.67,246,4191,4665,690,197,4
Completed,0.67,141,4984,802,934,239,3
Completed,0.68,146,995,4245,59,75,8
Completed,0.65,97,1431,1550,557,184,8
Completed,0.66,208,2589,3732,432,6,3
Completed,0.65,67,2750,1332,875,216,6
Completed,0.69,315,1271,3526,250,98,5
Completed,0.71,136,1147,674,748,145,1
Completed,0.68,235,4833,4105,373,45,10
Completed,0.66,132,372,4485,883,172,2
Completed,0.67,41,2044,2260,381,94,4
Completed,0.65,97,3231,2578,506,220,7
Completed,0.67,132,3688,1147,463,177,5
Completed,0.67,136,2209,3965,588,13,6
Completed,0.61,46,210,1816,91,246,10
Completed,0.7,349,3896,3373,965,68,2
Completed,0.69,252,4666,2099,658,119,3
Completed,0.68,125,686,3031,284,195,8
Completed,0.68,270,1733,258,785,56,8
Completed,0.68,163,2920,4951,161,135,3
Completed,0.62,101,2874,1984,343,224,9
Completed,0.7,260,1853,2927,718,91,2
Completed,0.63,55,732,76,220,168,4
Completed,0.68,285,4545,4756,844,21,7
Completed,0.69,291,3772,1023,538,41,6
Completed,0.66,137,251,3829,413,149,5
Completed,0.68,74,2334,1603,915,102,1
Completed,0.67,171,3648,3172,40,212,10
Completed,0.71,119,3185,529,996,138,2
Completed,0.68,107,2165,4597,122,51,9
Completed,0.65,119,418,2448,620,192,8
Completed,0.71,214,4232,2755,495,123,3
Completed,0.72,338,4708,1462,130,64,4
Completed,0.66,142,1187,3644,754,250,7
Completed,0.66,184,1395,871,253,17,10
Completed,0.65,147,2709,4314,627,173,1
Completed,0.69,80,2558,782,72,103,7
Completed,0.65,196,1547,4213,946,211,4
Completed,0.71,222,1026,1283,444,40,2
Completed,0.7,216,4869,3476,569,150,9
Completed,0.65,1273,4081,2308,813,162,10
Completed,0.7,171,570,2627,189,29,1
Completed,0.62,12,2003,323,686,231,5
Completed,0.68,211,3346,4379,312,83,6
Completed,0.66,169,2486,3305,346,188,7
Completed,0.64,35,90,1234,848,78,8
Completed,0.69,192,3933,4052,224,235,3
Completed,0.7,105,4394,169,401,200,2
Completed,0.67,142,883,4863,526,113,9
Completed,0.71,159,1692,2168,28,129,6
Completed,0.7,247,3035,3100,903,61,5
Completed,0.66,99,2987,1589,54,185,2
Completed,0.65,64,909,1075,430,238,7
Completed,0.69,243,4439,3894,555,76,4
Completed,0.62,96,3963,11,826,111,5
Completed,0.63,97,140,4705,202,203,6
Completed,0.68,77,2433,2009,703,63,10
Completed,0.69,257,3463,2940,329,126,1
Completed,0.68,83,3301,934,645,208,8
Completed,0.69,248,1978,4366,270,107,2
Completed,0.69,81,598,1437,767,153,3
Completed,0.68,278,4128,3631,143,37,8
Completed,0.68,326,4902,2462,481,25,7
Completed,0.68,141,1079,2781,605,164,4
Completed,0.74,223,1497,475,104,87,1
Completed,0.65,110,2527,4532,978,228,10
Completed,0.7,123,2678,374,298,49,4
Completed,0.68,209,1345,4443,672,142,7
Completed,0.68,155,1240,2295,171,125,9
Completed,0.64,161,4741,2601,795,188,2
Completed,0.66,177,4279,1309,586,247,1
Completed,0.67,127,446,3490,461,67,10
Completed,0.64,24,2139,716,959,176,6
Completed,0.68,262,3140,4160,85,14,5
Completed,0.69,164,3615,2142,885,87,7
Completed,0.64,105,2282,3085,10,226,3
Completed,0.69,86,301,234,512,25,3
Completed,0.68,164,3802,4916,387,166,8
Completed,0.65,262,4591,1182,237,146,9
Completed,0.68,231,758,3988,861,44,2
Completed,0.69,116,1825,1761,364,215,5
Completed,0.69,158,2826,3330,738,99,6
Completed,0.71,379,2945,987,764,10,1
Completed,0.68,185,1778,3806,140,180,10
Completed,0.68,86,639,1658,641,71,6
Completed,0.68,208,4637,3214,266,244,5
Completed,0.66,138,3844,1941,116,193,4
Completed,0.68,103,177,2872,990,122,7
Completed,0.62,25,2239,98,493,137,9
Completed,0.69,323,3739,4792,618,52,2
Completed,0.69,122,3259,1485,419,96,10
Completed,0.63,116,2092,3679,544,219,1
Completed,0.69,80,328,828,42,47,4
Completed,0.68,181,4326,4259,917,142,6
Completed,0.69,112,4783,583,708,169,8
Completed,0.69,267,1116,4640,333,20,3
Completed,0.69,98,1303,2413,831,223,3
Completed,0.69,138,2803,2732,206,92,8
Completed,0.71,114,2641,2207,524,131,5
Completed,0.71,183,1465,2513,399,60,6
Completed,0.67,66,965,443,897,199,10
Completed,0.68,329,4934,4512,22,114,1
Completed,0.72,380,4165,648,360,72,2
Completed,0.66,106,488,4092,735,242,9
Completed,0.63,137,1940,1396,233,9,7
Completed,0.66,156,3410,3577,858,181,4
Completed,0.63,91,3577,282,175,231,6
Completed,0.67,125,2401,4964,799,82,5
Completed,0.61,67,26,2035,302,161,1
Completed,0.69,335,3995,2979,677,30,9
Completed,0.67,222,4477,1869,948,33,8
Completed,0.66,141,800,3438,74,157,3
Completed,0.66,202,1627,1132,575,110,3
Completed,0.66,145,3097,3939,450,204,8
Completed,0.72,114,3115,2442,955,117,4
Completed,0.68,182,1616,2748,81,198,7
Completed,0.68,98,803,521,583,57,9
Completed,0.69,202,4470,4589,458,132,2
Completed,0.68,171,4013,882,167,183,1
Completed,0.65,45,2405,1475,294,241,6
Completed,0.69,301,3572,3656,669,74,5
Completed,0.69,163,3427,49,368,31,8
Completed,0.67,248,1928,4731,743,158,3
Completed,0.71,106,489,1957,241,81,2
Completed,0.67,165,4156,2900,866,234,9
Completed,0.65,122,4949,1634,516,207,10
Completed,0.69,277,951,3203,392,108,1
Completed,0.68,210,1467,1055,889,154,4
Completed,0.67,157,2633,3861,15,35,7
Completed,0.67,76,2785,1222,700,245,2
Completed,0.68,196,1315,4041,325,69,9
Completed,0.64,109,1111,1736,823,178,7
Completed,0.68,361,4788,3292,198,12,4
Completed,0.69,308,4307,2175,427,55,5
Completed,0.67,107,338,3106,551,135,6
Completed,0.61,16,2089,177,50,119,10
Completed,0.66,149,3265,4871,924,195,1
Completed,0.67,193,3723,1252,109,144,8
Completed,0.68,129,2254,3445,983,46,3
Completed,0.65,25,175,749,485,217,4
Completed,0.69,317,3852,4181,610,97,7
Completed,0.72,242,4621,348,772,93,6
Completed,0.65,109,652,4405,148,221,5
Completed,0.69,393,1778,2336,649,19,2
Completed,0.67,81,2954,2654,275,171,9
Completed,0.68,84,2839,609,229,191,5
Completed,0.69,198,1808,4678,854,124,6
Completed,0.69,107,767,2373,356,139,10
Completed,0.71,560,4590,2679,731,50,1
Completed,0.72,411,3816,1543,892,15,2
Completed,0.66,106,286,3724,18,174,9
Completed,0.67,69,2290,795,520,66,7
Completed,0.63,159,3613,4238,395,249,4
Completed,0.69,114,3150,1908,578,167,7
Completed,0.68,125,2120,2852,453,22,4
Completed,0.66,50,453,156,951,225,1
Completed,0.7,248,4277,4837,77,90,10
Completed,0.7,225,4752,947,305,101,8
Completed,0.66,169,1222,3753,680,213,3
Completed,0.68,203,1351,1684,178,42,3
Completed,0.65,129,2674,3252,803,148,8
Completed,0.7,101,2513,1824,489,78,1
Completed,0.68,170,1512,3380,614,236,10
Completed,0.68,215,4904,3972,986,187,5
Completed,0.66,156,4115,245,637,129,4
Completed,0.69,177,614,4939,262,61,7
Completed,0.66,111,1969,2088,760,201,9
Completed,0.69,190,3301,3019,135,113,2
Completed,0.68,212,3452,701,834,39,9
Completed,0.68,131,2451,4132,209,151,1
Completed,0.68,56,134,1358,711,104,5
Completed,0.68,190,3968,3552,336,210,6
Completed,0.64,157,4429,2227,46,229,8
Completed,0.7,153,928,2546,920,85,3
Completed,0.69,174,1658,398,422,163,3
Completed,0.65,217,2990,4455,547,27,8
Completed,0.67,83,3021,859,378,151,6
Completed,0.68,335,1707,4290,503,38,5
Completed,0.66,97,875,1517,5,210,1
Completed,0.68,335,4396,3711,879,105,10
Completed,0.68,192,3920,2387,745,86,9
Completed,0.6,84,107,2705,370,229,2
Completed,0.69,112,2477,556,872,26,4
Completed,0.68,252,3497,4612,247,163,7
Completed,0.69,86,3335,1669,790,238,5
Completed,0.65,111,2021,3226,165,77,7
Completed,0.66,71,564,1000,663,185,10
Completed,0.67,708,4085,3818,288,4,1
Completed,0.66,220,4858,92,95,62,3
Completed,0.68,195,1045,4785,969,127,8
Completed,0.67,150,1540,1933,468,112,8
Completed,0.66,123,2560,2865,592,203,3
Completed,0.64,104,2722,2061,154,24,10
Completed,0.68,287,1379,3005,778,166,1
Completed,0.7,162,1196,310,276,88,5
Completed,0.65,156,4707,4991,651,225,6
Completed,0.66,111,4246,1101,973,214,7
Completed,0.68,129,403,3907,99,100,4
Completed,0.68,45,2173,1837,596,147,2
Completed,0.68,243,3183,3405,472,43,9
Completed,0.68,237,3658,450,561,124,2
Completed,0.67,136,2315,4519,436,190,10
Completed,0.68,70,258,2214,938,50,6
Completed,0.69,145,3769,2521,64,140,5
Completed,0.68,166,4557,1384,319,175,3
Completed,0.63,153,714,3566,694,15,8
Completed,0.68,84,1859,636,196,248,8
Completed,0.68,270,2869,4079,821,66,3
Completed,0.69,133,2902,1409,682,46,7
Completed,0.67,182,1745,3603,307,143,4
Completed,0.7,106,682,909,809,97,2
Completed,0.64,151,4671,4340,184,218,9
Completed,0.67,95,3878,508,440,222,10
Completed,0.67,124,221,4564,565,93,1
Completed,0.65,63,2206,2493,67,170,5
Completed,0.67,265,3695,2812,941,19,6
Completed,0.73,216,3216,1068,32,71,3
Completed,0.63,105,2058,3886,906,244,8
Completed,0.55,31,370,1582,405,10,9
Completed,0.7,204,4360,3139,530,179,3
Completed,0.69,268,4816,2021,852,136,1
Completed,0.69,190,1159,2953,227,53,10
Completed,0.63,69,1270,23,725,194,7
Completed,0.67,147,2759,4716,350,121,4
Completed,0.67,49,2608,202,910,160,9
