Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,599,250,4102,0.088,0.2
Failed,,,3858,4996,1721,0.935,0.001
Failed,,,1064,2142,1086,0.494,0.0
Failed,,,4637,3100,3720,0.53,0.1
Failed,,,3718,360,2161,0.155,0.6
Failed,,,1983,4402,4521,0.869,0.0
Failed,,,2169,496,413,0.266,0.3
Failed,,,4080,955,8,0.687,0.01
Failed,,,466,4436,4446,0.218,0.0
Failed,,,1737,2197,2327,0.995,0.0
Failed,,,3123,3198,2908,0.401,0.6
Failed,,,3700,1336,4042,0.357,0.8
Failed,,,2390,2962,883,0.762,0.0
Failed,,,1043,97,3627,0.041,0.0
Failed,,,4734,4204,1767,0.57,0.4
Failed,,,4469,2014,3383,0.826,0.0
Failed,,,703,3533,1542,0.297,0.1
Failed,,,2125,776,4267,0.51,0.5
Failed,,,3359,4775,1128,0.106,0.0
Failed,,,2681,383,1944,0.154,0.0
Failed,,,1533,3757,2506,0.747,0.8
Failed,,,26,1625,406,0.462,0.3
Failed,,,3877,2519,4825,0.93,0.001
Failed,,,4056,1858,1333,0.021,0.7
Failed,,,168,2751,3281,0.615,0.0
Failed,,,3168,852,2706,0.943,0.4
Failed,,,1975,4851,2056,0.413,0.0
Failed,,,823,2094,4957,0.627,0.0
Failed,,,4631,3613,587,0.222,0.8
Failed,,,4914,174,4558,0.474,0.0
Failed,,,1187,4280,207,0.878,0.5
Failed,,,2257,1416,3089,0.158,0.1
Failed,,,3530,3042,2459,0.687,0.0
Failed,,,2930,2429,780,0.554,0.001
Failed,,,1587,3431,3832,0.086,0.2
Failed,,,4582,702,2191,0.257,0.001
Failed,,,892,4691,2890,0.85,0.3
Failed,,,1926,1940,146,0.066,0.9
Failed,,,3236,3449,4467,0.535,0.0
Failed,,,2639,1707,3723,0.707,0.0
Failed,,,1254,2591,1824,0.178,0.5
Failed,,,295,465,3943,0.89,0.2
Failed,,,1445,1784,4657,0.773,0.0
Failed,,,2976,1107,4902,0.125,0.0
Failed,,,1864,4598,493,0.529,0.1
Failed,,,320,2345,2768,0.308,0.6
Failed,,,4207,3356,2158,0.837,0.0
Failed,,,4159,1320,2552,0.442,0.0
Failed,,,388,2820,1902,0.911,0.4
Failed,,,1815,64,4803,0.126,0.7
Failed,,,3045,4082,433,0.72,0.0
Failed,,,3622,1076,1487,0.522,0.0
Failed,,,2468,4470,3435,0.117,0.6
Failed,,,965,2339,1159,0.829,0.01
Failed,,,4811,3213,4230,0.3,0.0
Failed,,,4391,398,934,0.053,0.3
Failed,,,782,3898,3986,0.582,0.001
Failed,,,2046,1660,1730,0.361,0.0
Failed,,,3437,2642,3659,0.765,0.9
Failed,,,3578,2264,2834,0.093,0.0
Failed,,,2188,3129,2243,0.562,0.7
Failed,,,1235,1002,4498,0.277,0.4
Failed,,,4845,4385,109,0.87,0.0
Failed,,,4660,1576,4743,0.623,0.2
Failed,,,814,2568,334,0.029,0.0
Failed,,,2005,314,2609,0.806,0.0
Failed,,,3158,3824,1999,0.337,0.5
Failed,,,2561,707,1180,0.421,0.8
Failed,,,1332,4843,4368,0.95,0.0
Failed,,,217,1964,1468,0.23,0.001
Failed,,,3988,3580,3299,0.635,0.3
Failed,,,3868,2045,544,0.289,0.0
Failed,,,55,3661,4846,0.818,0.7
Failed,,,1523,782,2121,0.098,0.01
Failed,,,2711,4918,2800,0.502,0.0
Failed,,,2174,4062,1068,0.146,0.4
Failed,,,635,1808,3167,0.923,0.8
Failed,,,4518,2799,1287,0.454,0.0
Failed,,,4724,1239,3570,0.21,0.5
Failed,,,1073,4623,1670,0.679,0.0
Failed,,,2381,2496,3789,0.393,0.0
Failed,,,3729,3360,669,0.987,0.1
Failed,,,3054,1483,2345,0.754,0.2
Failed,,,1786,2972,3043,0.349,0.0
Failed,,,397,220,299,0.563,0.0
Failed,,,4130,4229,4621,0.034,0.9
Failed,,,4109,1920,2467,0.513,0.0
Failed,,,419,3468,3078,0.107,0.7
Failed,,,1765,682,177,0.821,0.4
Failed,,,3075,4711,4586,0.29,0.0
