Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,4341,588,3847,0.676,0.0
Failed,,,3759,1084,1418,0.597,0.0
Failed,,,2373,2064,3808,0.002,0.001
Failed,,,4181,2500,238,0.146,0.0
Failed,,,1920,4742,758,0.486,0.8
Failed,,,566,1421,3219,0.573,0.01
Failed,,,617,3417,1625,0.154,0.5
Failed,,,1702,4991,2540,0.982,0.2
Failed,,,4169,3002,4918,0.564,0.0
Failed,,,4030,55,624,0.924,0.6
Failed,,,2384,2812,1036,0.71,0.0
Failed,,,2726,2505,2155,0.943,0.001
Failed,,,1330,98,3418,0.062,0.0
Failed,,,2230,4650,4959,0.243,0.0
Failed,,,37,2648,4361,0.074,0.1
Failed,,,2489,1210,1823,0.984,0.9
Failed,,,1961,3254,3621,0.501,0.0
Failed,,,1421,1369,2729,0.373,0.0
Failed,,,3618,1441,4081,0.107,0.0
Failed,,,4583,2573,4491,0.733,0.8
Failed,,,1791,3683,3268,0.669,0.5
Failed,,,1215,3078,3778,0.226,0.0
Failed,,,3807,1285,1146,0.734,0.1
Failed,,,3680,4917,3607,0.324,0.7
Failed,,,1262,780,1316,0.84,0.0
Failed,,,2320,4004,318,0.896,0.0
Failed,,,2705,326,4601,0.379,0.6
Failed,,,4782,3337,2062,0.555,0.4
Failed,,,157,2315,2858,0.047,0.0
Failed,,,103,3231,994,0.79,0.9
Failed,,,1698,2177,154,0.416,0.0
Failed,,,4001,2275,2145,0.782,0.0
Failed,,,3485,4025,4685,0.152,0.0
Failed,,,1537,359,393,0.637,0.7
Failed,,,2354,4870,1392,0.567,0.6
Failed,,,225,2829,1985,0.743,0.0
Failed,,,196,3725,4842,0.174,0.0
Failed,,,2899,1658,4121,0.354,0.9
Failed,,,1097,1056,3500,0.112,0.001
Failed,,,500,3070,1882,0.107,0.0
Failed,,,4822,790,3095,0.551,0.8
Failed,,,3552,5000,31,0.366,0.01
Failed,,,1770,1460,4994,0.789,0.001
Failed,,,2046,3792,3661,0.976,0.0
Failed,,,2656,2332,1354,0.428,0.4
Failed,,,3848,3141,4273,0.737,0.5
Failed,,,4752,2189,551,0.29,0.0
Failed,,,3444,3273,2575,0.607,0.0
Failed,,,550,2137,2856,0.102,0.0
Failed,,,2256,616,1639,0.888,0.0
Failed,,,1171,4783,4401,0.221,0.001
Failed,,,4039,1710,32,0.519,0.2
Failed,,,4360,3123,4746,0.987,0.0
Failed,,,822,1187,355,0.252,0.4
Failed,,,1925,4216,3136,0.608,0.6
Failed,,,2963,2280,1257,0.154,0.0
Failed,,,3445,4633,1000,0.027,0.0
Failed,,,1490,4529,1499,0.32,0.0
Failed,,,3623,1343,3367,0.926,0.3
Failed,,,994,1825,2462,0.826,0.7
Failed,,,2390,3555,3998,0.034,0.4
Failed,,,3293,2752,1856,0.584,0.0
Failed,,,643,2035,4441,0.205,0.6
Failed,,,861,902,1877,0.735,0.9
Failed,,,4147,4962,4122,0.22,0.0
Failed,,,3067,2171,890,0.983,0.0
Failed,,,1978,3732,3098,0.499,0.4
Failed,,,1528,1323,4767,0.292,0.1
Failed,,,3564,2883,1388,0.808,0.0
Failed,,,4985,53,3624,0.052,0.0
Failed,,,147,4114,208,0.536,0.6
Failed,,,294,246,4375,0.411,0.0
Failed,,,4830,4312,2128,0.927,0.3
Failed,,,3712,1517,2860,0.183,0.7
Failed,,,1374,3081,654,0.667,0.0
Failed,,,2134,1895,1484,0.624,0.0
Failed,,,2920,3461,4862,0.109,0.6
Failed,,,4301,626,125,0.845,0.01
Failed,,,713,4691,3545,0.36,0.0
Failed,,,1182,1737,422,0.03,0.4
Failed,,,3844,2672,3254,0.512,0.0
Failed,,,2765,506,1719,0.254,0.001
Failed,,,2301,3942,4593,0.768,0.9
Failed,,,1851,1045,2531,0.943,0.7
Failed,,,3262,4480,987,0.46,0.0
Failed,,,4682,2275,3985,0.711,0.0
Failed,,,468,3211,2483,0.198,0.1
Failed,,,396,1657,3893,0.504,0.8
Failed,,,4619,2598,2272,0.022,0.0
Failed,,,3227,427,2713,0.775,0.0
Failed,,,1826,3867,1129,0.261,0.3
Failed,,,1170,945,4920,0.86,0.0
Failed,,,1266,1705,1031,0.914,0.0
Failed,,,3605,2645,2654,0.431,0.6
Failed,,,4723,436,2370,0.679,0.1
Failed,,,186,3875,3951,0.163,0.0
Failed,,,40,478,609,0.788,0.7
Failed,,,4878,3912,3365,0.304,0.0
Failed,,,3457,1747,1616,0.556,0.0
Failed,,,1420,2682,4408,0.04,0.2
Failed,,,1949,2305,2718,0.247,0.01
Failed,,,579,794,4569,0.979,0.01
Failed,,,4490,4855,1777,0.495,0.0
Failed,,,3371,2065,3213,0.739,0.0
Failed,,,1658,3624,458,0.224,0.5
Failed,,,2493,1352,2460,0.048,0.8
Failed,,,2655,2913,4043,0.532,0.0
Failed,,,4037,83,948,0.296,0.0
Failed,,,1073,4143,2567,0.812,0.3
Failed,,,901,2439,695,0.58,0.0
Failed,,,4187,3379,2824,0.067,0.1
Failed,,,3107,1208,2151,0.825,0.6
Failed,,,2019,4649,4317,0.341,0.0
Failed,,,1487,339,3585,0.384,0.001
Failed,,,3524,3778,90,0.899,0.9
Failed,,,4945,1568,4885,0.149,0.4
Failed,,,107,2509,1427,0.631,0.0
Failed,,,256,1844,3056,0.257,0.5
Failed,,,4792,2780,927,0.772,0.0
Failed,,,3674,614,4102,0.026,0.0
Failed,,,1336,4049,1932,0.508,0.1
Failed,,,2172,1015,165,0.714,0.2
Failed,,,1199,4895,4656,0.612,0.0
Failed,,,736,1609,1538,0.779,0.1
Failed,,,4335,2548,4955,0.265,0.0
Failed,,,2903,378,62,0.5,0.0
Failed,,,2127,3819,3443,0.018,0.6
Failed,,,1398,1247,4272,0.194,0.9
Failed,,,1965,576,1980,0.89,0.0
Failed,,,3064,4011,4186,0.376,0.2
Failed,,,4172,1807,797,0.639,0.8
Failed,,,896,2741,3044,0.157,0.0
Failed,,,1702,1427,3422,0.54,0.3
Failed,,,3426,2991,551,0.057,0.0
Failed,,,4494,157,4427,0.804,0.001
Failed,,,593,4222,1597,0.288,0.9
Failed,,,523,1254,149,0.133,0.0
Failed,,,4424,2813,3526,0.647,0.3
Failed,,,3356,23,1446,0.4,0.8
Failed,,,1632,4083,4865,0.882,0.0
Failed,,,2364,894,2884,0.839,0.0
Failed,,,2515,4953,635,0.326,0.5
Failed,,,3945,2124,4338,0.565,0.01
Failed,,,971,3684,2131,0.082,0.0
Failed,,,807,397,4024,0.312,0.4
Failed,,,4083,3838,2479,0.796,0.0
Failed,,,2975,1667,2509,0.033,0.001
Failed,,,1876,2607,1005,0.548,0.9
Failed,,,1475,2379,1758,0.724,0.6
Failed,,,3501,3319,4588,0.239,0.0
Failed,,,4892,1110,399,0.994,0.0
Failed,,,202,1073,2229,0.605,0.0
Failed,,,4728,4508,3770,0.12,0.7
Failed,,,3658,2342,1242,0.864,0.3
Failed,,,1309,3278,2746,0.349,0.0
Failed,,,2041,1788,4495,0.423,0.0
Failed,,,2817,2722,1661,0.907,0.01
Failed,,,4248,517,3351,0.171,0.5
Failed,,,649,3953,481,0.687,0.0
Failed,,,1130,1926,3603,0.954,0.8
Failed,,,3781,3492,223,0.441,0.001
Failed,,,2672,696,4804,0.7,0.0
Failed,,,2198,4761,1386,0.217,0.4
Failed,,,1797,294,870,0.01,0.1
Failed,,,3198,4359,3114,0.524,0.0
Failed,,,4590,1525,1913,0.274,0.0
Failed,,,2198,691,632,0.885,0.8
Failed,,,2661,4756,2877,0.401,0.0
