Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.32,11,245,3045,0.0,0.306
Completed,0.32,11,4883,4978,0.0,0.302
Completed,0.43,30,3865,2050,0.0,0.877
Completed,0.32,11,4604,2568,0.999,0.074
Completed,0.32,11,48,4256,0.0,0.368
Completed,0.32,11,225,2572,0.648,0.149
Completed,0.32,11,3078,4691,0.999,0.466
Completed,0.36,23,4620,256,0.508,0.721
Completed,0.49,28,665,2954,0.0,0.896
Completed,0.49,31,322,3592,0.0,0.868
Completed,0.48,34,4461,4923,0.077,0.888
Completed,0.32,12,783,554,0.0,0.183
Completed,0.32,11,4170,2666,0.292,0.029
Completed,0.32,11,21,35,0.999,0.159
Completed,0.32,11,2970,1949,0.672,0.306
Completed,0.38,25,227,3286,0.449,0.902
Completed,0.32,13,2102,1008,0.0,0.125
Completed,0.47,31,1687,1538,0.0,0.922
Completed,0.39,22,2188,1639,0.999,0.956
Completed,0.44,29,4382,746,0.0,0.949
Completed,0.35,23,184,519,0.999,0.878
Completed,0.37,26,4184,2201,0.999,0.746
Completed,0.47,49,156,4907,0.089,0.999
Completed,0.32,17,4698,4466,0.0,0.366
Completed,0.32,13,2633,398,0.0,0.36
Completed,0.48,42,1,4221,0.0,0.953
Completed,0.32,12,390,2460,0.0,0.043
Completed,0.43,31,4820,461,0.999,0.503
Completed,0.43,42,392,4682,0.211,0.999
Completed,0.32,11,3973,3945,0.0,0.377
Completed,0.42,27,651,408,0.0,0.897
Completed,0.32,13,2671,2942,0.999,0.167
Completed,0.33,21,12,580,0.999,0.498
Completed,0.32,15,350,4546,0.999,0.299
Completed,0.49,31,1302,4401,0.0,0.978
Completed,0.49,34,4742,4974,0.0,0.881
Completed,0.36,24,4828,583,0.999,0.943
Completed,0.37,20,3173,2621,0.999,0.957
Completed,0.45,28,4760,1645,0.0,0.999
Completed,0.32,12,3642,4529,0.999,0.945
Completed,0.49,29,4280,3307,0.0,0.391
Completed,0.32,12,2807,1601,0.633,0.001
Completed,0.4,22,586,104,0.999,0.763
Completed,0.32,11,4643,3885,0.0,0.375
Completed,0.32,11,871,4801,0.999,0.079
Completed,0.32,13,4975,4806,0.0,0.357
Completed,0.49,34,4558,3457,0.0,0.999
Completed,0.32,13,562,4734,0.999,0.323
Completed,0.5,34,223,4584,0.0,0.988
Completed,0.5,31,4774,4689,0.0,0.969
Completed,0.32,11,3102,4921,0.999,0.554
Completed,0.48,29,229,4947,0.092,0.578
Completed,0.32,11,4847,173,0.289,0.155
Completed,0.39,27,4894,364,0.0,0.948
Completed,0.32,11,4852,3735,0.999,0.688
Completed,0.49,29,4604,2600,0.0,0.399
Completed,0.33,16,635,4635,0.739,0.63
Completed,0.43,26,118,1104,0.0,0.753
Completed,0.32,11,4828,2394,0.0,0.299
Completed,0.32,12,69,2189,0.0,0.283
Completed,0.32,11,71,46,0.583,0.297
Completed,0.48,35,4677,3262,0.0,0.404
Completed,0.33,17,4322,3318,0.999,0.953
Completed,0.32,11,823,21,0.369,0.302
Completed,0.46,31,4763,1555,0.0,0.94
Completed,0.36,19,4621,1741,0.999,0.953
Completed,0.34,20,4428,2386,0.999,0.999
Completed,0.32,12,1829,197,0.999,0.247
Completed,0.32,12,4944,3536,0.999,0.345
Completed,0.32,11,117,4926,0.523,0.13
Completed,0.32,11,4972,1560,0.0,0.372
Completed,0.47,32,4729,2691,0.0,0.389
Completed,0.32,12,3920,2498,0.0,0.373
Completed,0.47,30,4243,2760,0.0,0.873
Completed,0.32,11,1486,5000,0.999,0.924
Completed,0.36,20,4910,2795,0.999,0.956
Completed,0.37,20,4901,2467,0.999,0.999
Completed,0.35,17,2264,2727,0.999,0.496
Completed,0.32,11,4727,3031,0.0,0.057
Completed,0.43,29,109,539,0.0,0.741
Completed,0.34,16,771,2929,0.999,0.607
Completed,0.32,11,4958,2569,0.318,0.135
Completed,0.51,31,74,4734,0.0,0.631
Completed,0.32,12,1936,1473,0.462,0.369
Completed,0.32,11,4644,862,0.349,0.374
Completed,0.5,30,2707,4934,0.0,0.443
Completed,0.44,29,1501,913,0.0,0.84
Completed,0.37,20,4790,1660,0.999,0.832
Completed,0.49,32,102,4326,0.0,0.442
Completed,0.32,11,3934,2376,0.0,0.116
Completed,0.51,29,4891,4740,0.0,0.951
Completed,0.32,11,3614,5000,0.999,0.045
Completed,0.32,11,404,1007,0.999,0.231
Completed,0.41,23,4733,4780,0.235,0.858
Completed,0.48,29,4793,3659,0.0,0.381
Completed,0.39,22,480,694,0.999,0.809
Completed,0.32,12,3710,3860,0.999,0.455
Completed,0.32,11,1317,11,0.019,0.255
Completed,0.32,11,4941,4836,0.999,0.513
Completed,0.48,35,2219,4937,0.08,0.619
Completed,0.32,11,3313,4851,0.0,0.285
Completed,0.32,12,2533,113,0.534,0.119
Completed,0.43,27,4984,4995,0.156,0.507
Completed,0.36,22,578,145,0.601,0.829
Completed,0.32,11,3061,4926,0.632,0.171
Completed,0.32,11,3681,4891,0.999,0.734
Completed,0.48,30,4766,2958,0.0,0.385
Completed,0.32,13,4836,4907,0.999,0.175
Completed,0.48,45,2267,4881,0.0,0.721
Completed,0.32,11,894,190,0.699,0.164
Completed,0.35,15,4436,2989,0.999,0.419
Completed,0.32,11,478,4990,0.0,0.04
Completed,0.35,22,4398,1424,0.307,0.387
Completed,0.32,12,1652,4968,0.999,0.826
Completed,0.35,18,461,4887,0.576,0.665
Completed,0.38,26,862,40,0.53,0.868
Completed,0.5,30,435,4166,0.0,0.723
Completed,0.48,34,586,4876,0.0,0.607
Completed,0.46,28,2874,397,0.0,0.854
Completed,0.43,28,362,4570,0.158,0.867
Completed,0.37,22,2052,16,0.0,0.736
Completed,0.48,29,4672,2913,0.0,0.38
Completed,0.37,19,18,1359,0.999,0.677
Completed,0.32,11,423,13,0.435,0.2
Completed,0.37,20,4247,1743,0.999,0.404
Completed,0.32,11,1927,1658,0.306,0.184
Completed,0.41,24,1219,4937,0.252,0.498
Completed,0.32,11,3270,4281,0.451,0.32
Completed,0.36,19,2902,4953,0.515,0.865
Completed,0.32,11,3388,261,0.999,0.034
Completed,0.32,11,446,414,0.0,0.042
Completed,0.45,32,4857,4931,0.131,0.951
Completed,0.32,11,2645,9,0.0,0.107
Completed,0.49,33,3614,3336,0.0,0.417
Completed,0.36,20,533,2146,0.999,0.629
Completed,0.32,12,4824,1917,0.463,0.284
Completed,0.37,19,4444,2183,0.999,0.388
Completed,0.36,22,4646,4472,0.471,0.948
Completed,0.32,12,2134,4973,0.603,0.087
Completed,0.32,12,4863,4934,0.21,0.291
Completed,0.32,12,178,4861,0.999,0.577
Completed,0.36,21,321,1020,0.999,0.527
Completed,0.32,11,185,4422,0.0,0.306
Completed,0.37,19,2203,2444,0.999,0.8
Completed,0.32,11,4416,383,0.0,0.319
Completed,0.49,29,1928,3252,0.0,0.623
Completed,0.51,32,4570,5000,0.0,0.721
Completed,0.46,31,4635,4522,0.109,0.965
Completed,0.39,23,3977,148,0.999,0.384
Completed,0.32,11,762,76,0.35,0.279
Completed,0.32,11,2261,2761,0.999,0.219
Completed,0.49,34,32,4985,0.0,0.517
Completed,0.4,24,4591,2815,0.482,0.96
Completed,0.32,11,1572,231,0.0,0.167
Completed,0.32,12,331,4721,0.0,0.296
Completed,0.49,29,3800,3978,0.0,0.392
Completed,0.46,29,4715,4939,0.102,0.857
Completed,0.46,33,2590,2415,0.0,0.384
Completed,0.36,17,3999,4770,0.549,0.932
Completed,0.32,12,4552,1701,0.0,0.377
Completed,0.5,33,4745,3765,0.0,0.966
Completed,0.32,11,414,4649,0.999,0.026
Completed,0.33,15,1306,3380,0.999,0.513
Completed,0.34,22,3556,58,0.0,0.625
Completed,0.32,11,3708,4777,0.999,0.246
Completed,0.5,32,4244,4103,0.0,0.42
Completed,0.34,17,1008,3357,0.999,0.667
Completed,0.39,29,4039,34,0.999,0.798
Completed,0.37,21,172,184,0.999,0.72
Completed,0.32,12,2984,3728,0.999,0.808
Completed,0.32,12,1474,5000,0.167,0.06
Completed,0.32,11,4764,3107,0.7,0.088
Completed,0.32,11,910,2048,0.999,0.111
Completed,0.32,12,4416,2855,0.0,0.375
Completed,0.32,12,1378,37,0.681,0.323
Completed,0.32,11,4694,1754,0.171,0.076
Completed,0.34,26,1335,33,0.0,0.851
Completed,0.32,11,167,503,0.78,0.098
Completed,0.35,17,528,2858,0.999,0.521
Completed,0.34,20,4638,178,0.495,0.918
Completed,0.32,12,181,5,0.0,0.32
Completed,0.4,24,3709,4905,0.357,0.858
Completed,0.32,11,1306,4857,0.999,0.385
Completed,0.47,28,4509,1245,0.0,0.384
Completed,0.35,21,4091,4949,0.581,0.696
Completed,0.32,12,3533,2503,0.0,0.205
Completed,0.49,28,492,2996,0.0,0.386
Completed,0.32,11,1372,4648,0.999,0.663
Completed,0.34,17,4627,2956,0.999,0.777
Completed,0.32,12,3641,4964,0.92,0.226
Completed,0.32,11,4885,368,0.0,0.328
Completed,0.32,11,4683,4981,0.431,0.104
Completed,0.32,11,3509,523,0.999,0.357
Completed,0.32,11,4848,1808,0.297,0.325
Completed,0.48,36,4764,4936,0.071,0.502
Completed,0.34,16,1910,4682,0.715,0.889
Completed,0.38,24,466,1242,0.999,0.821
Completed,0.32,12,4812,3887,0.0,0.314
Completed,0.48,32,3803,3954,0.0,0.411
Completed,0.36,19,4586,2152,0.999,0.873
Completed,0.32,11,4089,3559,0.999,0.047
Completed,0.51,29,4948,3945,0.0,0.947
Completed,0.34,14,1936,3353,0.999,0.898
Completed,0.32,11,129,47,0.999,0.33
Completed,0.32,11,4799,4960,0.289,0.169
Completed,0.32,11,4223,79,0.921,0.226
Completed,0.32,11,4486,1308,0.999,0.196
Completed,0.47,30,4849,3686,0.087,0.856
Completed,0.32,12,4596,2187,0.999,0.376
Completed,0.37,21,578,4169,0.512,0.834
Completed,0.38,20,4784,1168,0.999,0.384
Completed,0.37,22,3093,3040,0.647,0.707
Completed,0.43,31,4161,2291,0.143,0.489
Completed,0.35,25,1746,1653,0.603,0.801
Completed,0.38,24,554,66,0.671,0.933
Completed,0.39,23,4986,1756,0.796,0.658
Completed,0.36,22,1100,2947,0.954,0.813
Completed,0.46,37,666,1390,0.008,0.501
Completed,0.49,28,4736,2965,0.0,0.383
Completed,0.32,11,4710,102,0.336,0.2
Completed,0.32,12,714,4541,0.999,0.88
Completed,0.32,11,4305,4976,0.999,0.481
Completed,0.34,15,5000,2736,0.999,0.849
Completed,0.35,20,5000,1,0.0,0.999
