Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,3,4872,4780,0.0,0.694
Completed,0.73,1,1402,4152,0.385,0.054
Completed,0.73,1,4465,1979,0.881,0.679
Completed,0.73,1,1677,3265,0.307,0.001
Completed,0.73,1,4696,4922,0.94,0.391
Completed,0.74,2,923,3463,0.018,0.67
Completed,0.73,1,2527,4832,0.36,0.649
Completed,0.74,2,1208,3232,0.053,0.716
Completed,0.73,1,4995,2121,0.519,0.835
Completed,0.73,2,242,3693,0.045,0.735
Completed,0.74,2,534,2848,0.05,0.999
Completed,0.73,1,35,3939,0.073,0.651
Completed,0.73,2,847,3491,0.061,0.693
Completed,0.73,2,180,3689,0.052,0.698
Completed,0.73,1,90,4350,0.122,0.561
Completed,0.73,2,115,3708,0.048,0.712
Completed,0.74,2,9,3467,0.036,0.775
Completed,0.73,2,60,3361,0.07,0.671
Completed,0.73,1,1960,2749,0.51,0.811
Completed,0.73,1,1924,2929,0.129,0.563
Completed,0.73,2,4174,2662,0.483,0.999
Completed,0.73,1,1129,2747,0.108,0.572
Completed,0.73,1,522,2476,0.528,0.787
Completed,0.73,1,332,3337,0.088,0.624
Completed,0.73,1,4949,311,0.095,0.001
Completed,0.74,2,872,3548,0.0,0.943
Completed,0.73,1,151,4664,0.527,0.819
Completed,0.73,1,152,2376,0.108,0.001
Completed,0.73,1,258,4195,0.109,0.578
Completed,0.74,2,4352,3769,0.485,0.999
Completed,0.73,1,592,2936,0.151,0.552
Completed,0.73,1,488,3023,0.099,0.607
Completed,0.73,1,3826,3680,0.518,0.856
Completed,0.73,1,20,3219,0.0,0.365
Completed,0.73,1,42,2058,0.509,0.841
Completed,0.74,2,245,3623,0.0,0.999
Completed,0.73,2,4749,4893,0.837,0.999
Completed,0.73,1,4657,4468,0.538,0.892
Completed,0.73,1,4225,3719,0.471,0.93
Completed,0.73,1,3513,9,0.845,0.143
Completed,0.73,1,4339,4455,0.472,0.917
Completed,0.73,1,4885,2716,0.487,0.904
Completed,0.73,1,4331,4784,0.468,0.952
Completed,0.73,1,36,2930,0.0,0.496
Completed,0.73,1,2020,4935,0.861,0.12
Completed,0.73,2,110,4124,0.029,0.642
Completed,0.73,1,22,4827,0.54,0.883
Completed,0.73,1,166,3362,0.479,0.943
Completed,0.73,1,4391,1708,0.346,0.567
Completed,0.73,1,87,2313,0.183,0.606
Completed,0.73,2,702,2988,0.026,0.645
Completed,0.73,1,737,4755,0.838,0.342
Completed,0.73,1,1417,4731,0.608,0.932
Completed,0.73,1,674,4164,0.18,0.607
Completed,0.73,1,1634,24,0.241,0.167
Completed,0.73,1,4995,1212,0.605,0.028
Completed,0.74,2,93,3783,0.0,0.916
Completed,0.74,2,2093,2929,0.097,0.999
Completed,0.73,1,4972,3202,0.724,0.235
Completed,0.73,1,4796,4154,0.886,0.488
Completed,0.73,1,4885,2254,0.946,0.855
Completed,0.73,1,4292,2830,0.839,0.073
Completed,0.73,1,4284,4957,0.521,0.928
Completed,0.73,2,1145,3089,0.037,0.643
Completed,0.73,1,4951,133,0.854,0.087
Completed,0.73,1,4933,88,0.612,0.176
Completed,0.73,1,4679,3765,0.497,0.905
Completed,0.74,2,3782,3584,0.052,0.911
Completed,0.73,1,132,4961,0.999,0.001
Completed,0.73,1,274,2393,0.936,0.845
Completed,0.74,2,4863,3645,0.086,0.999
Completed,0.74,2,3308,3623,0.0,0.999
Completed,0.73,2,884,3219,0.133,0.999
Completed,0.73,1,169,1384,0.488,0.317
Completed,0.73,1,1894,505,0.108,0.12
Completed,0.73,1,87,2536,0.4,0.001
Completed,0.73,1,663,967,0.283,0.059
Completed,0.73,1,2221,1794,0.79,0.001
Completed,0.73,1,1918,4852,0.739,0.566
Completed,0.73,1,415,1583,0.471,0.001
Completed,0.73,1,4889,4814,0.634,0.352
Completed,0.73,1,438,1381,0.91,0.528
Completed,0.73,1,392,470,0.141,0.001
Completed,0.73,1,362,977,0.732,0.287
Completed,0.73,1,237,2892,0.531,0.888
Completed,0.73,1,38,1337,0.698,0.498
Completed,0.73,1,1004,2846,0.914,0.001
Completed,0.73,1,4105,1855,0.999,0.566
Completed,0.73,1,4874,3363,0.89,0.002
Completed,0.73,1,531,1009,0.504,0.492
Completed,0.73,1,239,738,0.935,0.154
Completed,0.73,2,4684,3550,0.056,0.668
Completed,0.73,1,3352,1224,0.36,0.267
Completed,0.73,1,54,1,0.0,0.001
Completed,0.73,1,4564,3085,0.999,0.862
Completed,0.74,2,4164,3740,0.038,0.999
Completed,0.73,1,4940,3099,0.999,0.001
Completed,0.73,1,593,1833,0.541,0.901
Completed,0.73,1,931,1456,0.0,0.092
Completed,0.73,1,4617,2922,0.191,0.579
Completed,0.73,2,1543,3973,0.044,0.666
Completed,0.73,1,2950,3884,0.0,0.087
Completed,0.74,2,3531,3533,0.0,0.944
Completed,0.73,1,3939,4169,0.252,0.001
Completed,0.74,2,4664,3519,0.0,0.927
Completed,0.73,2,4185,3595,0.041,0.678
Completed,0.73,1,4912,1551,0.728,0.047
Completed,0.73,1,4828,1653,0.559,0.938
Completed,0.74,2,4768,3477,0.0,0.999
Completed,0.73,1,220,4289,0.0,0.42
Completed,0.73,1,154,1687,0.998,0.231
Completed,0.74,2,138,3413,0.062,0.899
Completed,0.73,1,695,3718,0.064,0.398
Completed,0.73,2,939,3867,0.05,0.659
Completed,0.73,1,366,4787,0.044,0.383
Completed,0.73,1,4726,4799,0.802,0.656
Completed,0.73,1,4230,2057,0.908,0.643
Completed,0.73,1,3868,2004,0.999,0.001
Completed,0.73,1,78,3488,0.393,0.001
Completed,0.73,1,3297,4959,0.798,0.291
Completed,0.73,1,4401,1620,0.999,0.862
Completed,0.73,1,726,4773,0.193,0.301
Completed,0.73,1,1641,2651,0.891,0.298
Completed,0.74,2,4555,3500,0.1,0.957
Completed,0.74,2,3799,3932,0.071,0.879
Completed,0.73,1,1118,668,0.57,0.259
Completed,0.73,1,2268,4996,0.438,0.001
Completed,0.73,2,4743,2603,0.486,0.948
Completed,0.73,2,3354,3543,0.072,0.728
Completed,0.74,2,4878,3443,0.039,0.935
Completed,0.73,1,3033,3710,0.095,0.66
Completed,0.73,2,4508,3626,0.092,0.813
Completed,0.73,1,4116,3351,0.078,0.676
Completed,0.73,1,3581,22,0.999,0.25
Completed,0.73,1,3324,4140,0.0,0.001
Completed,0.73,1,3134,363,0.813,0.393
Completed,0.73,2,1058,3734,0.064,0.69
Completed,0.73,1,927,2156,0.901,0.938
Completed,0.73,1,4820,45,0.271,0.302
Completed,0.73,1,321,3581,0.088,0.663
Completed,0.73,1,3175,1828,0.616,0.266
Completed,0.73,1,2398,3394,0.081,0.669
Completed,0.73,1,1306,1,0.999,0.001
Completed,0.73,1,328,35,0.55,0.001
Completed,0.73,1,960,1124,0.397,0.461
Completed,0.73,1,1199,2733,0.999,0.072
Completed,0.73,1,3325,3638,0.072,0.682
Completed,0.73,1,750,1327,0.605,0.385
Completed,0.73,1,1490,598,0.557,0.683
Completed,0.73,1,4946,170,0.112,0.187
Completed,0.74,2,4704,3687,0.0,0.999
Completed,0.73,1,763,1727,0.999,0.001
Completed,0.73,1,272,4947,0.65,0.528
Completed,0.73,1,48,1000,0.0,0.001
Completed,0.73,1,4450,4982,0.352,0.001
Completed,0.73,1,255,1487,0.999,0.063
Completed,0.73,1,4782,3197,0.482,0.929
Completed,0.73,1,2233,3669,0.777,0.001
Completed,0.73,1,1987,4729,0.781,0.941
Completed,0.73,1,2768,518,0.679,0.205
Completed,0.73,1,1437,44,0.233,0.245
Completed,0.73,1,398,2419,0.916,0.876
Completed,0.73,1,11,4999,0.409,0.413
Completed,0.73,1,4016,2719,0.206,0.001
Completed,0.73,1,3497,4580,0.566,0.558
Completed,0.73,1,4982,1049,0.448,0.602
Completed,0.73,1,4391,762,0.243,0.216
Completed,0.73,1,758,4156,0.855,0.969
Completed,0.73,1,268,959,0.194,0.073
Completed,0.73,1,1215,4994,0.289,0.238
Completed,0.73,1,329,1160,0.256,0.406
Completed,0.73,1,1653,4886,0.859,0.001
Completed,0.73,1,733,588,0.903,0.255
Completed,0.73,1,1840,4827,0.911,0.052
Completed,0.73,1,381,4972,0.847,0.491
Completed,0.73,1,623,1024,0.667,0.074
Completed,0.73,2,3808,4528,0.297,0.999
Completed,0.73,1,3967,886,0.932,0.387
Completed,0.73,2,2014,3506,0.143,0.837
Completed,0.73,1,1,1,0.441,0.556
Completed,0.73,1,439,485,0.468,0.99
Completed,0.73,1,386,1313,0.845,0.999
Completed,0.73,1,4329,1305,0.855,0.967
Completed,0.72,1,2042,1,0.433,0.982
