Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.52,7,833,92,0.0,0.766
Completed,0.52,7,2867,3540,0.999,0.088
Completed,0.52,7,511,3909,0.0,0.752
Completed,0.52,7,270,4700,0.0,0.597
Completed,0.52,7,3956,4826,0.999,0.193
Completed,0.52,7,406,4957,0.0,0.742
Completed,0.52,7,1724,1936,0.0,0.682
Completed,0.52,7,3872,3776,0.356,0.789
Completed,0.52,7,4534,4829,0.29,0.734
Completed,0.52,7,2065,2820,0.0,0.763
Completed,0.52,6,440,4439,0.458,0.791
Completed,0.52,6,485,192,0.999,0.087
Completed,0.52,7,655,4836,0.426,0.696
Completed,0.52,7,1160,4361,0.0,0.579
Completed,0.52,6,749,536,0.0,0.684
Completed,0.52,7,174,1625,0.0,0.791
Completed,0.52,7,4199,4947,0.0,0.585
Completed,0.52,6,773,3457,0.0,0.665
Completed,0.52,7,75,4853,0.0,0.608
Completed,0.52,7,2934,205,0.0,0.131
Completed,0.52,7,4791,1414,0.219,0.771
Completed,0.52,7,3200,4941,0.0,0.874
Completed,0.52,7,4298,4215,0.0,0.728
Completed,0.52,7,4488,4380,0.999,0.275
Completed,0.52,7,4247,4915,0.0,0.022
Completed,0.52,7,308,75,0.0,0.819
Completed,0.52,7,2089,4725,0.999,0.148
Completed,0.52,7,1839,269,0.0,0.706
Completed,0.52,6,717,219,0.999,0.573
Completed,0.52,7,4858,58,0.999,0.399
Completed,0.52,7,4036,4922,0.0,0.057
Completed,0.52,6,3632,275,0.887,0.115
Completed,0.52,7,665,4797,0.0,0.232
Completed,0.52,7,1351,4587,0.999,0.523
Completed,0.52,6,34,107,0.0,0.214
Completed,0.52,7,1225,155,0.674,0.8
Completed,0.52,7,1814,50,0.329,0.207
Completed,0.52,6,4392,4607,0.0,0.984
Completed,0.52,6,534,118,0.999,0.046
Completed,0.52,7,591,2815,0.999,0.663
Completed,0.52,7,1587,4624,0.999,0.395
Completed,0.52,6,4465,758,0.999,0.419
Completed,0.52,6,2312,1497,0.0,0.235
Completed,0.52,7,2810,4853,0.999,0.41
Completed,0.52,7,3896,151,0.454,0.273
Completed,0.52,6,1302,5,0.999,0.616
Completed,0.52,6,3851,169,0.0,0.24
Completed,0.52,6,212,407,0.976,0.336
Completed,0.52,7,3265,4741,0.127,0.371
Completed,0.52,6,3530,109,0.999,0.911
Completed,0.52,7,4748,4883,0.519,0.98
Completed,0.52,7,172,4980,0.607,0.306
Completed,0.52,7,4539,38,0.7,0.288
Completed,0.52,6,156,628,0.999,0.422
Completed,0.52,6,975,177,0.0,0.177
Completed,0.52,7,4340,4506,0.999,0.496
Completed,0.52,7,49,1136,0.0,0.571
Completed,0.52,7,4752,200,0.999,0.144
Completed,0.52,7,4982,3563,0.0,0.971
Completed,0.52,8,3685,498,0.266,0.194
Completed,0.52,7,1937,663,0.999,0.946
Completed,0.52,7,1383,4995,0.999,0.728
Completed,0.52,7,4444,4896,0.999,0.677
Completed,0.52,7,3910,325,0.481,0.164
Completed,0.52,7,3811,4874,0.165,0.875
Completed,0.52,6,364,194,0.326,0.931
Completed,0.52,7,3486,309,0.296,0.306
Completed,0.52,7,2530,4923,0.093,0.971
Completed,0.52,7,230,4781,0.11,0.978
Completed,0.52,7,976,613,0.999,0.928
Completed,0.52,7,3864,4128,0.999,0.717
Completed,0.52,8,309,1872,0.999,0.18
Completed,0.52,7,2938,4850,0.999,0.658
Completed,0.52,7,120,2875,0.999,0.931
Completed,0.52,6,4048,2276,0.703,0.342
Completed,0.52,7,3635,4367,0.314,0.312
Completed,0.52,8,4856,948,0.0,0.056
Completed,0.52,7,4538,3657,0.348,0.076
Completed,0.52,7,4367,621,0.999,0.935
Completed,0.52,7,4169,18,0.758,0.405
Completed,0.55,15,2,4921,0.0,0.995
Completed,0.52,9,1585,59,0.478,0.56
Completed,0.52,7,4969,392,0.384,0.323
Completed,0.52,8,1120,4713,0.999,0.607
Completed,0.52,7,883,1947,0.0,0.922
Completed,0.52,7,3999,2153,0.396,0.385
Completed,0.52,7,1687,4797,0.0,0.472
Completed,0.52,6,4557,3173,0.665,0.041
Completed,0.52,7,846,4913,0.6,0.045
Completed,0.52,7,4766,1021,0.999,0.034
Completed,0.52,7,2020,4889,0.227,0.411
Completed,0.52,6,1336,207,0.749,0.103
Completed,0.52,7,370,730,0.0,0.448
Completed,0.52,7,12,27,0.676,0.675
Completed,0.52,7,1552,4723,0.447,0.465
Completed,0.52,6,557,95,0.0,0.255
Completed,0.52,7,4400,4720,0.0,0.977
Completed,0.52,7,3705,5,0.658,0.429
Completed,0.52,7,1022,308,0.617,0.518
Completed,0.52,7,1181,62,0.703,0.603
Completed,0.52,7,4301,3634,0.746,0.352
Completed,0.52,6,3167,4,0.312,0.466
Completed,0.52,7,281,4079,0.651,0.029
Completed,0.52,7,3860,3419,0.0,0.3
Completed,0.52,7,4395,4328,0.395,0.243
Completed,0.52,6,3252,409,0.205,0.479
Completed,0.52,7,320,4542,0.797,0.229
Completed,0.52,6,4896,494,0.596,0.663
Completed,0.52,7,1315,54,0.614,0.137
Completed,0.52,7,849,288,0.999,0.588
Completed,0.52,7,3979,20,0.0,0.66
Completed,0.52,7,1647,3935,0.999,0.946
Completed,0.52,7,4006,4761,0.999,0.774
Completed,0.52,6,1851,27,0.0,0.923
Completed,0.52,6,1562,506,0.382,0.759
Completed,0.52,7,1489,4725,0.999,0.833
Completed,0.52,6,1997,4895,0.088,0.646
Completed,0.52,7,1304,4843,0.0,0.984
Completed,0.52,7,389,8,0.0,0.24
Completed,0.52,6,4608,450,0.0,0.982
Completed,0.52,7,572,4963,0.0,0.974
Completed,0.52,6,1199,2266,0.0,0.349
Completed,0.52,7,527,96,0.999,0.116
Completed,0.52,7,11,2636,0.715,0.118
Completed,0.52,7,3651,4940,0.0,0.992
Completed,0.52,6,1696,275,0.999,0.22
Completed,0.52,6,2367,485,0.999,0.838
Completed,0.52,7,1087,4951,0.999,0.981
Completed,0.52,7,575,368,0.999,0.752
Completed,0.52,6,513,44,0.0,0.472
Completed,0.52,6,3919,294,0.999,0.072
Completed,0.54,15,2971,5000,0.0,0.996
Completed,0.52,7,2067,4465,0.784,0.257
Completed,0.52,6,4531,217,0.999,0.29
Completed,0.52,7,3484,315,0.512,0.075
Completed,0.52,7,27,32,0.48,0.643
Completed,0.52,6,4877,812,0.0,0.464
Completed,0.52,7,1948,4803,0.0,0.165
Completed,0.52,6,1130,2339,0.744,0.21
Completed,0.52,7,288,2842,0.868,0.095
Completed,0.52,7,3487,3787,0.531,0.488
Completed,0.52,6,1499,311,0.267,0.666
Completed,0.52,7,1587,3220,0.6,0.858
Completed,0.52,7,3437,2088,0.334,0.051
Completed,0.52,6,1654,1,0.174,0.001
Completed,0.52,7,5000,4499,0.47,0.999
Completed,0.52,8,4675,3379,0.96,0.494
Completed,0.52,6,4884,4677,0.676,0.645
Completed,0.52,6,311,2687,0.327,0.672
Completed,0.52,7,4001,1356,0.69,0.355
Completed,0.52,7,3422,4872,0.227,0.886
Completed,0.52,7,2114,1046,0.847,0.072
Completed,0.52,7,1558,4299,0.609,0.214
Completed,0.52,6,2749,332,0.496,0.78
Completed,0.52,7,4505,4258,0.167,0.53
Completed,0.52,6,866,1878,0.089,0.559
Completed,0.52,7,1022,4511,0.882,0.836
Completed,0.52,6,4830,822,0.011,0.153
Completed,0.52,7,2904,2933,0.531,0.62
Completed,0.52,6,1713,1778,0.418,0.437
Completed,0.52,7,2269,3505,0.18,0.295
Completed,0.52,6,3578,2492,0.8,0.728
Completed,0.52,7,4157,3819,0.28,0.015
Completed,0.52,6,465,301,0.644,0.947
Completed,0.52,7,519,3946,0.045,0.44
Completed,0.52,7,4249,135,0.906,0.506
Completed,0.52,6,3641,3651,0.385,0.221
Completed,0.52,7,2372,2306,0.506,0.786
Completed,0.52,7,1776,3118,0.767,0.928
Completed,0.52,7,3006,1631,0.155,0.114
Completed,0.52,7,4766,3000,0.446,0.363
Completed,0.52,6,1114,696,0.306,0.329
Completed,0.52,7,647,3233,0.723,0.053
Completed,0.52,6,4416,2063,0.353,0.985
Completed,0.52,7,2539,4172,0.814,0.272
Completed,0.52,7,1308,497,0.201,0.706
Completed,0.52,7,1904,4705,0.463,0.562
Completed,0.52,7,3174,1173,0.584,0.38
Completed,0.52,7,3782,2501,0.123,0.847
Completed,0.52,7,51,1503,0.985,0.164
Completed,0.52,7,121,4990,0.55,0.321
Completed,0.52,7,3851,1008,0.437,0.637
Completed,0.52,6,3257,2806,0.895,0.106
Completed,0.52,7,1988,1319,0.024,0.921
Completed,0.52,6,1373,3339,0.262,0.809
Completed,0.52,6,2604,1994,0.625,0.244
Completed,0.52,8,4545,4958,0.407,0.827
Completed,0.52,6,736,448,0.788,0.463
Completed,0.52,7,1206,2814,0.246,0.188
Completed,0.52,6,4975,1815,0.865,0.869
Completed,0.52,7,3074,4393,0.34,0.403
Completed,0.52,6,1844,860,0.703,0.587
Completed,0.52,7,2458,3860,0.941,0.697
Completed,0.52,6,3728,185,0.071,0.265
Completed,0.52,7,4322,3545,0.596,0.978
Completed,0.52,7,591,2376,0.484,0.045
Completed,0.52,7,381,3692,0.829,0.537
Completed,0.52,6,4072,2190,0.216,0.47
Completed,0.52,7,3508,3986,0.74,0.755
Completed,0.52,7,2200,19,0.369,0.191
Completed,0.52,7,1623,4559,0.108,0.079
Completed,0.52,6,2815,733,0.97,0.895
Completed,0.52,7,4960,3716,0.19,0.035
Completed,0.52,9,957,1669,0.568,0.678
Completed,0.52,7,800,4132,0.4,0.955
Completed,0.52,6,4608,614,0.521,0.023
Completed,0.52,6,2657,3192,0.061,0.735
Completed,0.52,7,1466,2179,0.923,0.303
Completed,0.52,7,2042,2620,0.662,0.414
Completed,0.52,6,3351,1465,0.292,0.597
Completed,0.52,8,3914,4824,0.751,0.13
Completed,0.52,7,223,1135,0.138,0.812
Completed,0.52,7,161,4234,0.804,0.026
Completed,0.52,7,3970,398,0.176,0.965
Completed,0.52,7,3298,3288,0.655,0.308
Completed,0.52,6,2106,1967,0.269,0.748
Completed,0.52,7,1414,2757,0.007,0.605
Completed,0.52,7,2722,1285,0.886,0.415
Completed,0.52,7,4400,2719,0.715,0.165
Completed,0.52,7,854,961,0.543,0.137
Completed,0.52,6,1009,3590,0.485,0.483
Completed,0.52,6,4701,2406,0.621,0.541
Completed,0.52,7,2877,3890,0.085,0.201
Completed,0.52,6,1569,231,0.964,0.759
Completed,0.52,7,2262,4421,0.702,0.901
Completed,0.52,6,3453,913,0.315,0.094
Completed,0.52,6,4125,2866,0.851,0.68
Completed,0.52,7,317,1843,0.223,0.372
Completed,0.52,6,574,3032,0.588,0.863
Completed,0.52,7,4344,1716,0.459,0.173
Completed,0.52,7,3703,4607,0.996,0.585
Completed,0.52,7,2472,767,0.111,0.394
Completed,0.52,7,1817,4037,0.349,0.252
Completed,0.52,7,3087,46,0.727,0.693
Completed,0.52,10,4768,3921,0.935,0.942
Completed,0.52,9,1230,2239,0.826,0.974
Completed,0.52,7,762,4772,0.143,0.629
Completed,0.52,7,4493,1107,0.779,0.32
Completed,0.52,8,2619,2591,0.302,0.906
Completed,0.52,6,1350,1412,0.68,0.099
Completed,0.52,8,2005,3161,0.918,0.241
Completed,0.52,7,3235,2134,0.033,0.799
Completed,0.52,7,3876,4087,0.51,0.459
Completed,0.52,6,107,584,0.381,0.517
Completed,0.58,12,36,3404,0.067,0.998
Completed,0.52,7,3805,1927,0.945,0.058
Completed,0.52,7,3148,4350,0.472,0.716
Completed,0.52,6,1917,358,0.608,0.276
Completed,0.52,8,1283,4919,0.87,0.386
Completed,0.52,7,2552,1079,0.242,0.578
Completed,0.52,7,4638,3839,0.593,0.292
Completed,0.52,8,670,1404,0.328,0.855
Completed,0.52,7,1140,3775,0.637,0.51
Completed,0.52,7,4870,271,0.25,0.451
Completed,0.52,7,3023,3474,0.791,0.79
Completed,0.52,7,1753,2446,0.164,0.233
Completed,0.52,7,2388,2903,0.425,0.122
Completed,0.52,6,3617,1724,0.561,0.93
Completed,0.52,7,4275,4460,0.02,0.344
Completed,0.52,6,506,795,0.898,0.651
Completed,0.52,7,402,4645,0.287,0.145
Completed,0.52,6,4211,648,0.666,0.834
