Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.55,11337,2455,0.129,0.314,3421,2994,1198
Completed,0.54,11964,2460,0.568,0.743,3011,3320,1823
Completed,0.55,3016,43,0.127,0.083,1231,4014,622
Completed,0.56,12574,838,0.99,0.383,292,4790,1975
Completed,0.54,7190,398,0.97,0.672,2454,3656,3641
Completed,0.54,4567,2102,0.288,0.03,4229,4369,4861
Completed,0.58,2120,2013,0.879,0.854,2241,3794,2634
Completed,0.55,11465,484,0.314,0.445,4211,3257,3836
Completed,0.32,61,3436,0.665,0.539,2,939,2319
Completed,0.55,14124,2638,0.468,0.988,975,164,243
Completed,0.53,7438,245,0.835,0.593,3499,582,4504
Completed,0.54,8387,2252,0.394,0.237,434,2369,3205
Completed,0.53,8198,2312,0.867,0.474,1371,2928,3004
Completed,0.53,6653,188,0.434,0.821,4436,4715,4283
Completed,0.55,14356,654,0.699,0.65,4121,3930,3156
Completed,0.55,13006,2541,0.802,0.721,1913,4473,971
Completed,0.53,4975,2123,0.68,0.118,3411,4965,1296
Completed,0.53,6823,380,0.122,0.713,225,3021,16
Completed,0.53,4817,140,0.604,0.315,2170,662,667
Completed,0.53,10222,2362,0.171,0.982,3949,1355,1888
Completed,0.55,11820,2576,0.254,0.082,3197,2131,4546
Completed,0.55,12447,635,0.248,0.043,327,1265,2356
Completed,0.54,9001,328,0.811,0.274,4687,4344,1846
Completed,0.53,5998,2178,0.495,0.931,1462,3651,547
Completed,0.55,13505,587,0.228,0.777,1953,290,3279
Completed,0.54,12548,2535,0.117,0.297,2609,3129,2186
Completed,0.53,5844,201,0.749,0.13,147,3548,2600
Completed,0.53,9399,2296,0.059,0.54,3172,4086,3899
Completed,0.52,6845,2199,0.704,0.812,4734,1202,4889
Completed,0.54,10037,300,0.021,0.393,1709,1740,3609
Completed,0.54,4843,2079,0.765,0.669,523,1685,661
Completed,0.53,11925,423,0.457,0.002,3749,992,1940
Completed,0.55,2848,37,0.939,0.899,4286,2690,1282
Completed,0.56,11094,2464,0.257,0.301,2467,4633,61
Completed,0.54,11626,2497,0.797,0.879,3673,1970,4260
Completed,0.71,791,2,0.488,0.29,492,7,2980
Completed,0.54,10078,454,0.822,0.147,715,2575,875
Completed,0.54,2935,2051,0.39,0.555,2534,4519,2154
Completed,0.53,8250,286,0.534,0.784,2915,4081,1911
Completed,0.52,6872,2215,0.225,0.39,939,3524,690
