Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.82,13411,4220,0.456,0.892,1112,258,4910
Completed,0.83,13500,4954,0.943,0.631,116,455,2820
Completed,0.84,6836,173,0.255,0.63,4599,229,2338
Completed,0.63,7095,1335,0.3,0.315,462,1982,513
Completed,0.72,10637,1731,0.393,0.757,915,3278,223
Completed,0.84,12394,3674,0.954,0.732,3842,131,4013
Completed,0.82,10974,2547,0.282,0.203,183,730,4123
Completed,0.84,3983,2697,0.204,0.978,4212,8,2016
Completed,0.81,8182,374,0.47,0.426,538,435,56
Completed,0.64,9322,311,0.316,0.99,679,1320,382
Completed,0.82,11849,1068,0.989,0.161,754,608,2068
Completed,0.83,14098,4216,0.63,0.241,3688,114,2969
Completed,0.67,6243,4265,0.069,0.602,354,3495,547
Completed,0.86,8548,2099,0.407,0.932,1524,503,2989
Completed,0.6,11541,698,0.262,0.909,145,3171,2078
Completed,0.84,13520,3576,0.747,0.85,1986,212,2571
Completed,0.71,3158,4133,0.529,0.791,207,1030,180
Completed,0.84,7343,3025,0.276,0.334,2624,126,1809
Completed,0.84,9309,902,0.949,0.312,3312,221,4500
Completed,0.82,9482,2413,0.104,0.255,549,619,3178
Completed,0.85,12152,228,0.462,0.042,2903,486,2762
Completed,0.84,13614,4586,0.166,0.119,290,106,2255
Completed,0.85,5494,83,0.386,0.134,799,102,3076
Completed,0.65,10820,2690,0.478,0.922,69,1131,1835
Completed,0.82,11595,658,0.905,0.406,429,722,4814
Completed,0.84,13814,3068,0.183,0.704,4468,332,4855
Completed,0.85,3660,2425,0.701,0.318,1384,33,2387
Completed,0.59,8781,3368,0.244,0.347,120,1304,1454
Completed,0.84,8884,664,0.152,0.588,893,144,2715
Completed,0.82,9943,89,0.64,0.825,326,782,4414
Completed,0.61,6255,1803,0.978,0.479,233,3335,803
Completed,0.85,6840,236,0.874,0.103,4031,177,1675
Completed,0.84,10208,1599,0.291,0.866,3228,58,3225
Completed,0.58,10636,1975,0.34,0.68,307,2613,1628
Completed,0.82,13823,484,0.545,0.259,819,963,4700
Completed,0.81,5792,2915,0.576,0.548,49,270,942
Completed,0.84,7774,3280,0.801,0.461,1021,96,3596
Completed,0.71,9885,3879,0.227,0.045,847,1763,208
Completed,0.84,11019,3735,0.011,0.881,2561,68,1467
Completed,0.7,5777,4993,0.334,0.183,456,3315,244
Completed,0.84,6979,2868,0.981,0.427,1894,35,2894
Completed,0.85,8123,2094,0.661,0.124,2300,370,4484
Completed,0.49,13559,126,0.028,0.361,39,3202,2458
Completed,0.85,9201,1073,0.237,0.845,603,249,417
Completed,0.84,9632,379,0.724,0.616,699,459,2469
Completed,0.84,12987,3435,0.438,0.305,4122,184,2201
Completed,0.84,5739,2542,0.536,0.76,960,152,3431
Completed,0.83,11632,530,0.771,0.332,4946,278,3953
Completed,0.8,12353,3275,0.049,0.529,235,776,3841
Completed,0.63,12540,4441,0.492,0.749,900,1931,570
Completed,0.85,5145,2269,0.058,0.412,3133,134,3489
Completed,0.85,5365,816,0.608,0.682,3966,14,1296
Completed,0.77,8109,3457,0.841,0.222,141,416,776
Completed,0.54,9220,2374,0.745,0.805,287,3473,1223
Completed,0.85,7204,2204,0.564,0.82,2605,295,2832
Completed,0.84,8860,1118,0.912,0.007,3027,117,2382
Completed,0.84,9687,3519,0.287,0.514,666,28,113
Completed,0.81,12230,2845,0.797,0.774,607,679,2165
Completed,0.84,5654,407,0.066,0.554,2365,204,3258
Completed,0.63,9326,2195,0.159,0.619,434,1023,866
Completed,0.84,10937,1972,0.487,0.775,4718,5,2679
Completed,0.6,10926,3616,0.256,0.408,618,2332,1043
Completed,0.84,11678,2609,0.129,0.823,2107,500,2325
Completed,0.84,12255,3125,0.647,0.59,1696,326,548
Completed,0.84,8929,1428,0.523,0.29,360,85,1682
Completed,0.82,11220,745,0.306,0.468,1548,379,917
Completed,0.86,11690,71,0.793,0.198,2231,548,1366
Completed,0.6,12861,2509,0.925,0.737,547,3151,1547
Completed,0.72,1965,1235,0.667,0.534,125,2284,148
Completed,0.84,5715,2418,0.857,0.689,711,267,4341
Completed,0.84,3365,2483,0.273,0.044,28,207,4928
Completed,0.84,6142,621,0.359,0.935,4220,111,4534
Completed,0.84,7316,2637,0.094,0.476,394,319,2773
Completed,0.85,7527,680,0.815,0.8,2071,110,247
Completed,0.59,8019,4523,0.886,0.019,221,1989,1238
Completed,0.64,5098,918,0.539,0.946,53,1549,751
Completed,0.84,7617,981,0.635,0.388,1171,198,1078
Completed,0.84,7916,1290,0.808,0.158,3505,11,484
Completed,0.85,2749,2187,0.219,0.644,1574,91,3906
Completed,0.86,4666,18,0.983,0.599,271,372,3731
Completed,0.56,10364,4352,0.307,0.812,301,3030,1349
Completed,0.84,12427,731,0.473,0.861,953,556,4142
Completed,0.83,13819,3829,0.145,0.784,3332,174,825
Completed,0.71,4856,1906,0.035,0.891,367,2149,268
Completed,0.84,6988,3005,0.689,0.06,3789,60,4278
Completed,0.84,13238,4570,0.859,0.268,1436,149,4787
Completed,0.87,3572,2013,0.177,0.236,3971,147,2457
Completed,0.86,2589,195,0.357,0.284,1905,81,1835
Completed,0.84,3743,2197,0.706,0.473,223,227,833
Completed,0.55,5615,3184,0.777,0.886,37,3407,1181
Completed,0.83,6903,2894,0.569,0.775,2230,137,2167
Completed,0.85,2035,275,0.74,0.423,3326,14,3463
Completed,0.75,1517,3150,0.964,0.26,75,2756,124
Completed,0.85,6103,315,0.556,0.214,1802,257,2593
Completed,0.83,6707,2679,0.758,0.628,2815,191,4401
Completed,0.62,13252,2979,0.354,0.59,148,1825,2423
Completed,0.69,13456,2277,0.713,0.149,997,1184,279
Completed,0.65,14283,3711,0.873,0.824,1145,2500,452
Completed,0.83,11979,2932,0.397,0.836,1363,422,3562
Completed,0.81,13930,4656,0.461,0.329,386,517,890
Completed,0.84,1921,298,0.165,0.252,2694,22,4134
Completed,0.86,3609,2078,0.473,0.433,1374,179,1187
Completed,0.84,6574,1098,0.837,0.811,554,70,3746
Completed,0.84,6333,390,0.589,0.373,874,334,1478
Completed,0.84,6034,2652,0.658,0.42,2983,97,374
Completed,0.61,6094,4939,0.963,0.82,237,1602,856
Completed,0.58,6476,905,0.519,0.289,130,2140,1196
Completed,0.85,5147,264,0.98,0.627,1470,236,2331
Completed,0.73,5330,3506,0.305,0.777,415,1977,276
Completed,0.85,5708,2286,0.082,0.567,662,60,5
Completed,0.85,6542,510,0.385,0.896,2717,152,627
Completed,0.83,6500,756,0.733,0.189,2419,171,2563
Completed,0.84,3784,2710,0.985,0.225,423,9,1604
Completed,0.61,1924,958,0.631,0.03,10,976,423
Completed,0.85,3331,2374,0.254,0.764,3375,55,1274
Completed,0.84,3936,457,0.214,0.716,117,174,1896
Completed,0.84,5677,1041,0.509,0.614,2837,36,4976
Completed,0.85,5890,2615,0.482,0.05,4429,138,4681
Completed,0.74,5559,1619,0.384,0.734,472,1600,124
Completed,0.84,6062,816,0.237,0.022,2749,93,1222
Completed,0.85,6865,2414,0.577,0.641,4195,205,3702
Completed,0.84,6210,2669,0.185,0.369,2184,187,3412
Completed,0.56,3487,577,0.854,0.661,24,1987,698
Completed,0.85,4400,2129,0.041,0.879,441,285,4587
Completed,0.62,6574,4044,0.658,0.2,229,1653,1041
Completed,0.84,5370,2935,0.26,0.631,163,69,2859
Completed,0.85,7014,630,0.784,0.748,842,296,1664
Completed,0.83,7003,385,0.467,0.758,372,482,1122
Completed,0.85,3063,234,0.533,0.186,547,123,3150
Completed,0.66,4531,1816,0.809,0.841,199,2716,558
Completed,0.85,2201,89,0.061,0.104,4621,31,567
Completed,0.79,3228,2172,0.567,0.218,264,2780,40
Completed,0.69,3851,3705,0.888,0.673,138,478,410
Completed,0.7,2941,268,0.275,0.52,211,3912,204
Completed,0.64,4254,2835,0.597,0.009,122,3349,683
Completed,0.84,6073,3034,0.089,0.95,2603,46,4128
Completed,0.83,6821,352,0.274,0.221,1695,293,3576
Completed,0.87,741,2041,0.664,0.037,1176,1,3759
Completed,0.65,6363,254,0.321,0.55,428,3404,352
Completed,0.85,2804,718,0.409,0.343,32,21,2491
Completed,0.85,4717,130,0.86,0.49,2947,209,4381
Completed,0.85,3720,2324,0.78,0.963,1791,128,4933
Completed,0.85,4358,470,0.693,0.51,4716,84,4311
Completed,0.83,6916,2865,0.885,0.288,683,221,3613
Completed,0.84,6584,301,0.158,0.779,963,386,2733
Completed,0.84,2746,420,0.896,0.814,2432,24,3081
Completed,0.87,2189,30,0.854,0.277,3065,66,1479
Completed,0.77,3989,2156,0.933,0.074,325,3251,55
Completed,0.84,4079,634,0.071,0.561,791,15,4030
Completed,0.83,6306,167,0.723,0.947,228,458,2876
Completed,0.8,4906,497,0.255,0.019,60,392,1037
Completed,0.85,6772,2382,0.998,0.727,1432,274,2504
Completed,0.86,1666,102,0.225,0.396,160,48,3131
Completed,0.64,4518,3851,0.692,0.064,201,2711,530
Completed,0.72,1352,408,0.756,0.574,11,857,127
Completed,0.82,13624,4947,0.287,0.588,1562,271,372
Completed,0.83,11785,633,0.632,0.512,2481,397,4925
Completed,0.69,4767,1234,0.048,0.422,357,3353,302
Completed,0.75,2767,4444,0.824,0.612,215,2393,66
Completed,0.51,6465,161,0.075,0.975,18,2945,1438
Completed,0.69,1143,2783,0.739,0.3,13,646,204
Completed,0.66,5026,2507,0.064,0.156,364,2152,326
Completed,0.66,2397,56,0.997,0.904,154,1021,218
Completed,0.64,4940,4069,0.552,0.486,261,2232,583
Completed,0.63,6859,3030,0.677,0.025,433,2724,639
Completed,0.68,1552,4737,0.054,0.085,67,1145,135
Completed,0.46,5349,1142,0.179,0.065,79,1844,1049
Completed,0.68,3214,3324,0.306,0.735,187,2228,303
Completed,0.68,5934,3219,0.986,0.801,453,1623,369
Completed,0.6,4933,4011,0.361,0.87,48,3095,1027
Completed,0.57,6382,2710,0.039,0.08,112,3339,1191
Completed,0.82,12422,3865,0.544,0.011,427,330,454
Completed,0.81,14179,1653,0.73,0.365,137,691,3886
Completed,0.56,14096,1054,0.312,0.126,471,2471,2271
Completed,0.54,12342,3706,0.12,0.135,55,1868,2103
Completed,0.63,2948,2597,0.699,0.964,128,2687,348
Completed,0.83,14016,4313,0.914,0.372,582,201,4242
Completed,0.7,11668,2280,0.467,0.83,221,1433,2241
Completed,0.83,11118,2488,0.518,0.977,1116,676,2515
Completed,0.81,5663,1775,0.008,0.748,84,38,4605
Completed,0.63,9510,4744,0.61,0.205,366,1377,1258
Completed,0.83,8797,727,0.718,0.18,167,312,3293
Completed,0.83,12947,2182,0.964,0.334,2047,779,3661
Completed,0.57,8887,4904,0.042,0.393,200,2849,1612
Completed,0.76,7488,2757,0.149,0.649,587,1540,60
Completed,0.83,14018,1661,0.829,0.401,2501,334,2644
Completed,0.78,14226,555,0.086,0.973,251,1234,4119
Completed,0.5,12071,2444,0.88,0.516,386,3009,1883
Completed,0.63,8241,3065,0.022,0.862,528,2289,683
Completed,0.83,11024,3892,0.824,0.573,4632,25,3366
Completed,0.67,1967,528,0.932,0.236,60,2340,313
Completed,0.83,13311,1543,0.926,0.668,2205,316,4727
Completed,0.56,12199,4436,0.737,0.307,435,2455,1907
Completed,0.55,8986,1265,0.075,0.105,214,2446,1344
Completed,0.83,13702,1756,0.966,0.897,1319,215,2142
Completed,0.83,11555,4375,0.112,0.022,1768,52,1862
Completed,0.75,14250,825,0.082,0.286,774,1497,79
Completed,0.67,5643,4810,0.763,0.493,309,967,598
Completed,0.83,10816,2122,0.004,0.063,927,733,1193
Completed,0.64,11685,3241,0.414,0.972,760,2923,709
Completed,0.83,9390,2774,0.363,0.109,3539,243,3814
Completed,0.8,11742,4226,0.709,0.083,14,611,2653
Completed,0.83,14010,4959,0.191,0.316,1205,425,4626
Completed,0.63,11234,2448,0.128,0.459,850,3095,566
Completed,0.83,9989,2358,0.922,0.107,1791,442,720
Completed,0.66,7112,3300,0.383,0.075,534,1713,403
Completed,0.83,12853,3193,0.574,0.235,805,505,4510
Completed,0.83,13843,225,0.06,0.717,1245,911,1513
Completed,0.77,9148,464,0.155,0.153,137,846,1800
Completed,0.83,11790,143,0.336,0.536,1702,715,2025
Completed,0.66,13179,1170,0.206,0.202,692,2553,743
Completed,0.57,11015,764,0.113,0.636,512,2705,1029
Completed,0.83,13488,4864,0.681,0.92,481,46,4036
Completed,0.83,172,1,0.19,0.001,5000,1,4533
Completed,0.52,30,1,0.999,0.999,1,428,1
Completed,0.75,6758,5000,0.001,0.001,13,432,5000
Completed,0.85,7088,2784,0.999,0.001,5000,100,1493
Completed,0.87,5741,45,0.001,0.999,5000,104,3256
Completed,0.83,2718,1,0.049,0.001,2096,116,599
Completed,0.83,222,1,0.847,0.999,4791,1,740
Completed,0.85,1569,2191,0.999,0.999,4839,1,426
Completed,0.83,402,1,0.15,0.999,835,1,1
Completed,0.82,129,1,0.001,0.001,289,1,2766
Completed,0.85,3860,511,0.493,0.001,590,1,2709
Completed,0.85,3567,556,0.001,0.001,4627,1,630
Completed,0.83,166,1,0.001,0.001,4513,1,4280
Completed,0.83,165,1,0.001,0.001,3375,1,3342
Completed,0.71,6350,854,0.486,0.18,429,3720,216
Completed,0.84,4616,2576,0.116,0.617,582,41,324
Completed,0.86,3094,460,0.901,0.322,2640,8,249
Completed,0.86,1932,2121,0.464,0.124,3303,33,3875
Completed,0.76,2769,2761,0.937,0.925,231,4458,48
Completed,0.64,3134,728,0.567,0.37,78,1725,507
Completed,0.84,4428,168,0.764,0.866,1286,252,2446
Completed,0.84,7688,191,0.098,0.095,2989,366,2378
Completed,0.84,9643,3670,0.544,0.302,649,62,3685
Completed,0.86,13696,8,0.478,0.787,1628,886,2982
Completed,0.85,8338,2853,0.198,0.842,3892,115,1115
Completed,0.8,6276,2012,0.391,0.349,317,522,1636
Completed,0.85,4438,342,0.914,0.412,1783,154,749
Completed,0.68,1816,3452,0.225,0.403,37,1433,314
Completed,0.83,7074,787,0.26,0.881,229,249,1806
Completed,0.83,221,1,0.362,0.001,5000,1,645
Failed,,,2814,0.151,0.374,4248,2417,3911
Failed,,,648,0.375,0.17,2630,1471,1462
Failed,,,4247,0.903,0.751,1674,3321,3078
Failed,,,4940,0.385,0.522,2045,2643,4817
Failed,,,91,0.854,0.432,3663,1207,662
Failed,,,3547,0.639,0.104,4462,1792,3187
Failed,,,3373,0.278,0.894,3380,852,2702
Failed,,,1658,0.997,0.056,2466,2287,1817
Failed,,,577,0.245,0.57,4745,3137,171
Failed,,,4489,0.527,0.48,662,1697,4375
