Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.91,1,1,0.001,0.999,1,2876,2532
Completed,0.91,9,4376,0.001,0.999,2228,3530,3384
Completed,0.91,158,5000,0.001,0.001,5000,4498,1602
Completed,0.92,58,5000,0.001,0.001,2754,1,1
Completed,0.91,1,2255,0.001,0.999,1,4238,1342
Completed,0.91,8,3418,0.001,0.999,2073,3428,5000
Completed,0.91,1,4169,0.001,0.001,1,1,3465
Completed,0.92,105,2387,0.999,0.001,4761,1,3163
Completed,0.91,5,1786,0.001,0.999,5000,1,5000
Completed,0.91,3,2594,0.001,0.999,3621,1,5000
Completed,0.91,7,1,0.001,0.001,5000,2692,4343
Completed,0.92,51,3902,0.001,0.001,2013,1,1
Completed,0.91,9,4481,0.999,0.999,3858,5000,2123
Completed,0.92,201,3018,0.001,0.999,3254,2298,1
Completed,0.92,50,4350,0.001,0.999,997,1,1
Completed,0.91,1,3357,0.726,0.999,1,3187,1
Completed,0.91,54,708,0.001,0.001,470,5000,2636
Completed,0.91,9,1,0.683,0.999,2644,4212,3216
Completed,0.91,1,2567,0.149,0.999,1,3389,3323
Completed,0.92,216,5000,0.001,0.999,3464,1088,1
Completed,0.91,1,1891,0.151,0.001,1,5000,4519
Completed,0.91,8,4249,0.316,0.999,1873,5000,3454
Completed,0.91,1,1,0.001,0.999,1,5000,1202
Completed,0.92,215,3550,0.001,0.999,2280,4333,1
Completed,0.91,8,1,0.001,0.999,2288,1,1
Completed,0.92,32,3146,0.001,0.001,3094,1,1
Completed,0.92,51,5000,0.001,0.999,1230,1,1
Completed,0.92,191,3613,0.001,0.001,2974,1690,1
Completed,0.91,5,3980,0.001,0.001,2711,1,665
Completed,0.92,181,2571,0.999,0.001,4779,1,2184
Completed,0.91,5,5000,0.001,0.001,4085,1,3494
Completed,0.92,34,3293,0.001,0.999,3022,1,1
Completed,0.92,48,5000,0.001,0.001,1162,1,1
Completed,0.91,1,5000,0.001,0.999,1,807,3169
Completed,0.91,8,1,0.447,0.001,4991,5000,3676
Completed,0.91,8,3191,0.999,0.999,2900,5000,1896
Completed,0.92,24,2862,0.001,0.999,1717,1,1
Completed,0.91,8,84,0.001,0.999,5000,5000,3806
Completed,0.91,8,1155,0.346,0.999,4560,3099,3674
Completed,0.91,1,1610,0.243,0.999,1,1,5000
Completed,0.91,8,1,0.462,0.999,5000,5000,3310
Completed,0.91,5,4414,0.001,0.081,1637,1,1326
Completed,0.92,49,5000,0.001,0.999,2555,1,1
Completed,0.91,7,1927,0.001,0.001,2975,1,364
Completed,0.91,8,3030,0.61,0.829,3313,2053,1522
Completed,0.91,8,451,0.316,0.203,1943,2678,3242
Completed,0.91,8,2008,0.963,0.604,4743,4053,3899
Completed,0.91,10,4587,0.228,0.489,1099,928,929
Completed,0.91,10,1353,0.075,0.953,4198,4742,2959
Completed,0.91,8,3612,0.47,0.728,2767,1654,567
Completed,0.91,10,716,0.17,0.647,244,2271,4269
Completed,0.91,8,4248,0.257,0.918,1704,4109,1581
Completed,0.91,9,2316,0.412,0.385,3631,312,4532
Completed,0.91,10,145,0.808,0.793,787,1436,2703
Completed,0.91,9,2722,0.016,0.175,4428,3311,1923
