Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.58,586,673,1569,0.706,0.947,str('intersection'),0.091,False
Completed,0.58,1920,2860,3509,0.064,0.111,str('kl'),0.037,True
Completed,0.58,2138,3585,2292,0.41,0.234,str('kl'),0.015,False
Completed,0.58,1659,148,2943,0.797,0.832,str('intersection'),0.069,True
Completed,0.61,471,2267,125,0.237,0.304,str('intersection'),0.087,False
Completed,0.58,517,3790,2447,0.872,0.931,str('intersection'),0.036,False
Completed,0.58,9792,2228,3104,0.483,0.003,str('kl'),0.09,True
Completed,0.58,508,31,278,0.544,0.594,str('kl'),0.064,False
Completed,0.58,720,3468,4649,0.188,0.464,str('intersection'),0.028,True
Completed,0.59,511,2899,845,0.34,0.319,str('intersection'),0.05,False
Completed,0.58,766,1717,1724,0.014,0.153,str('kl'),0.068,False
Completed,0.58,1053,4530,3670,0.654,0.788,str('intersection'),0.013,True
Completed,0.58,898,4944,622,0.095,0.642,str('kl'),0.021,False
Completed,0.58,1258,1507,4925,0.737,0.291,str('intersection'),0.059,True
Completed,0.58,476,1223,2126,0.298,0.823,str('intersection'),0.095,False
Completed,0.03,8887,1803,2309,0.561,0.158,str('kl'),0.053,True
Completed,0.03,493,4615,2928,0.17,0.776,str('intersection'),0.083,False
Completed,0.03,2142,4820,974,0.581,0.67,str('kl'),0.098,True
Completed,0.03,1128,1039,1306,0.752,0.866,str('intersection'),0.025,True
Completed,0.03,2900,2602,3146,0.392,0.201,str('kl'),0.056,False
Completed,0.03,1189,3142,2029,0.113,0.082,str('kl'),0.078,True
Completed,0.03,817,329,2580,0.72,0.977,str('intersection'),0.047,False
Completed,0.35,751,1941,408,0.285,0.386,str('intersection'),0.016,True
Completed,0.37,515,4333,478,0.248,0.148,str('intersection'),0.044,False
Completed,0.03,2528,594,2100,0.419,0.328,str('kl'),0.073,False
Completed,0.03,1246,3406,2670,0.812,0.739,str('intersection'),0.019,True
Completed,0.03,712,2730,1533,0.715,0.604,str('intersection'),0.042,False
Completed,0.03,1870,1167,3392,0.078,0.454,str('kl'),0.096,True
Completed,0.03,4370,1411,1201,0.887,0.924,str('kl'),0.058,False
Completed,0.26,686,4848,4351,0.28,0.01,str('intersection'),0.022,True
Completed,0.03,972,1618,2994,0.363,0.507,str('intersection'),0.066,True
Completed,0.52,524,650,188,0.673,0.099,str('intersection'),0.087,False
Completed,0.03,2255,2838,4578,0.034,0.967,str('kl'),0.05,True
Completed,0.03,1620,3529,871,0.439,0.813,str('kl'),0.027,False
Completed,0.03,1278,91,4050,0.83,0.245,str('intersection'),0.065,True
Completed,0.03,461,2328,1868,0.142,0.649,str('intersection'),0.089,False
Completed,0.33,562,3773,723,0.78,0.024,str('intersection'),0.051,False
Completed,0.03,8029,2211,3890,0.387,0.918,str('kl'),0.089,True
Completed,0.03,2278,52,1718,0.576,0.451,str('kl'),0.068,False
Completed,0.03,942,3489,3521,0.217,0.615,str('intersection'),0.015,True
