Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.91,0,2195,4386,0.666,0.271,str('kl'),0.074,False
Completed,0.91,0,2386,4540,0.067,0.436,str('intersection'),0.065,True
Completed,0.91,0,2400,1982,0.405,0.821,str('intersection'),0.013,False
Completed,0.91,0,2566,4549,0.863,0.064,str('kl'),0.093,True
Completed,0.91,0,4660,612,0.159,0.702,str('kl'),0.077,False
Completed,0.91,0,452,2867,0.571,0.444,str('intersection'),0.043,True
Completed,0.91,1,630,681,0.921,0.359,str('intersection'),0.026,False
Completed,0.91,1,4258,3424,0.339,0.601,str('kl'),0.082,True
Completed,0.91,1,3516,1738,0.637,0.228,str('kl'),0.065,False
Completed,0.91,0,1518,4168,0.101,0.969,str('intersection'),0.053,True
Completed,0.91,0,3361,2747,0.063,0.295,str('intersection'),0.07,True
Completed,0.91,0,3788,2408,0.977,0.909,str('intersection'),0.099,False
Completed,0.91,0,1100,4819,0.254,0.169,str('kl'),0.02,True
Completed,0.91,0,297,1383,0.246,0.003,str('kl'),0.048,False
Completed,0.91,0,4815,3970,0.517,0.76,str('intersection'),0.06,True
Completed,0.91,0,3036,1185,0.445,0.379,str('intersection'),0.087,False
Completed,0.91,0,1930,3459,0.794,0.637,str('kl'),0.03,True
Completed,0.91,0,2833,1026,0.795,0.297,str('kl'),0.096,True
Completed,0.91,0,2046,3633,0.442,0.539,str('intersection'),0.018,False
Completed,0.91,0,1919,1175,0.734,0.12,str('kl'),0.07,False
Completed,0.91,0,3039,3469,0.027,0.861,str('intersection'),0.036,True
Completed,0.91,0,4815,1373,0.948,0.496,str('intersection'),0.02,False
Completed,0.91,0,309,3979,0.288,0.738,str('kl'),0.1,True
Completed,0.91,0,1108,2417,0.217,0.591,str('kl'),0.061,False
Completed,0.91,0,3772,4809,0.551,0.334,str('intersection'),0.049,True
Completed,0.91,0,1668,2737,0.758,0.207,str('kl'),0.087,True
Completed,0.91,0,1510,1728,0.433,0.273,str('intersection'),0.092,False
Completed,0.91,0,3535,4178,0.829,0.53,str('kl'),0.013,True
Completed,0.91,0,4239,671,0.133,0.142,str('kl'),0.043,False
Completed,0.91,0,640,3434,0.607,0.899,str('intersection'),0.077,True
Completed,0.91,0,467,622,0.895,0.797,str('intersection'),0.083,False
Completed,0.91,0,4657,2858,0.375,0.056,str('kl'),0.026,True
Completed,0.91,0,2571,1992,0.665,0.678,str('kl'),0.053,False
Completed,0.91,0,2811,484,0.193,0.392,str('kl'),0.09,True
Completed,0.91,0,2312,2915,0.546,0.649,str('intersection'),0.012,False
Completed,0.91,0,2201,2140,0.866,0.971,str('kl'),0.024,True
Completed,0.91,0,2678,4376,0.404,0.23,str('intersection'),0.079,False
Completed,0.91,0,4471,463,0.574,0.599,str('intersection'),0.061,True
Completed,0.91,0,573,3012,0.159,0.357,str('kl'),0.05,False
Completed,0.91,0,825,824,0.338,0.442,str('kl'),0.011,True
Completed,0.91,0,4132,3275,0.925,0.7,str('intersection'),0.089,False
Completed,0.91,0,3720,1564,0.1,0.066,str('intersection'),0.073,True
Completed,0.91,0,1402,4328,0.64,0.823,str('kl'),0.04,False
Completed,0.91,1,1872,196,0.06,0.639,str('intersection'),0.046,True
Completed,0.91,0,3250,2588,0.709,0.381,str('kl'),0.057,False
Completed,0.91,0,3977,2263,0.251,0.758,str('kl'),0.084,True
Completed,0.91,0,980,4969,0.978,0.001,str('intersection'),0.028,False
Completed,0.91,0,103,1531,0.518,0.167,str('intersection'),0.033,True
Completed,0.91,0,4941,3826,0.243,0.907,str('kl'),0.066,False
Completed,0.91,0,3076,1430,0.316,0.508,str('kl'),0.047,False
Completed,0.91,0,1969,3841,0.914,0.251,str('intersection'),0.059,True
Completed,0.91,0,2155,1276,0.153,0.841,str('kl'),0.029,True
Completed,0.91,0,2969,4001,0.615,0.085,str('intersection'),0.085,False
Completed,0.91,0,4884,1161,0.407,0.714,str('intersection'),0.056,True
Completed,0.91,0,74,3573,0.822,0.457,str('kl'),0.045,False
Completed,0.91,2,1033,136,0.674,0.37,str('kl'),0.017,True
Completed,0.91,1,4013,2724,0.087,0.611,str('intersection'),0.095,False
Completed,0.91,0,3138,2438,0.888,0.247,str('intersection'),0.068,True
Completed,0.91,0,1742,4713,0.348,0.988,str('kl'),0.035,False
Completed,0.91,0,1274,728,0.959,0.548,str('intersection'),0.052,True
Completed,0.91,1,3605,3297,0.31,0.306,str('kl'),0.062,False
Completed,0.91,1,4170,1858,0.729,0.928,str('kl'),0.078,True
Completed,0.91,0,876,4114,0.002,0.187,str('intersection'),0.022,False
