Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.71,64,1483,1875,0.949,0.036,str('kl'),0.038,False
Completed,0.71,28,3080,4758,0.803,0.009,str('intersection'),0.028,False
Completed,0.71,36,2891,987,0.115,0.567,str('kl'),0.091,False
Completed,0.71,40,1522,4947,0.603,0.324,str('intersection'),0.052,True
Completed,0.71,31,479,1665,0.385,0.917,str('intersection'),0.032,False
Completed,0.71,372,3777,3010,0.897,0.163,str('kl'),0.071,True
Completed,0.71,55,4637,2180,0.733,0.113,str('kl'),0.079,False
Completed,0.71,36,1026,3140,0.238,0.871,str('intersection'),0.04,True
Completed,0.7,38,1913,175,0.766,0.403,str('intersection'),0.02,False
Completed,0.71,117,3595,3905,0.264,0.643,str('kl'),0.059,True
Completed,0.71,32,3313,1431,0.859,0.801,str('intersection'),0.074,False
Completed,0.71,115,2197,2619,0.357,0.059,str('kl'),0.023,True
Completed,0.71,43,725,907,0.639,0.714,str('kl'),0.049,False
Completed,0.71,37,4942,4402,0.145,0.459,str('intersection'),0.099,True
Completed,0.71,33,4082,407,0.479,0.253,str('intersection'),0.063,False
Completed,0.71,1300,179,4297,0.99,0.512,str('kl'),0.013,True
Completed,0.71,63,1807,2258,0.021,0.232,str('kl'),0.038,False
Completed,0.71,38,2769,4905,0.674,0.72,str('intersection'),0.09,False
Completed,0.71,163,2739,2448,0.324,0.422,str('kl'),0.014,True
Completed,0.71,29,1677,3487,0.833,0.658,str('intersection'),0.065,False
Completed,0.72,40,14,511,0.178,0.065,str('intersection'),0.085,True
Completed,0.71,103,4245,4164,0.664,0.827,str('kl'),0.034,False
Completed,0.71,211,4792,640,0.954,0.898,str('kl'),0.026,True
Completed,0.71,29,873,4679,0.45,0.148,str('intersection'),0.077,False
Completed,0.71,47,2380,1405,0.546,0.615,str('intersection'),0.097,True
Completed,0.71,66,3129,2674,0.051,0.368,str('kl'),0.046,False
Completed,0.71,44,3471,119,0.578,0.219,str('intersection'),0.043,True
Completed,0.71,97,2038,3930,0.081,0.954,str('kl'),0.083,False
Completed,0.71,173,1195,1903,0.922,0.298,str('kl'),0.057,True
