Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.55,5,2270,4197,0.001,1,0.999
Completed,0.57,7,1349,3479,0.001,1,0.001
Completed,0.53,11,2707,5000,0.001,20,0.395
Completed,0.57,8,3896,4090,0.001,1,0.47
Completed,0.49,6,2350,2853,10.0,1,0.001
Completed,0.54,8,4078,5000,0.001,9,0.74
Completed,0.54,13,4094,5000,10.0,20,0.999
Completed,0.54,12,1637,4831,0.001,20,0.001
Completed,0.55,10,1464,2862,0.001,1,0.999
Completed,0.55,10,863,4174,0.001,20,0.999
Completed,0.56,8,2158,4073,0.001,20,0.999
Completed,0.56,7,1554,4113,10.0,1,0.383
Completed,0.56,5,2787,3437,10.0,1,0.835
Completed,0.54,13,3844,5000,10.0,20,0.001
Completed,0.56,10,3860,2005,0.001,1,0.999
Completed,0.52,4,2030,3218,0.001,1,0.001
Completed,0.62,3961,1,69,0.001,20,0.999
Completed,0.56,11,1069,4134,10.0,20,0.558
Completed,0.55,4,1,670,0.001,1,0.999
Completed,0.56,8,1704,4150,0.001,1,0.001
Completed,0.54,14,2595,2226,10.0,20,0.001
Completed,0.54,7,3575,4480,10.0,1,0.001
Completed,0.57,10,1469,3389,0.001,20,0.001
Completed,0.54,8,1,1304,0.001,14,0.001
Completed,0.57,8,706,1496,0.001,1,0.001
Completed,0.53,11,1130,5000,10.0,20,0.441
Completed,0.61,18,5000,1558,0.001,1,0.571
Completed,0.55,8,2604,1447,0.001,1,0.001
Completed,0.63,14,3702,1533,10.0,1,0.001
Completed,0.59,29,3991,837,10.0,1,0.999
Completed,0.61,15,5000,1579,10.0,1,0.001
Completed,0.61,16,5000,1555,0.001,1,0.001
Completed,0.61,17,4956,1535,10.0,1,0.475
Completed,0.61,15,4481,1600,10.0,1,0.637
Completed,0.65,41,3354,311,10.0,1,0.154
Completed,0.56,8,4619,3230,10.0,1,0.001
Completed,0.53,15,5000,2198,0.001,20,0.001
Completed,0.58,16,4183,1504,0.001,1,0.001
Completed,0.61,12,3172,1490,10.0,1,0.542
Completed,0.52,8,460,3638,0.001,20,0.001
Completed,0.57,9,4345,3457,0.001,1,0.445
Completed,0.54,12,5000,4847,10.0,20,0.594
Completed,0.59,12,3237,1512,0.001,1,0.32
Completed,0.53,9,4438,4804,0.001,1,0.999
Completed,0.52,10,2807,2104,10.0,20,0.526
Completed,0.54,9,5000,4837,10.0,1,0.999
Completed,0.58,8,878,3021,10.0,20,0.546
Completed,0.55,9,2868,3898,10.0,20,0.999
Completed,0.54,17,5000,1982,10.0,1,0.329
Completed,0.52,5,382,4733,10.0,1,0.693
Completed,0.61,20,4815,1561,0.001,20,0.646
Completed,0.55,9,2751,1561,10.0,1,0.001
Completed,0.52,32,422,1072,0.001,20,0.001
Completed,0.54,11,1303,4746,6.579,20,0.001
Completed,0.56,10,4796,3509,0.001,20,0.571
Completed,0.56,12,3651,4018,10.0,20,0.999
Completed,0.56,20,2369,3415,10.0,20,0.001
Completed,0.54,11,834,2067,10.0,20,0.999
Completed,0.57,10,2800,4114,10.0,20,0.001
Completed,0.58,5,2263,3045,10.0,1,0.788
Completed,0.56,6,982,4163,0.001,1,0.999
Completed,0.84,987,354,1,0.001,1,0.999
Completed,0.57,10,2671,4088,0.001,20,0.511
Completed,0.58,9,3020,3349,0.001,20,0.999
Completed,0.59,7,1384,3101,10.0,1,0.999
Completed,0.54,8,4073,5000,10.0,1,0.999
Completed,0.55,5,627,3567,0.001,1,0.335
Completed,0.59,9,2607,3032,10.0,20,0.748
Completed,0.52,11,1208,2166,0.001,20,0.999
Completed,0.59,11,3165,2999,10.0,20,0.999
Completed,0.56,8,4233,4144,10.0,1,0.856
Completed,0.52,4,1,4406,0.001,1,0.001
Completed,0.58,10,3604,3411,0.001,20,0.001
Completed,0.53,17,5000,2594,10.0,20,0.001
Completed,0.59,6,2706,3000,0.001,10,0.999
Completed,0.52,10,2522,4859,10.0,20,0.001
Completed,0.53,8,1352,5000,0.001,1,0.001
Completed,0.55,8,4315,3557,10.0,1,0.001
Completed,0.54,10,2161,2651,0.001,20,0.999
Completed,0.61,34,4472,1557,10.0,20,0.5
Completed,0.53,9,1084,1720,10.0,1,0.999
Completed,0.57,10,3360,3063,0.001,20,0.489
Completed,0.54,12,3680,4850,0.001,20,0.001
Completed,0.62,54,3367,372,10.0,1,0.384
Completed,0.79,33,1,1,0.001,1,0.999
Completed,0.58,15,4213,2082,0.001,16,0.077
Completed,0.51,24,5000,1162,10.0,1,0.999
Completed,0.54,4,1,823,10.0,1,0.999
Completed,0.54,4,1,1088,0.001,1,0.001
Completed,0.61,25,5000,858,10.0,1,0.999
Completed,0.61,18,1507,1435,4.876,1,0.001
Completed,0.57,27,5000,938,10.0,1,0.001
Completed,0.5,4,1,487,0.001,1,0.999
Completed,0.61,17,5000,1540,5.704,1,0.999
Completed,0.56,8,1836,4233,4.021,9,0.635
Completed,0.52,9,1,1929,0.001,20,0.999
Completed,0.64,52,1991,299,10.0,1,0.001
Completed,0.62,33,5000,1636,10.0,17,0.999
Completed,0.52,4,1,4066,10.0,1,0.999
Completed,0.59,8,5000,3342,0.001,1,0.001
Completed,0.57,25,5000,927,10.0,1,0.593
Completed,0.54,12,5000,4731,10.0,20,0.001
Completed,0.52,4,1,1951,0.001,1,0.999
Completed,0.6,33,5000,1547,10.0,20,0.389
Completed,0.55,4,1,464,10.0,1,0.999
Completed,0.66,64,721,265,0.001,1,0.001
Completed,0.6,15,5000,1589,6.663,1,0.367
Completed,0.52,4,1,3021,0.001,1,0.999
Completed,0.57,7,5000,3959,0.001,1,0.999
Completed,0.6,26,5000,782,10.0,1,0.798
Completed,0.79,25,1,1,10.0,1,0.545
Completed,0.62,15,5000,1526,10.0,1,0.999
Completed,0.6,20,4938,1471,0.001,1,0.42
Completed,0.52,4,1,4072,10.0,7,0.372
Completed,0.56,7,5000,3967,0.001,1,0.001
Completed,0.59,29,5000,707,10.0,1,0.999
Completed,0.56,313,1,57,0.001,1,0.7
Completed,0.56,202,1,81,0.001,1,0.599
Completed,0.57,16,5000,2654,0.001,20,0.001
Completed,0.53,8,1,3631,10.0,20,0.001
Completed,0.64,47,1555,306,10.0,1,0.299
Completed,0.63,44,5000,455,10.0,1,0.999
Completed,0.52,15,5000,2169,1.409,20,0.999
Completed,0.53,8,2402,1275,10.0,1,0.001
Completed,0.52,4,1,4948,0.001,1,0.001
Completed,0.56,30,364,1436,0.001,20,0.45
Completed,0.57,6,1,37,5.734,1,0.999
Completed,0.56,8,5000,4214,10.0,1,0.437
Completed,0.52,4,1,3245,0.001,1,0.999
Completed,0.52,4,1,4005,3.804,4,0.001
Completed,0.66,48,5000,348,10.0,1,0.031
Completed,0.56,15,5000,3037,10.0,20,0.809
Completed,0.57,29,5000,805,10.0,1,0.001
Completed,0.57,13,5000,3991,10.0,20,0.612
Completed,0.56,29,5000,1485,10.0,1,0.001
Completed,0.57,7,4978,3458,10.0,1,0.654
Completed,0.52,5,1,1344,0.001,1,0.001
Completed,0.55,8,2354,813,10.0,1,0.561
Completed,0.59,9,1218,3066,1.22,20,0.563
Completed,0.52,7,1,3068,10.0,20,0.999
Completed,0.53,9,1,5000,10.0,20,0.001
Completed,0.53,16,5000,2395,10.0,20,0.999
Completed,0.85,1272,478,1,0.001,1,0.999
Completed,0.56,11,5000,4142,10.0,20,0.999
