Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.35,20,378,1812,0.298,4,0.869
Completed,0.33,1183,2051,1711,7.561,11,0.248
Completed,0.34,20,177,2283,6.05,2,0.689
Completed,0.38,6811,832,3968,9.811,4,0.584
Completed,0.38,3143,59,798,7.057,9,0.839
Completed,0.42,2966,655,2951,8.335,6,0.945
Completed,0.37,679,3082,4671,5.789,2,0.303
Completed,0.38,337,2321,1868,6.153,7,0.08
Completed,0.3,141,2038,2634,3.314,3,0.871
Completed,0.34,13,2121,2339,0.04,8,0.479
Completed,0.34,3219,2229,3414,7.878,4,0.694
Completed,0.32,9,1,4982,0.001,1,0.369
Completed,0.33,31,356,4712,0.001,11,0.999
Completed,0.31,11,2249,4862,0.001,1,0.999
Completed,0.38,19,2475,2436,0.001,5,0.001
Completed,0.61,384,3945,180,1.591,1,0.999
Completed,0.32,3710,3311,1,5.692,1,0.399
Completed,0.62,164,4093,360,7.633,1,0.001
Completed,0.61,6989,1424,190,3.415,7,0.371
Completed,0.44,5668,3299,3033,0.001,19,0.001
Completed,0.59,80,3170,676,3.129,1,0.001
Completed,0.57,114,3221,828,6.685,3,0.001
Completed,0.43,121,3499,3767,0.363,6,0.695
Completed,0.58,79,2404,289,0.001,2,0.937
Completed,0.53,1355,3795,1732,10.0,8,0.999
Completed,0.53,2252,4244,1812,1.513,20,0.528
Completed,0.59,2488,4735,1140,3.616,20,0.806
Completed,0.6,148,3520,384,8.647,1,0.999
Completed,0.49,46,4440,2247,0.001,6,0.683
Completed,0.45,5379,5000,3764,0.001,13,0.999
Completed,0.6,192,4050,800,4.044,4,0.001
Completed,0.6,271,4065,977,1.935,8,0.004
Completed,0.56,50,1846,1350,1.796,3,0.285
Completed,0.6,5833,4699,939,6.476,20,0.999
Completed,0.56,2416,4565,1334,3.854,20,0.999
Completed,0.6,817,3960,568,1.667,6,0.999
Completed,0.55,66,1922,1413,2.878,6,0.999
Completed,0.42,35,3742,3986,0.001,10,0.999
Completed,0.5,74,4350,2058,9.929,7,0.001
Completed,0.42,28,3675,4140,0.001,1,0.001
Completed,0.45,306,1355,2192,6.813,5,0.001
Completed,0.46,38,3491,2485,10.0,1,0.698
Completed,0.49,36,4670,3371,6.432,1,0.4
Completed,0.48,647,4503,3177,0.001,12,0.999
Completed,0.45,5751,1409,3421,0.001,10,0.326
Completed,0.45,77,1197,2269,0.001,20,0.648
Completed,0.46,112,3790,2994,0.001,13,0.999
Completed,0.46,27,4710,3116,10.0,1,0.001
Completed,0.47,25,1797,3157,0.001,4,0.386
Completed,0.45,109,1247,2413,0.001,17,0.001
Completed,0.49,43,3922,2021,1.776,7,0.999
Completed,0.43,207,983,3007,0.001,11,0.999
Completed,0.46,64,1474,2809,0.001,14,0.001
Completed,0.36,19,2904,4885,0.001,9,0.001
Completed,0.6,573,5000,669,0.001,9,0.999
Completed,0.6,77,3371,507,0.001,2,0.999
Completed,0.6,79,4937,875,0.001,7,0.42
Completed,0.52,61,4692,1833,0.001,12,0.372
Completed,0.34,17,412,5000,0.001,6,0.001
Completed,0.51,69,4074,2598,0.001,17,0.999
Completed,0.45,21,4300,4414,5.049,1,0.999
Completed,0.41,16,3165,3792,2.703,1,0.999
Completed,0.5,42,1871,1834,0.001,9,0.39
Completed,0.49,33,4290,3494,9.237,1,0.999
Completed,0.5,32,4069,2517,0.001,3,0.361
Completed,0.43,408,4010,4744,0.001,6,0.001
Completed,0.48,664,3944,2257,7.08,7,0.001
Completed,0.55,55,4494,1719,10.0,3,0.008
Completed,0.45,78,788,2629,0.001,14,0.001
Completed,0.47,69,1406,2604,0.001,15,0.001
Completed,0.59,5854,4811,1015,10.0,13,0.999
Completed,0.54,66,1899,1706,4.781,4,0.999
Completed,0.47,29,4351,3017,4.405,1,0.999
