Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.56,1,2275,90,10.0,1,0.999
Completed,0.56,7,4945,90,0.001,20,0.505
Completed,0.57,4,4019,74,0.001,1,0.999
Completed,0.58,4,4317,122,10.0,3,0.548
Completed,0.57,9,5000,86,0.001,20,0.759
Completed,0.57,5,4793,106,10.0,3,0.551
Completed,0.55,0,3996,4350,2.739,1,0.999
Completed,0.55,0,8,3590,3.103,20,0.001
Completed,0.55,0,5000,1694,7.757,1,0.999
Completed,0.55,0,5000,3425,6.973,1,0.999
Completed,0.55,0,1,1329,1.985,1,0.001
Completed,0.55,0,1,3943,7.051,20,0.999
Completed,0.57,6,4303,59,4.748,1,0.088
Completed,0.55,0,114,2022,7.303,20,0.001
Completed,0.55,0,4501,3581,3.099,20,0.001
Completed,0.55,0,1734,1958,7.104,1,0.999
Completed,0.57,8,3811,92,8.725,20,0.999
Completed,0.56,1,5000,354,6.71,1,0.999
Completed,0.55,0,5000,2905,4.054,1,0.999
Completed,0.56,1,2904,396,0.938,1,0.001
Completed,0.56,8,4508,410,0.618,20,0.001
Completed,0.58,2,3478,153,1.299,1,0.999
Completed,0.56,12,5000,87,10.0,2,0.001
Completed,0.57,6,4949,103,5.163,11,0.999
Completed,0.57,11,4677,118,1.56,20,0.999
Completed,0.55,0,5000,4556,2.816,20,0.001
Completed,0.55,6,5000,668,10.0,1,0.001
Completed,0.55,0,3748,4530,2.647,1,0.001
Completed,0.55,0,5000,3237,7.539,20,0.999
Completed,0.55,0,465,3175,7.466,1,0.001
Completed,0.55,0,3685,3463,3.345,20,0.001
Completed,0.55,0,1593,3185,2.965,20,0.999
Completed,0.56,1,4902,385,0.872,1,0.001
Completed,0.55,0,1192,4891,6.899,1,0.001
Completed,0.55,0,135,3236,7.51,20,0.973
Completed,0.55,0,4840,4093,4.408,1,0.999
Completed,0.55,0,1,2678,2.772,20,0.999
Completed,0.55,0,770,1479,3.341,1,0.001
Completed,0.57,3,3561,100,9.838,2,0.38
Completed,0.57,3,3678,76,0.001,1,0.999
Completed,0.58,2,5000,128,10.0,1,0.999
Completed,0.58,9,4962,129,0.001,12,0.997
Completed,0.57,6,4584,137,0.001,15,0.999
Completed,0.57,3,4697,88,0.001,1,0.999
Completed,0.56,9,4640,97,10.0,5,0.753
Completed,0.58,8,4675,123,5.225,12,0.999
Completed,0.57,6,5000,112,10.0,14,0.999
Completed,0.57,5,5000,141,0.001,12,0.999
Completed,0.57,7,5000,105,10.0,10,0.93
Completed,0.57,6,4216,94,10.0,4,0.52
Completed,0.57,3,4402,84,0.001,1,0.999
Completed,0.57,2,5000,113,10.0,1,0.999
Completed,0.57,4,4903,88,0.001,4,0.574
Completed,0.58,7,4377,122,10.0,11,0.894
Completed,0.57,16,4449,50,2.153,20,0.221
Completed,0.56,7,3481,140,6.718,6,0.999
Completed,0.56,519,5000,401,0.001,11,0.999
Completed,0.55,1407,5000,434,0.001,14,0.001
Completed,0.56,5,4473,203,0.938,9,0.999
Completed,0.57,4,5000,140,10.0,2,0.575
Completed,0.57,3,5000,100,6.659,1,0.999
Completed,0.57,3,5000,93,0.001,3,0.629
Completed,0.57,4,4754,73,0.001,2,0.999
Completed,0.57,3,4301,111,10.0,1,0.999
Completed,0.57,8,5000,134,5.234,14,0.999
Completed,0.57,8,4723,84,10.0,20,0.999
Completed,0.57,8,4889,139,0.001,15,0.999
Completed,0.57,3,5000,97,2.984,1,0.999
Completed,0.58,7,5000,104,10.0,2,0.001
Completed,0.57,6,5000,107,10.0,4,0.719
Completed,0.57,9,3647,89,1.891,16,0.999
Completed,0.55,0,1,4792,0.001,15,0.001
Completed,0.58,61,4582,27,2.254,20,0.001
Completed,0.56,6,360,99,1.851,15,0.999
Completed,0.56,234,5000,343,0.001,10,0.999
Completed,0.56,7,3010,82,5.062,20,0.999
Completed,0.55,773,1,465,0.001,14,0.001
Completed,0.55,0,2827,1395,1.885,20,0.999
Completed,0.55,0,5000,1162,0.001,20,0.001
Completed,0.56,4,5000,254,0.773,9,0.999
Completed,0.56,23,4568,43,5.182,20,0.122
Completed,0.58,10,4803,154,1.409,10,0.999
Completed,0.55,0,5000,1220,0.001,20,0.999
Completed,0.55,0,1,1182,0.001,20,0.001
Completed,0.57,3,4818,132,6.014,5,0.999
Completed,0.57,9,2757,116,8.626,14,0.999
Completed,0.55,37,5000,447,1.507,20,0.999
Completed,0.56,1,5000,282,1.316,1,0.001
Completed,0.56,758,5000,391,1.711,20,0.001
Completed,0.55,1,4964,615,0.42,1,0.999
Completed,0.55,1,5000,476,1.468,1,0.999
Completed,0.56,1,4831,351,1.471,1,0.999
Completed,0.56,1,5000,424,1.502,1,0.999
Completed,0.57,28,4481,61,1.896,20,0.444
Completed,0.55,0,369,1422,2.452,20,0.999
Completed,0.58,7,4349,125,8.142,11,0.999
Completed,0.55,0,5000,1495,0.279,20,0.001
Completed,0.55,0,121,4728,5.77,20,0.999
Completed,0.55,463,4373,477,0.001,13,0.001
Completed,0.55,0,4973,1384,1.812,20,0.001
Completed,0.55,671,5000,413,0.001,17,0.001
Completed,0.56,19,4800,183,1.25,7,0.999
Completed,0.55,0,961,2428,2.027,20,0.001
Completed,0.55,0,5000,2429,8.735,20,0.999
Completed,0.55,0,1,719,1.474,1,0.001
Completed,0.55,0,5000,4431,10.0,20,0.999
Completed,0.57,1,2874,131,9.192,1,0.999
Completed,0.56,4,4503,57,1.238,1,0.999
Completed,0.56,2,4848,242,1.026,1,0.001
Completed,0.55,0,5000,2496,8.47,20,0.001
Completed,0.55,0,2083,447,1.41,1,0.999
Completed,0.56,1,4915,314,1.362,1,0.999
Completed,0.57,6,3691,74,8.424,1,0.001
Completed,0.55,1,4583,506,1.28,1,0.999
Completed,0.56,2,5000,190,5.109,1,0.999
Completed,0.56,2,3096,80,0.944,1,0.999
Completed,0.55,0,1,588,1.171,1,0.999
Completed,0.55,9,1,497,1.352,20,0.999
Completed,0.57,6,5000,79,10.0,7,0.388
Completed,0.57,44,4441,109,10.0,4,0.001
Completed,0.57,8,3703,87,10.0,15,0.398
Completed,0.57,60,3491,98,10.0,6,0.001
Completed,0.58,10,3549,119,10.0,14,0.758
Completed,0.57,24,4164,107,10.0,15,0.659
Completed,0.57,40,4098,100,10.0,5,0.001
Completed,0.57,37,3458,97,10.0,16,0.344
Completed,0.57,8,3774,99,10.0,15,0.519
Completed,0.57,5,5000,75,8.786,1,0.001
Completed,0.57,7,5000,41,3.8,1,0.001
Completed,0.56,1,4155,386,1.504,1,0.999
Completed,0.55,1,4659,459,1.732,1,0.001
Completed,0.58,7,3214,43,3.848,1,0.001
Completed,0.56,2,4919,187,5.944,1,0.999
Completed,0.56,3,4403,97,5.496,1,0.001
Completed,0.56,58,4414,87,10.0,6,0.001
Completed,0.57,12,3287,122,10.0,20,0.681
Completed,0.58,21,3581,108,10.0,16,0.562
Completed,0.56,43,3651,121,10.0,4,0.001
Completed,0.56,3,3089,92,10.0,6,0.999
Completed,0.58,19,3012,103,10.0,4,0.001
Completed,0.57,51,3630,130,10.0,15,0.72
Completed,0.57,78,4209,74,10.0,6,0.001
Completed,0.57,6,3754,104,0.001,15,0.595
Completed,0.57,8,3408,81,10.0,15,0.207
Completed,0.56,403,3294,118,10.0,20,0.001
Completed,0.57,9,3983,116,10.0,14,0.756
Completed,0.57,53,3895,116,10.0,4,0.001
Completed,0.57,36,5000,139,10.0,14,0.785
Completed,0.57,8,3143,110,10.0,17,0.504
Completed,0.56,621,3642,116,10.0,20,0.001
Completed,0.57,3,4830,109,5.615,1,0.581
Completed,0.57,7,5000,138,0.001,19,0.999
Completed,0.58,7,5000,128,0.001,18,0.999
Completed,0.57,8,5000,100,0.829,17,0.999
Completed,0.56,4,4997,90,0.001,4,0.999
Completed,0.57,5,5000,148,0.001,17,0.999
Completed,0.57,3,4813,89,4.062,1,0.999
Completed,0.57,3,5000,109,0.256,1,0.999
Completed,0.57,3,4816,111,0.001,4,0.999
Completed,0.57,8,4985,97,4.223,17,0.999
Completed,0.57,3,5000,111,0.001,1,0.811
Completed,0.57,175,5000,152,10.0,14,0.756
Completed,0.58,6,3675,122,10.0,13,0.999
Completed,0.58,7,3900,129,10.0,17,0.999
Completed,0.57,146,3647,95,10.0,16,0.001
Completed,0.56,2,2503,100,10.0,5,0.999
Completed,0.57,6,5000,110,0.001,18,0.999
Completed,0.57,2,4629,135,10.0,1,0.999
Completed,0.57,9,5000,62,0.001,18,0.999
Completed,0.58,6,5000,66,0.001,13,0.999
Completed,0.57,2,5000,127,10.0,3,0.999
Completed,0.57,3,5000,107,10.0,3,0.999
Completed,0.57,8,4926,70,10.0,19,0.999
Completed,0.57,6,5000,93,10.0,10,0.999
Completed,0.57,6,4097,103,0.001,17,0.999
Completed,0.57,7,5000,94,0.001,17,0.999
Completed,0.57,4,4693,94,10.0,6,0.999
Completed,0.57,7,5000,138,10.0,18,0.999
Completed,0.57,7,5000,72,0.001,18,0.999
Completed,0.57,8,5000,96,10.0,16,0.999
Completed,0.57,6,5000,79,0.001,18,0.999
Completed,0.57,4,5000,103,10.0,5,0.999
Completed,0.56,5,3414,114,10.0,10,0.999
Completed,0.57,7,3377,114,10.0,19,0.999
Completed,0.57,140,3728,89,10.0,12,0.001
Completed,0.57,9,5000,87,0.001,18,0.001
Completed,0.57,5,2780,112,10.0,10,0.999
Completed,0.56,5,3342,113,0.001,19,0.999
Completed,0.57,7,3478,82,10.0,13,0.999
Completed,0.57,5,4186,118,10.0,7,0.999
Completed,0.57,35,2788,114,10.0,20,0.749
Completed,0.57,5,3026,112,10.0,10,0.999
Completed,0.58,6,3567,109,0.001,20,0.999
Completed,0.57,8,3041,124,10.0,20,0.999
Completed,0.57,7,3871,78,0.001,19,0.877
Completed,0.57,8,4882,102,7.043,18,0.999
Completed,0.57,8,5000,95,2.824,17,0.999
Completed,0.57,6,5000,132,0.001,17,0.999
Completed,0.58,3,3796,77,10.0,1,0.999
Completed,0.57,7,4231,95,0.001,13,0.231
Completed,0.56,5,4141,71,10.0,5,0.999
Completed,0.57,5,3131,99,10.0,11,0.999
Completed,0.56,35,2653,114,10.0,20,0.665
Completed,0.55,3,2091,97,10.0,8,0.999
Completed,0.57,9,2564,125,0.001,20,0.584
Completed,0.57,10,3960,58,10.0,18,0.776
Completed,0.57,4,2724,92,10.0,10,0.999
Completed,0.57,472,2365,105,10.0,20,0.001
Completed,0.57,6,4140,91,10.0,13,0.999
Completed,0.57,4,4106,109,0.001,6,0.999
