Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.75,5,3937,528,6.403,1,0.999
Completed,0.73,1,960,1646,8.744,1,0.001
Completed,0.75,4,3871,557,10.0,2,0.999
Completed,0.73,2,1252,1541,2.203,1,0.999
Completed,0.73,6,4098,3950,6.248,10,0.999
Completed,0.74,14,1,1,9.664,4,0.999
Completed,0.73,2,3013,2862,1.073,4,0.001
Completed,0.73,11,5000,4110,10.0,16,0.999
Completed,0.73,1,1142,4841,1.473,7,0.001
Completed,0.73,14,1518,4480,8.145,16,0.001
Completed,0.73,11,2441,2742,7.189,3,0.999
Completed,0.73,1,725,2224,10.0,1,0.001
Completed,0.73,1,534,4640,2.972,2,0.999
Completed,0.73,1,1,4371,0.001,6,0.001
Completed,0.73,2,4318,4188,0.001,5,0.001
Completed,0.73,1,1,4768,0.497,4,0.001
Completed,0.73,2,3660,2442,10.0,5,0.999
Completed,0.73,1,715,3264,10.0,4,0.999
Completed,0.73,1,1,4557,9.931,5,0.001
Completed,0.74,14,1,1,7.892,1,0.999
Completed,0.74,2,5000,3550,7.641,3,0.001
Completed,0.74,14,1980,213,8.912,7,0.999
Completed,0.74,1,4859,3551,2.143,1,0.011
Completed,0.73,7,3224,4684,6.138,13,0.001
Completed,0.74,2,5000,3510,0.001,5,0.999
Completed,0.74,18,5000,3530,10.0,15,0.001
Completed,0.73,1,4,4087,7.463,8,0.999
Completed,0.73,1,1712,4545,5.501,1,0.999
Completed,0.72,1,3161,4188,2.238,4,0.001
Completed,0.74,7,3802,3400,10.0,10,0.001
Completed,0.74,16,1,1,3.806,10,0.999
Completed,0.73,20,1,4720,8.823,20,0.001
Completed,0.73,17,1,4390,0.001,17,0.999
