Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.8,1392,834,26,0.028,0.862,110,EDFSMode.RANDOM
Completed,0.7,10384,4286,11,0.095,0.378,292,EDFSMode.RANDOM
Completed,0.58,6527,4862,1,0.326,0.936,821,EDFSMode.RANDOM
Completed,0.79,1801,3321,82,0.072,0.955,176,EDFSMode.RANDOM
Completed,0.75,4069,3624,66,0.02,0.445,720,EDFSMode.RANDOM
Completed,0.59,8062,2178,8,0.047,0.047,777,EDFSMode.RANDOM
Completed,0.73,1230,605,85,0.008,0.624,900,EDFSMode.RANDOM
Completed,0.58,4959,3224,2,0.139,0.766,447,EDFSMode.RANDOM
Completed,0.77,2110,1772,82,0.007,0.666,383,EDFSMode.RANDOM
Completed,0.71,9694,1117,22,0.064,0.35,688,EDFSMode.RANDOM
Completed,0.66,4463,123,100,0.024,0.84,626,EDFSMode.RANDOM
Completed,0.75,1352,4688,16,0.017,0.101,427,EDFSMode.RANDOM
Completed,0.77,13765,4958,42,0.14,0.31,116,EDFSMode.RANDOM
Completed,0.75,1134,2421,94,0.024,0.921,427,EDFSMode.RANDOM
Completed,0.77,4148,3398,37,0.043,0.57,257,EDFSMode.RANDOM
Completed,0.79,1995,1337,80,0.042,0.379,125,EDFSMode.RANDOM
Completed,0.76,1858,1751,81,0.032,0.617,440,EDFSMode.RANDOM
Completed,0.75,14131,3450,62,0.072,0.005,390,EDFSMode.RANDOM
Completed,0.78,3022,409,97,0.085,0.858,196,EDFSMode.RANDOM
Completed,0.77,1230,1130,17,0.008,0.215,349,EDFSMode.RANDOM
Completed,0.76,1153,2769,25,0.016,0.2,387,EDFSMode.RANDOM
Completed,0.78,1848,4309,57,0.005,0.024,155,EDFSMode.RANDOM
Completed,0.58,242,2463,1,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.58,238,4423,1,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.58,244,293,1,0.001,0.968,100,EDFSMode.RANDOM
Completed,0.58,262,1665,1,0.001,0.741,100,EDFSMode.RANDOM
Completed,0.72,580,143,69,0.02,0.809,252,EDFSMode.RANDOM
Completed,0.72,821,2106,48,0.058,0.15,208,EDFSMode.RANDOM
Completed,0.74,1068,4372,29,0.025,0.019,792,EDFSMode.RANDOM
Completed,0.59,4098,4965,1,0.232,0.357,184,EDFSMode.RANDOM
Completed,0.73,2389,832,16,0.009,0.732,557,EDFSMode.RANDOM
Completed,0.61,1120,1603,2,0.031,0.877,454,EDFSMode.RANDOM
Completed,0.71,1597,488,65,0.013,0.322,936,EDFSMode.RANDOM
Completed,0.58,274,3930,1,0.001,0.001,217,EDFSMode.RANDOM
Completed,0.58,251,3438,1,0.001,0.001,100,EDFSMode.RANDOM
