Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.92,2991,3104,15,0.713,0.988,344,EDFSMode.RANDOM
Completed,0.9,209,1494,22,0.118,0.001,1000,EDFSMode.RANDOM
Completed,0.91,294,1492,75,0.023,0.524,723,EDFSMode.RANDOM
Completed,0.87,2649,4509,1,0.899,0.001,464,EDFSMode.RANDOM
Completed,0.9,270,3739,80,0.063,0.454,1000,EDFSMode.RANDOM
Completed,0.89,227,1504,27,0.16,0.508,981,EDFSMode.RANDOM
Completed,0.83,3107,1966,1,0.882,0.001,920,EDFSMode.RANDOM
Completed,0.93,369,3788,17,0.112,0.999,508,EDFSMode.RANDOM
Completed,0.91,319,3827,58,0.176,0.999,978,EDFSMode.RANDOM
Completed,0.91,374,4888,54,0.112,0.266,1000,EDFSMode.RANDOM
Completed,0.93,506,1472,41,0.117,0.999,368,EDFSMode.RANDOM
Completed,0.9,321,1518,100,0.001,0.999,882,EDFSMode.RANDOM
Completed,0.92,279,1454,47,0.174,0.999,755,EDFSMode.RANDOM
Completed,0.72,2291,4764,1,0.482,0.965,1000,EDFSMode.RANDOM
Completed,0.92,441,1705,34,0.167,0.001,445,EDFSMode.RANDOM
Completed,0.91,256,3711,39,0.092,0.001,1000,EDFSMode.RANDOM
Completed,0.91,212,619,8,0.11,0.999,362,EDFSMode.RANDOM
Completed,0.92,815,991,57,0.305,0.806,354,EDFSMode.RANDOM
Completed,0.77,1310,938,1,0.308,0.046,1000,EDFSMode.RANDOM
Completed,0.9,259,1381,48,0.113,0.001,862,EDFSMode.RANDOM
Completed,0.87,155,988,12,0.023,0.385,1000,EDFSMode.RANDOM
Completed,0.89,231,805,88,0.005,0.553,732,EDFSMode.RANDOM
Completed,0.9,1383,3414,1,0.545,0.999,103,EDFSMode.RANDOM
Completed,0.91,225,4517,15,0.107,0.756,923,EDFSMode.RANDOM
Completed,0.88,212,3204,34,0.028,0.666,994,EDFSMode.RANDOM
Completed,0.93,372,1404,23,0.005,0.018,312,EDFSMode.RANDOM
Completed,0.91,403,1203,87,0.044,0.244,661,EDFSMode.RANDOM
