Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.91,0,3673,100,0.001,0.999,272,EDFSMode.RANDOM
Completed,0.91,1,2844,1,0.001,0.001,149,EDFSMode.RANDOM
Completed,0.91,2,5000,100,0.001,0.001,171,EDFSMode.RANDOM
Completed,0.91,0,2868,100,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,1576,1,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,3815,82,0.001,0.999,397,EDFSMode.RANDOM
Completed,0.91,0,2955,50,0.001,0.001,418,EDFSMode.RANDOM
Completed,0.91,0,3252,1,0.001,0.001,449,EDFSMode.RANDOM
Completed,0.91,0,1919,1,0.999,0.999,285,EDFSMode.RANDOM
Completed,0.91,2,3744,100,0.001,0.999,153,EDFSMode.RANDOM
Completed,0.91,2,4040,1,0.999,0.999,251,EDFSMode.RANDOM
Completed,0.91,0,2516,1,0.999,0.999,360,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.999,329,EDFSMode.RANDOM
Completed,0.91,0,4317,1,0.999,0.001,298,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.278,1000,EDFSMode.RANDOM
Completed,0.91,2,5000,100,0.277,0.725,1000,EDFSMode.RANDOM
Completed,0.91,2,892,100,0.244,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,2322,72,0.001,0.999,406,EDFSMode.RANDOM
Completed,0.91,2,1940,23,0.999,0.001,939,EDFSMode.RANDOM
Completed,0.91,2,5000,25,0.999,0.999,580,EDFSMode.RANDOM
Completed,0.91,0,1950,100,0.001,0.999,825,EDFSMode.RANDOM
Completed,0.91,1,3731,1,0.001,0.999,178,EDFSMode.RANDOM
Completed,0.91,1,3112,1,0.001,0.999,193,EDFSMode.RANDOM
Completed,0.91,1,2800,1,0.001,0.999,248,EDFSMode.RANDOM
Completed,0.91,0,2908,1,0.001,0.999,319,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.698,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,3447,100,0.001,0.999,295,EDFSMode.RANDOM
Completed,0.91,0,791,1,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.559,0.001,878,EDFSMode.RANDOM
Completed,0.91,2,5000,100,0.001,0.001,235,EDFSMode.RANDOM
Completed,0.91,0,2369,1,0.001,0.999,345,EDFSMode.RANDOM
Completed,0.91,1,3159,1,0.001,0.001,236,EDFSMode.RANDOM
Completed,0.91,1,3339,1,0.001,0.999,237,EDFSMode.RANDOM
Completed,0.91,0,5000,21,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,136,57,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,2,3587,1,0.999,0.999,190,EDFSMode.RANDOM
Completed,0.91,0,3302,1,0.001,0.999,298,EDFSMode.RANDOM
Completed,0.91,0,999,1,0.001,0.999,725,EDFSMode.RANDOM
Completed,0.91,1,3753,1,0.001,0.999,212,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,872,EDFSMode.RANDOM
Completed,0.91,0,3932,1,0.001,0.999,434,EDFSMode.RANDOM
Completed,0.91,0,2255,1,0.999,0.999,413,EDFSMode.RANDOM
Completed,0.92,2,3165,1,0.001,0.999,133,EDFSMode.RANDOM
Completed,0.91,0,3915,26,0.001,0.001,639,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.309,0.999,880,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,674,89,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,0,612,1,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.91,0,2505,23,0.001,0.999,391,EDFSMode.RANDOM
Completed,0.91,0,2007,1,0.001,0.999,403,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.321,1000,EDFSMode.RANDOM
Completed,0.91,1,2400,1,0.001,0.999,212,EDFSMode.RANDOM
Completed,0.92,1,2418,1,0.001,0.999,119,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.769,0.001,801,EDFSMode.RANDOM
Completed,0.91,1,2363,1,0.001,0.999,155,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.001,711,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,743,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.001,618,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.001,768,EDFSMode.RANDOM
Completed,0.91,0,1397,1,0.999,0.001,775,EDFSMode.RANDOM
Completed,0.91,1,2480,1,0.001,0.999,176,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,789,EDFSMode.RANDOM
Completed,0.91,0,1,81,0.001,0.001,790,EDFSMode.RANDOM
Completed,0.91,0,3009,1,0.001,0.001,714,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,730,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.999,0.999,904,EDFSMode.RANDOM
Completed,0.91,0,2183,1,0.999,0.001,608,EDFSMode.RANDOM
Completed,0.91,0,1313,100,0.001,0.001,751,EDFSMode.RANDOM
Completed,0.91,0,2407,100,0.001,0.001,700,EDFSMode.RANDOM
Completed,0.91,0,4534,1,0.001,0.001,708,EDFSMode.RANDOM
Completed,0.91,0,1037,1,0.999,0.001,302,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,830,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,518,EDFSMode.RANDOM
Completed,0.91,0,1552,1,0.999,0.086,479,EDFSMode.RANDOM
Completed,0.91,0,1946,1,0.001,0.001,727,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.001,757,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,656,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.637,0.999,718,EDFSMode.RANDOM
Completed,0.91,0,5000,100,0.001,0.031,839,EDFSMode.RANDOM
Completed,0.91,2,1899,1,0.001,0.999,211,EDFSMode.RANDOM
Completed,0.91,0,2832,100,0.001,0.658,790,EDFSMode.RANDOM
Completed,0.92,2,1500,1,0.001,0.999,129,EDFSMode.RANDOM
Completed,0.91,0,5000,61,0.001,0.999,960,EDFSMode.RANDOM
Completed,0.91,1,2181,1,0.001,0.999,128,EDFSMode.RANDOM
Completed,0.92,2,966,1,0.999,0.999,129,EDFSMode.RANDOM
Completed,0.91,0,179,1,0.001,0.001,554,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,488,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.328,0.999,685,EDFSMode.RANDOM
Completed,0.91,0,3740,64,0.001,0.001,961,EDFSMode.RANDOM
Completed,0.92,2,1058,1,0.001,0.999,130,EDFSMode.RANDOM
Completed,0.92,1,2625,1,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.91,0,2113,1,0.001,0.999,653,EDFSMode.RANDOM
Completed,0.91,0,5000,37,0.001,0.001,968,EDFSMode.RANDOM
Completed,0.91,0,1,53,0.001,0.001,318,EDFSMode.RANDOM
Completed,0.91,0,5000,51,0.001,0.001,745,EDFSMode.RANDOM
Completed,0.91,0,3556,22,0.001,0.999,970,EDFSMode.RANDOM
Completed,0.91,2,748,1,0.001,0.999,130,EDFSMode.RANDOM
Completed,0.91,0,1638,1,0.001,0.999,514,EDFSMode.RANDOM
Completed,0.92,3,1780,1,0.999,0.999,128,EDFSMode.RANDOM
Completed,0.91,0,1,65,0.001,0.999,394,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,546,EDFSMode.RANDOM
Completed,0.91,2,2865,1,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.91,0,3564,1,0.001,0.999,744,EDFSMode.RANDOM
Completed,0.92,3,1288,1,0.999,0.999,128,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,248,EDFSMode.RANDOM
Completed,0.91,0,5000,45,0.001,0.999,662,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.322,0.999,956,EDFSMode.RANDOM
Completed,0.91,0,3423,80,0.001,0.999,960,EDFSMode.RANDOM
Completed,0.91,0,1,42,0.001,0.001,628,EDFSMode.RANDOM
Completed,0.91,0,972,1,0.999,0.001,534,EDFSMode.RANDOM
Completed,0.91,0,2145,1,0.001,0.999,639,EDFSMode.RANDOM
Completed,0.91,0,1,32,0.001,0.999,766,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.787,0.999,764,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,133,EDFSMode.RANDOM
Completed,0.91,0,1,43,0.001,0.001,907,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.713,0.001,499,EDFSMode.RANDOM
Completed,0.91,0,1,75,0.001,0.001,816,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.952,0.001,706,EDFSMode.RANDOM
Completed,0.91,0,5000,95,0.001,0.001,684,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.528,0.999,840,EDFSMode.RANDOM
