Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.62,161,3840,89,0.606,0.999,422,EDFSMode.RANDOM
Completed,0.57,25,5000,1,0.001,0.999,900,EDFSMode.RANDOM
Completed,0.69,619,3719,100,0.482,0.999,212,EDFSMode.RANDOM
Completed,0.7,105,3944,100,0.001,0.001,144,EDFSMode.RANDOM
Completed,0.72,116,4724,100,0.001,0.001,125,EDFSMode.RANDOM
Completed,0.72,128,4852,70,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.69,121,4142,19,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.71,140,4603,100,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.71,115,3794,1,0.694,0.391,137,EDFSMode.RANDOM
Completed,0.67,89,4908,1,0.001,0.001,143,EDFSMode.RANDOM
Completed,0.71,110,5000,1,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.7,89,4754,42,0.001,0.001,151,EDFSMode.RANDOM
Completed,0.69,113,4642,100,0.001,0.531,146,EDFSMode.RANDOM
Completed,0.69,96,3996,28,0.001,0.001,159,EDFSMode.RANDOM
Completed,0.7,123,4855,74,0.001,0.001,141,EDFSMode.RANDOM
Completed,0.69,141,4696,1,0.607,0.195,137,EDFSMode.RANDOM
Completed,0.69,136,4997,1,0.44,0.001,150,EDFSMode.RANDOM
Completed,0.71,107,4786,1,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.72,100,4290,4,0.001,0.352,138,EDFSMode.RANDOM
Completed,0.71,147,5000,25,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.71,110,4620,1,0.78,0.452,144,EDFSMode.RANDOM
Completed,0.69,115,4815,100,0.001,0.537,117,EDFSMode.RANDOM
Completed,0.72,139,4862,100,0.001,0.001,112,EDFSMode.RANDOM
Completed,0.7,126,4211,24,0.001,0.999,123,EDFSMode.RANDOM
Completed,0.66,108,4900,90,0.001,0.001,157,EDFSMode.RANDOM
Completed,0.72,141,4481,100,0.001,0.445,100,EDFSMode.RANDOM
Completed,0.7,109,4198,100,0.001,0.001,137,EDFSMode.RANDOM
Completed,0.71,181,5000,1,0.999,0.999,130,EDFSMode.RANDOM
Completed,0.72,130,4902,21,0.001,0.754,100,EDFSMode.RANDOM
Completed,0.72,132,4182,44,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.71,115,4952,41,0.001,0.001,126,EDFSMode.RANDOM
Completed,0.71,132,5000,1,0.596,0.376,119,EDFSMode.RANDOM
Completed,0.7,77,3121,83,0.001,0.658,119,EDFSMode.RANDOM
Completed,0.63,64,4390,46,0.001,0.501,231,EDFSMode.RANDOM
Completed,0.59,51,4272,100,0.001,0.999,412,EDFSMode.RANDOM
Completed,0.59,36,4056,1,0.001,0.001,512,EDFSMode.RANDOM
Completed,0.64,44,3858,1,0.999,0.999,451,EDFSMode.RANDOM
Completed,0.66,80,4728,1,0.999,0.999,291,EDFSMode.RANDOM
Completed,0.66,45,4027,1,0.001,0.999,496,EDFSMode.RANDOM
Completed,0.67,83,4430,1,0.999,0.486,197,EDFSMode.RANDOM
Completed,0.63,59,5000,61,0.001,0.999,289,EDFSMode.RANDOM
Completed,0.63,52,3756,1,0.435,0.999,470,EDFSMode.RANDOM
Completed,0.65,58,4610,46,0.001,0.571,278,EDFSMode.RANDOM
Completed,0.62,51,4256,1,0.802,0.001,412,EDFSMode.RANDOM
Completed,0.65,48,4328,1,0.999,0.999,351,EDFSMode.RANDOM
Completed,0.67,73,4447,74,0.001,0.64,199,EDFSMode.RANDOM
Completed,0.66,77,4793,1,0.999,0.999,229,EDFSMode.RANDOM
Completed,0.59,195,3509,100,0.813,0.999,526,EDFSMode.RANDOM
Completed,0.6,42,5000,1,0.956,0.999,847,EDFSMode.RANDOM
Completed,0.64,48,4320,49,0.001,0.999,372,EDFSMode.RANDOM
Completed,0.61,41,3974,37,0.001,0.999,527,EDFSMode.RANDOM
Completed,0.62,42,3930,100,0.001,0.999,488,EDFSMode.RANDOM
Completed,0.62,58,3674,1,0.999,0.001,436,EDFSMode.RANDOM
Completed,0.68,63,5000,75,0.001,0.819,228,EDFSMode.RANDOM
Completed,0.63,152,4119,44,0.999,0.999,378,EDFSMode.RANDOM
Completed,0.68,70,4452,41,0.001,0.001,211,EDFSMode.RANDOM
Completed,0.63,54,4838,1,0.606,0.999,329,EDFSMode.RANDOM
Completed,0.59,29,5000,1,0.001,0.68,708,EDFSMode.RANDOM
