detector,lodo_dataset,learning_target,distance_method,dual_ranking_method,target_column,kendall_internal_target,spearman_internal_target,kendall_accuracy,spearman_accuracy,kendall_runtime,spearman_runtime,n_heldout_configs,n_real_pareto_points,n_real_pareto_layers,acc_fast,rt_fast,acc_accurate,rt_accurate,kendall_pareto_all,spearman_pareto_all,mean_exact_r2_selected_at_20,mean_r2_gap_selected_at_20,metrics_available_at_20,n_selected_at_20,gd_plus_at_20,mn_pd_at_20,top_5pct_npd_hit_rate_at_20,top_10pct_npd_hit_rate_at_20,igd_plus_at_20,aec_at_20,rec_at_20,pec_w0p5_at_20,acc_s_at_20,rt_s_at_20
PCACD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.3429942512251606,0.43356704730710904,0.7554509968674972,0.9058252095848568,986,11,626,0.0533333333333333,1.0,1.0,0.7959755493264706,0.46529185429055464,0.6175388092300188,0.04229141331869228,0.003790439586762784,True,20,0.06654792093482015,0.00712,1.0,1.0,0.007863259448535791,1.0,0.9714402059399715,0.9857201029699858,1.0,0.9941731037055536
PCACD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.06261862056101127,0.07725330200778895,0.807558043402546,0.9421864815278793,1266,8,527,0.09375,1.0,1.0,0.8471251081677383,0.5240924710415437,0.6954127326489297,0.052885611270181654,0.000611956716731997,True,20,0.011857834612669779,0.005893536121673004,1.0,1.0,0.0031025133962921947,1.0,1.0,1.0,1.0,1.0
PCACD,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.2950866698267322,-0.3639649150008241,0.7265379778448944,0.9017800347497087,1740,4,1106,0.1764705882352941,1.0,1.0,0.8563989224774423,0.5922083581578572,0.7946178617002585,0.06288578882244693,0.003869900229610833,True,20,0.06421098798845126,0.06104072398190045,0.5,0.7,0.03462322740845039,1.0,0.9608251798571226,0.9804125899285613,1.0,0.9943744536157304
SPLL,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6435778055386926,0.8184039184008942,0.49914618683637285,0.6768141655690795,1326,3,122,0.7142857142857141,1.0,1.0,0.7764127507901236,0.42048611709381595,0.5827601454653617,0.07119632049868012,0.022726950366615116,True,20,0.1984297778804769,0.09462809917355372,0.4,0.7,0.0609448550314012,0.7499999999999996,1.0,0.8749999999999998,0.9285714285714284,1.0
SPLL,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.61195913945169,0.7603088445469701,-0.1426054073318553,-0.23456431589568105,727,8,151,0.7906976744186047,1.0,1.0,0.417958229634973,0.4348358827931501,0.6193008295506671,0.19521478034988402,0.14216052754254938,True,20,0.3370142559030384,0.2826666666666667,0.15,0.25,0.16983492607488182,0.7777777777777773,0.3413980032146615,0.5595878904962195,0.9534883720930232,0.6166661278251198
SPLL,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.724749300009472,0.8795997703534458,0.28019468465283903,0.4127581902267346,1239,16,46,0.2105263157894737,1.0,1.0,0.0076097434918787,-0.17730436810450115,-0.2500956874234059,0.19989218692824212,0.07456370868117712,True,20,0.10017564118087019,0.21555555555555556,0.05,0.15,0.13423155525227928,0.7666666666666668,0.7275136124607818,0.7470901395637244,0.8157894736842106,0.7295871639749839
SPLL,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7177492350813882,0.8773003338958443,0.7063960902493089,0.886110290417054,1112,4,245,0.8214285714285713,1.0,1.0,0.8348790464642186,0.5871835290414997,0.7618717127791683,0.02433796213727018,0.005020318119822221,True,20,0.19133007204092714,0.2905737704918033,0.35,0.45,0.017973646645577518,1.0,0.7286659942263418,0.8643329971131709,1.0,0.9551970702399704
SPLL,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.8018046273401878,0.9374475302016102,0.19302016098425068,0.29430692680922993,2177,5,236,0.2250000000000001,1.0,1.0,0.7372962414897908,0.3138922750105968,0.4435571748191667,0.19490234911603163,0.12364389666984518,True,20,0.22755266172263214,0.08638297872340425,0.25,0.55,0.22594050600389362,0.8064516129032259,0.0,0.40322580645161293,0.8500000000000001,0.6557156594979566
SPLL,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7925822817407109,0.925699556056723,0.501258394049156,0.6729619366766941,1082,23,103,0.0384615384615384,1.0,1.0,0.11562749768497,0.6957130961060926,0.8712393403846818,0.1171751263295068,0.014460757516465833,True,20,0.02636751530823464,0.019117647058823527,1.0,1.0,0.03607807786605061,0.9199999999999999,1.0,0.96,0.923076923076923,1.0
UDetect,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.2648878138850664,-0.3366634138679558,0.6824523793743374,0.8464589951447509,1050,4,90,0.8333333333333331,1.0,1.0,0.5312234540819119,0.025954322185182812,0.024882785006022028,0.0677590463207299,0.02097605589216489,True,20,0.04722222222222225,0.009550561797752809,1.0,1.0,0.03830837878177076,1.0,0.7916321530544423,0.8958160765272212,1.0,0.9023220404284726
UDetect,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7482909379219321,0.8995459494597405,0.7408103942108724,0.9117813048897452,1074,20,88,0.0,1.0,1.0,0.0765201684440066,0.23113452649376634,0.3226583867438623,0.16625044336161662,0.021733590156195637,True,20,0.025798398489679807,0.02241379310344828,1.0,1.0,0.048669305267111794,0.8636363636363635,0.9898910171245696,0.9267636903804666,0.8636363636363635,0.9906645581969952
UDetect,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6160782810454337,0.7809189367764932,0.6647403631467463,0.8453441172837365,1067,13,41,0.4736842105263159,1.0,1.0,0.0,0.027229454255948696,0.03395716099522159,0.15991036497357475,0.02812126034332374,True,20,0.047187652777967784,0.03874999999999999,0.65,1.0,0.04391109167387825,0.55,1.0,0.775,0.7631578947368421,1.0
UDetect,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7812839222885388,0.9208304390390005,0.6063928903166507,0.8150312415812835,1243,25,82,0.0,1.0,1.0,0.3805728618985882,0.1840273401072174,0.270677909653096,0.09017309804451241,0.014373012955790868,True,20,0.024223365726799236,0.03888888888888889,0.7,1.0,0.03930937793901848,1.0,0.9813331956892983,0.9906665978446492,1.0,0.988437274828323
UDetect,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7357935672207387,0.8883785207697534,0.7099528533703159,0.881371418012438,2506,19,42,0.0625,1.0,1.0,0.1290627090201029,0.19201470858990022,0.26161344939601316,0.14672388975107367,0.009403011514564547,True,20,0.007982233309844874,0.007317073170731707,1.0,1.0,0.030085659706066067,0.9666666666666667,1.0,0.9833333333333334,0.96875,1.0
UDetect,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6935888039282361,0.8552260159583703,0.5425173230182541,0.747608261632584,1059,19,162,0.0666666666666666,1.0,1.0,0.0,0.21590715495804172,0.30751977128145536,0.17099912049704277,0.019549144571977012,True,20,0.024156416296707377,0.011801242236024845,1.0,1.0,0.04133992769257108,0.8333333333333335,0.9946616393342164,0.913997486333775,0.8444444444444446,0.9946616393342164
BNDM,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.573480282665059,0.75709718958026,0.4101960233968276,0.5693652649290766,1384,5,121,0.5238095238095235,1.0,1.0,0.6526600636530578,-0.008932693671730189,-0.01670767889410222,0.19421183958567548,0.11024833007031627,True,20,0.1246994358367433,0.04166666666666667,0.7,1.0,0.12193826918615329,0.2000000000000001,0.8553646149564804,0.5276823074782403,0.6190476190476188,0.9497623545654684
BNDM,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7215556071717238,0.8688984255976692,0.44202173354856816,0.6276105078757905,930,20,144,0.3720930232558139,1.0,1.0,0.2011983928290295,0.3845412365961507,0.5330605709103874,0.13232362052438854,0.028412190670678544,True,20,0.07835588628614575,0.05804195804195805,0.45,0.9,0.06693153821560545,0.777777777777778,1.0,0.8888888888888891,0.8604651162790699,1.0
BNDM,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,0.5247014165005593,0.6798490702685213,0.5550331442124553,0.7322831959915641,1075,11,43,0.2500000000000001,1.0,1.0,0.4383308947855384,0.007788310613066396,0.018401324618340195,0.18309041030138096,0.09114994741529218,True,20,0.08856024783566364,0.14523809523809525,0.05,0.2,0.14088309671061297,0.6333333333333333,0.9192766485931423,0.7763049909632378,0.725,0.9546601874453976
BNDM,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,0.6927489840778307,0.8518775568774104,0.5753955657887397,0.785588710848188,1342,24,103,0.0,1.0,1.0,0.6245072338361592,0.31380603408286917,0.4529704784876507,0.06968166746305207,0.01587716244760916,True,20,0.04436135061746436,0.11813725490196081,0.1,0.35,0.04025812836098821,1.0,0.7972065599382073,0.8986032799691037,1.0,0.9238525302313164
BNDM,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.7334212760393048,0.8819221267253805,0.4442283648370222,0.5858318160095967,1115,20,100,0.0625,1.0,1.0,0.6301711430641034,0.4084682380371671,0.5768960678244962,0.08162411981618146,0.008203727994399071,True,20,0.02532818091312832,0.0404040404040404,0.7,0.9,0.02357016031373595,0.9666666666666667,1.0,0.9833333333333334,0.96875,1.0
BNDM,SensorStream,pareto,not_applicable,pareto_layer,separate_objectives,,,0.8304324383944472,0.9463046151103127,0.5286489151853612,0.7445775731316376,1073,20,92,0.0363636363636363,1.0,1.0,0.252269484004008,0.4687255894221187,0.6463860910680176,0.15204688141174028,0.03071375002038773,True,20,0.047515499818004014,0.05824175824175824,0.25,1.0,0.054503817001926066,0.8490566037735849,0.8888460286401918,0.8689513162068884,0.8545454545454546,0.9168867836401268
CDBD,Electricity,pareto,not_applicable,pareto_layer,separate_objectives,,,0.1822296353203369,0.2521359315889184,0.6609090887266271,0.8340031010576812,1748,4,85,0.7368421052631582,1.0,1.0,0.8585304723925451,0.3390903874746888,0.4771615334208458,0.08068565151257451,0.044644348428305676,True,20,0.10910628111817663,0.04047619047619048,0.65,0.95,0.06578947368421034,0.40000000000000085,1.0,0.7000000000000004,0.8421052631578951,1.0
CDBD,ForestCovertype,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.1601477696266598,-0.24824202155928685,0.3104395608122728,0.44254681307832444,1390,7,222,0.84375,1.0,1.0,0.6648355973966004,0.07902590635448338,0.1154606334312413,0.05108822715964562,0.034456782943732,True,20,0.34202377467512635,0.5144796380090497,0.0,0.05,0.06358157476721037,0.8,0.7355209421317003,0.7677604710658501,0.96875,0.9113560345684614
CDBD,GasSensor,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.034493939299334274,-0.043600198527111576,0.4547541443274138,0.6142944079182868,1152,1,56,1.0,1.0,1.0,1.0,0.31970220322296267,0.4387768289403437,0.3280307248913997,0.3280307248913997,True,20,0.6550460669416652,0.15999999999999998,0.0,0.0,0.6463074987405044,0.368421052631579,0.8628088334869755,0.6156149430592772,0.368421052631579,0.8628088334869755
CDBD,PokerHand,pareto,not_applicable,pareto_layer,separate_objectives,,,-0.01063972627526031,-0.01656140664537675,0.2506782277982141,0.35795947584158716,1757,6,511,0.5882352941176467,1.0,1.0,0.6646590415731142,0.25091942783340637,0.3609661374075669,0.15067396656156867,0.07511099545855393,True,20,0.08049585100188819,0.04147058823529411,0.65,1.0,0.1341180006198322,0.2857142857142858,0.8732986653349414,0.5795064755246135,0.7058823529411763,0.9575118529994536
CDBD,RialtoBridgeTimelapse,pareto,not_applicable,pareto_layer,separate_objectives,,,0.11926032833638786,0.15477902165249544,0.25724682319944786,0.36887990642305607,3290,9,242,0.1999999999999999,1.0,1.0,0.7060587157826583,0.1525429702088619,0.22304888519034344,0.14395772515726882,0.08557313313462295,True,20,0.32477614058802207,0.27925311203319503,0.05,0.15,0.15084859925379457,0.7500000000000001,0.7843139473704318,0.767156973685216,0.7999999999999999,0.9366009647022956
