Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.69,110,680,3447,0.805,0.607
Completed,0.74,522,4570,1800,0.032,0.125
Completed,0.72,354,4347,3053,0.343,0.161
Completed,0.62,69,425,2191,0.617,0.676
Completed,0.7,184,1516,4034,0.25,0.39
Completed,0.57,65,2630,682,0.962,0.905
Completed,0.69,130,2702,3807,0.396,0.027
Completed,0.76,785,1279,909,0.675,0.51
Completed,0.7,114,495,2816,0.052,0.299
Completed,0.57,84,4110,2427,0.767,0.782
Completed,0.58,56,4475,3674,0.581,0.995
Completed,0.74,290,902,1573,0.365,0.48
Completed,0.62,63,2306,4666,0.986,0.703
Completed,0.82,5517,3697,54,0.208,0.189
Completed,0.72,300,3340,2646,0.886,0.416
Completed,0.51,106,1910,2091,0.17,0.93
Completed,0.69,166,1131,4174,0.541,0.128
Completed,0.72,516,4744,1129,0.263,0.643
Completed,0.68,184,3861,4875,0.077,0.57
Completed,0.77,357,285,429,0.854,0.088
Completed,0.57,76,1694,3347,0.481,0.847
Completed,0.75,364,3077,1391,0.698,0.363
Completed,0.7,180,3072,3351,0.908,0.545
Completed,0.75,705,1690,1405,0.13,0.062
Completed,0.6,58,281,4869,0.503,0.755
Completed,0.78,1126,3856,414,0.287,0.271
Completed,0.7,247,4729,4170,0.099,0.453
Completed,0.59,66,1117,1115,0.814,0.967
Completed,0.72,364,1896,2651,0.443,0.224
Completed,0.59,83,3325,2107,0.722,0.738
Completed,0.57,70,3710,4649,0.434,0.903
Completed,0.83,1827,2321,47,0.651,0.388
Completed,0.69,135,917,3688,0.03,0.678
Completed,0.74,602,4489,1575,0.807,0.164
Completed,0.72,336,4115,2832,0.619,0.122
Completed,0.68,106,501,2434,0.341,0.606
Completed,0.7,172,1284,3794,0.964,0.336
Completed,0.67,194,2706,906,0.248,0.819
Completed,0.68,102,2626,4031,0.673,0.19
Completed,0.72,545,1511,669,0.398,0.705
Completed,0.68,99,419,3059,0.765,0.478
Completed,0.57,199,4342,2207,0.054,0.993
Completed,0.57,85,4556,3451,0.367,0.784
Completed,0.73,189,665,1812,0.579,0.3
Completed,0.66,81,2386,4422,0.21,0.508
Completed,0.79,1264,3460,275,0.984,0.025
Completed,0.72,271,3259,2731,0.172,0.361
Completed,0.6,57,2147,2026,0.884,0.844
Completed,0.69,133,1051,4240,0.265,0.089
Completed,0.72,490,4981,1044,0.539,0.573
Completed,0.67,179,3937,4789,0.852,0.64
Completed,0.67,101,53,495,0.079,0.127
Completed,0.59,63,1770,3280,0.696,0.933
Completed,0.74,275,2845,1476,0.482,0.417
Completed,0.68,108,2914,4996,0.007,0.013
Completed,0.78,1140,1837,384,0.781,0.528
Completed,0.62,60,121,3380,0.414,0.289
Completed,0.61,86,4006,1278,0.626,0.804
Completed,0.58,52,4891,2525,0.937,0.98
Completed,0.72,236,965,2136,0.226,0.498
Completed,0.58,60,2060,4141,0.595,0.694
Completed,0.75,537,3170,1243,0.32,0.21
Completed,0.7,219,3546,3639,0.524,0.437
Completed,0.57,71,2476,1684,0.311,0.921
Completed,0.69,119,754,4543,0.93,0.146
Completed,0.81,3440,4642,96,0.157,0.629
Completed,0.69,265,4274,3842,0.467,0.592
Completed,0.75,271,350,798,0.742,0.077
Completed,0.57,122,1442,2939,0.125,0.864
Completed,0.71,154,2558,2385,0.837,0.35
Completed,0.6,80,2776,3010,0.271,0.719
Completed,0.73,294,1351,2314,0.55,0.235
Completed,0.59,85,567,3923,0.177,0.948
Completed,0.76,1345,4185,718,0.892,0.465
Completed,0.69,254,4401,4472,0.706,0.252
Completed,0.8,1092,830,167,0.49,0.767
Completed,0.65,75,2233,3558,0.861,0.043
Completed,0.74,429,3622,1764,0.083,0.557
Completed,0.56,60,3412,4368,0.761,0.831
Completed,0.75,1256,1985,1016,0.045,0.317
Completed,0.67,150,1205,2761,0.666,0.618
Completed,0.74,623,4816,1900,0.388,0.102
Completed,0.72,320,3789,3152,0.202,0.175
Completed,0.6,70,211,1505,0.979,0.658
Completed,0.69,164,1620,4759,0.356,0.4
Completed,0.59,78,3006,621,0.573,0.884
Completed,0.69,141,3029,4092,0.33,0.328
Completed,0.57,92,1567,1209,0.616,0.842
Completed,0.65,68,158,2564,0.235,0.099
Completed,0.7,299,3812,2171,0.959,0.614
Completed,0.63,123,4773,3428,0.648,0.67
Completed,0.75,504,1238,1311,0.423,0.187
Completed,0.58,49,2018,4956,0.802,0.88
Completed,0.79,1066,3370,349,0.017,0.396
Completed,0.71,271,3667,2892,0.827,0.247
Completed,0.67,88,2198,2352,0.104,0.731
Completed,0.69,127,794,3883,0.733,0.461
Completed,0.56,81,4446,834,0.446,0.944
Completed,0.59,112,4159,4589,0.135,0.778
Completed,0.82,1203,622,129,0.921,0.264
Completed,0.7,193,1406,3598,0.29,0.553
Completed,0.73,227,2750,1648,0.514,0.039
Completed,0.59,159,2503,3523,0.066,0.909
Completed,0.74,465,1468,1723,0.847,0.425
Completed,0.65,75,376,4504,0.472,0.633
Completed,0.79,2067,4220,214,0.693,0.15
Completed,0.7,238,4677,3959,0.879,0.065
Completed,0.77,563,709,758,0.159,0.581
Completed,0.69,105,2431,2978,0.536,0.354
Completed,0.58,87,3581,2267,0.254,0.867
Completed,0.68,142,3137,4725,0.59,0.516
Completed,0.69,145,2103,581,0.37,0.002
Completed,0.56,60,1007,3186,0.997,0.808
Completed,0.74,620,4858,1553,0.215,0.293
Completed,0.72,383,4058,2796,0.401,0.486
Completed,0.58,75,98,1939,0.684,0.969
Completed,0.69,212,1814,4334,0.059,0.214
Completed,0.6,97,2967,968,0.778,0.698
Completed,0.59,64,2881,2613,0.739,0.856
Completed,0.73,523,1724,2065,0.457,0.373
Completed,0.58,48,8,4201,0.832,0.569
Completed,0.75,969,3972,1161,0.112,0.085
Completed,0.68,198,4926,4907,0.301,0.138
Completed,0.76,812,1076,456,0.521,0.652
Completed,0.65,64,2172,3320,0.144,0.413
Completed,0.57,66,3204,1359,0.925,0.929
Completed,0.59,92,3512,3756,0.231,0.717
Completed,0.74,264,2363,863,0.95,0.202
Completed,0.58,66,642,2862,0.323,0.989
Completed,0.72,384,4608,2479,0.606,0.474
Completed,0.7,265,4309,3726,0.794,0.312
Completed,0.72,176,462,1619,0.012,0.796
Completed,0.69,169,1554,4619,0.637,0.021
Completed,0.69,120,2663,4378,0.974,0.376
Completed,0.79,1371,1317,244,0.189,0.892
Completed,0.68,103,534,3494,0.57,0.167
Completed,0.59,106,4072,1851,0.345,0.682
Completed,0.71,307,4513,3104,0.032,0.594
Completed,0.72,203,865,2237,0.756,0.111
Completed,0.6,62,2268,3988,0.377,0.823
Completed,0.77,945,3734,631,0.663,0.34
Completed,0.71,228,3299,3235,0.493,0.051
Completed,0.74,692,1951,1445,0.717,0.533
Completed,0.68,135,1172,4831,0.088,0.275
Completed,0.64,176,4703,532,0.874,0.759
Completed,0.53,61,3901,4286,0.561,0.955
Completed,0.71,148,245,1075,0.274,0.441
Completed,0.59,82,1655,2689,0.905,0.742
Completed,0.73,281,3117,1989,0.182,0.228
Completed,0.64,92,3102,4556,0.534,0.675
Completed,0.81,2961,1680,101,0.255,0.16
Completed,0.59,53,271,3663,0.878,0.898
Completed,0.74,613,3885,1717,0.163,0.384
Completed,0.71,344,4719,2964,0.473,0.331
Completed,0.56,72,1146,2420,0.689,0.814
Completed,0.7,245,1925,3858,0.069,0.12
Completed,0.71,390,3315,803,0.847,0.603
Completed,0.7,223,3720,3376,0.06,0.75
Completed,0.71,141,2291,1263,0.776,0.267
Completed,0.68,126,888,4962,0.404,0.543
Completed,0.78,1492,4499,360,0.683,0.059
Completed,0.7,305,4086,4106,0.993,0.221
Completed,0.69,185,510,1218,0.216,0.735
Completed,0.72,256,1294,2519,0.59,0.448
Completed,0.59,68,2676,2121,0.373,0.962
Completed,0.54,72,1752,4407,0.418,0.829
Completed,0.67,94,246,2570,0.39,0.113
Completed,0.74,778,3571,1834,0.677,0.23
Completed,0.55,93,3858,3584,0.306,0.904
Completed,0.71,375,1789,3070,0.616,0.427
Completed,0.68,161,2739,4929,0.854,0.08
Completed,0.6,83,785,2335,0.496,0.688
Completed,0.77,852,3014,914,0.41,0.496
Completed,0.66,165,4571,3836,0.545,0.64
Completed,0.65,88,2326,4653,0.344,0.162
Completed,0.73,789,4122,1991,0.984,0.552
Completed,0.71,257,3139,2799,0.124,0.314
Completed,0.78,1582,4045,335,0.985,0.247
