Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.7,4,4690,4734,0.868,0.305
Completed,0.73,15,656,297,0.408,0.557
Completed,0.65,4,2311,3419,0.504,0.147
Completed,0.71,5,3279,1610,0.216,0.901
Completed,0.71,5,3576,3922,0.607,0.598
Completed,0.7,2,2005,1049,0.178,0.353
Completed,0.72,10,4684,2492,0.503,0.013
Completed,0.74,165,4498,91,0.22,0.405
Completed,0.72,15,4362,1840,0.454,0.427
Completed,0.74,357,1888,46,0.395,0.171
Completed,0.69,5,444,279,0.677,0.953
Completed,0.74,66,4939,187,0.039,0.176
Completed,0.74,77,4160,154,0.999,0.353
Completed,0.71,4,3569,160,0.999,0.999
Completed,0.73,309,3280,38,0.629,0.113
Completed,0.74,65,5000,184,0.445,0.453
Completed,0.74,102,4916,183,0.431,0.308
Completed,0.71,2,1,449,0.999,0.999
Completed,0.71,14,5000,2850,0.001,0.588
Completed,0.73,40,5000,350,0.999,0.112
Completed,0.73,96,5000,173,0.999,0.3
Completed,0.71,3,2750,2267,0.475,0.999
Completed,0.73,8,5000,2102,0.999,0.001
Completed,0.71,4,854,180,0.999,0.999
Completed,0.71,3,1,616,0.999,0.999
Completed,0.73,43,5000,367,0.999,0.334
Completed,0.7,10,4739,2396,0.001,0.619
Completed,0.71,2,3612,3709,0.999,0.999
Completed,0.71,2,1760,4085,0.999,0.999
Completed,0.67,40,1,4083,0.001,0.999
Completed,0.73,66,4748,287,0.488,0.246
Completed,0.71,11,5000,1308,0.999,0.425
Completed,0.69,6,5000,3198,0.001,0.001
Completed,0.69,51,4761,4313,0.001,0.999
Completed,0.71,2,3646,4900,0.999,0.999
Completed,0.73,30,5000,431,0.999,0.077
Completed,0.73,65,5000,216,0.013,0.097
Completed,0.74,40,5000,358,0.999,0.207
Completed,0.71,4,4190,1357,0.21,0.999
Completed,0.7,7,3767,3725,0.001,0.601
Completed,0.71,7,712,448,0.12,0.999
Completed,0.73,5,5000,4529,0.999,0.001
Completed,0.68,5,4794,4238,0.559,0.61
Completed,0.71,5,4811,3365,0.065,0.999
Completed,0.71,12,3304,962,0.023,0.999
Completed,0.7,7,5000,2732,0.999,0.001
Completed,0.73,5,5000,4050,0.429,0.001
Completed,0.71,5,3538,4881,0.064,0.999
Completed,0.71,10,5000,1540,0.999,0.001
Completed,0.71,14,5000,1313,0.313,0.055
Completed,0.73,34,5000,422,0.358,0.21
Completed,0.73,28,5000,432,0.999,0.271
Completed,0.71,3,93,395,0.721,0.999
Completed,0.69,5,5000,4206,0.916,0.001
Completed,0.71,3,1431,4122,0.666,0.999
Completed,0.71,4,531,2043,0.442,0.999
Completed,0.71,3,3011,2458,0.401,0.999
Completed,0.69,6,4691,3604,0.999,0.595
Completed,0.67,96,3314,2897,0.001,0.999
Completed,0.72,7,5000,2806,0.418,0.001
Completed,0.7,7,5000,3070,0.382,0.001
Completed,0.71,3,3974,4562,0.999,0.999
Completed,0.71,2,2831,2923,0.999,0.999
Completed,0.7,6,5000,2730,0.001,0.001
Completed,0.71,3,1586,3201,0.554,0.999
Completed,0.72,5,5000,3776,0.468,0.001
Completed,0.71,7,3785,2797,0.001,0.372
Completed,0.7,84,3398,2420,0.001,0.999
Completed,0.71,3,1457,2559,0.627,0.999
Completed,0.69,7,4687,2348,0.537,0.683
Completed,0.71,3,1580,1475,0.554,0.999
Completed,0.71,3,4967,2377,0.703,0.999
Completed,0.71,8,5000,2092,0.474,0.001
Completed,0.68,6,5000,2859,0.477,0.49
Completed,0.67,3,2182,3689,0.575,0.999
Completed,0.67,6,3701,2100,0.474,0.647
Completed,0.69,6,4571,3228,0.381,0.424
Completed,0.71,4,38,545,0.279,0.88
Completed,0.71,3,1329,922,0.553,0.999
Completed,0.69,7,5000,2445,0.999,0.005
Completed,0.73,33,5000,364,0.418,0.147
Completed,0.71,3,3572,1172,0.341,0.999
Completed,0.73,13,4960,1019,0.999,0.062
Completed,0.72,14,4994,1114,0.999,0.311
Completed,0.69,5,4859,3518,0.481,0.564
Completed,0.73,11,681,394,0.981,0.184
Completed,0.68,6,1373,4501,0.033,0.958
Completed,0.71,6,3054,1374,0.532,0.294
Completed,0.71,4,3456,4180,0.787,0.407
Completed,0.67,3,2089,2302,0.289,0.837
Completed,0.67,3,281,2647,0.728,0.055
Completed,0.72,14,4150,776,0.231,0.701
Completed,0.68,4,3942,4748,0.649,0.799
Completed,0.68,3,388,1625,0.15,0.449
Completed,0.64,3,2330,3153,0.832,0.661
Completed,0.73,350,3387,27,0.333,0.091
Completed,0.68,4,2537,2871,0.081,0.204
Completed,0.72,13,1797,993,0.582,0.54
Completed,0.71,4,1239,3760,0.405,0.321
Completed,0.72,3,4482,1889,0.905,0.935
Completed,0.67,5,4671,3938,0.184,0.011
Completed,0.69,4,1040,2064,0.682,0.737
Completed,0.71,5,1595,3045,0.367,0.404
Completed,0.71,3,2729,1169,0.865,0.848
Completed,0.72,3,3263,3291,0.611,0.976
Completed,0.74,19,2443,163,0.111,0.268
Completed,0.69,3,499,4883,0.934,0.624
Completed,0.71,8,3821,1762,0.435,0.132
Completed,0.69,6,4340,2786,0.952,0.37
Completed,0.7,2,83,912,0.452,0.878
Completed,0.68,4,1888,4315,0.504,0.232
Completed,0.69,6,3648,2439,0.003,0.52
Completed,0.69,3,2931,4678,0.256,0.648
Completed,0.7,8,1487,1549,0.754,0.096
Completed,0.67,4,792,3692,0.197,0.765
Completed,0.73,20,4738,571,0.696,0.491
Completed,0.71,4,4818,4429,0.817,0.149
Completed,0.67,5,874,1300,0.318,0.607
Completed,0.7,4,1410,3453,0.634,0.251
Completed,0.71,7,2856,332,0.134,0.993
Completed,0.64,4,3722,2566,0.391,0.864
Completed,0.73,19,1965,692,0.888,0.388
Completed,0.66,3,1,4086,0.067,0.721
Completed,0.71,7,4260,2210,0.565,0.027
Completed,0.71,5,3900,3237,0.049,0.476
Completed,0.74,31,581,108,0.548,0.779
Completed,0.7,3,2366,4840,0.497,0.11
Completed,0.7,5,3188,1719,0.996,0.634
Completed,0.7,3,2803,3835,0.745,0.505
Completed,0.69,7,1672,1961,0.245,0.247
Completed,0.68,3,958,2934,0.804,0.892
Completed,0.72,12,4592,1057,0.303,0.356
Completed,0.66,5,4400,3110,0.518,0.717
Completed,0.7,7,1160,1231,0.02,0.038
Completed,0.63,3,1872,4010,0.966,0.82
Completed,0.69,4,2614,2139,0.469,0.424
Completed,0.64,4,3310,4977,0.212,0.311
Completed,0.71,3,2255,1854,0.712,0.941
Completed,0.71,3,467,3373,0.271,0.167
Completed,0.74,52,4024,247,0.77,0.581
Completed,0.7,4,4069,4223,0.35,0.921
Completed,0.7,3,202,2345,0.851,0.335
Completed,0.68,3,2164,2702,0.167,0.555
Completed,0.74,13,3533,830,0.667,0.19
Completed,0.68,5,2977,3630,0.918,0.076
Completed,0.73,16,1299,506,0.419,0.676
Completed,0.65,3,760,4604,0.594,0.464
