Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.73,41,992,148,10,0.688
Completed,0.71,45,1392,4696,1,0.577
Completed,0.7,130,4928,4480,10,0.903
Completed,0.73,8,1380,1901,10,0.423
Completed,0.73,37,5000,378,10,0.999
Completed,0.7,26,5000,4676,1,0.747
Completed,0.72,52,5000,2995,1,0.165
Completed,0.72,28,4151,1324,4,0.999
Completed,0.73,17,3988,1152,1,0.808
Completed,0.74,401,1161,17,10,0.807
Completed,0.67,29,5000,3294,1,0.907
Completed,0.73,27,1619,431,4,0.707
Completed,0.73,64,4942,962,10,0.363
Completed,0.72,11,597,483,1,0.36
Completed,0.74,73,1479,124,1,0.95
Completed,0.73,32,4885,509,1,0.184
Completed,0.73,43,1137,172,10,0.842
Completed,0.72,32,3597,516,5,0.62
Completed,0.71,10,169,362,6,0.371
Completed,0.73,57,4950,1134,10,0.443
Completed,0.72,10,1308,1385,1,0.559
Completed,0.7,25,1152,1687,4,0.519
Completed,0.7,5,5000,3412,1,0.999
Completed,0.73,50,4336,1674,5,0.411
Completed,0.71,5,4942,3480,1,0.852
Completed,0.75,28,222,54,10,0.793
Completed,0.71,35,1100,1228,10,0.999
Completed,0.73,89,1736,142,10,0.895
Completed,0.73,23,3928,560,1,0.94
Completed,0.73,187,2424,15,10,0.321
Completed,0.73,27,831,528,5,0.84
Completed,0.72,16,914,469,7,0.765
Completed,0.72,31,890,356,10,0.192
Completed,0.73,29,2397,87,7,0.254
Completed,0.69,13,1103,1815,1,0.241
Completed,0.74,49,843,112,1,0.999
Completed,0.73,14,411,438,10,0.721
Completed,0.74,20,1017,431,6,0.891
Completed,0.71,9,275,480,4,0.788
Completed,0.72,17,301,353,7,0.213
Completed,0.69,16,1296,1490,1,0.731
Completed,0.73,203,2488,17,10,0.999
Completed,0.74,55,805,102,10,0.22
Completed,0.75,42,2212,38,1,0.999
Completed,0.74,18,981,512,1,0.798
Completed,0.7,32,1142,1758,10,0.328
Completed,0.71,29,459,469,10,0.234
Completed,0.72,16,755,573,1,0.733
Completed,0.69,15,1310,1788,1,0.999
Completed,0.75,1340,778,3,1,0.999
Completed,0.72,38,970,1583,1,0.206
Completed,0.74,30,1000,212,1,0.999
Completed,0.73,39,1063,194,7,0.999
Completed,0.73,317,778,15,10,0.999
Completed,0.74,68,1788,152,1,0.999
Completed,0.74,27,799,171,1,0.999
Completed,0.74,51,3835,207,1,0.999
Completed,0.73,46,3088,158,10,0.999
Completed,0.73,62,1743,185,6,0.999
Completed,0.74,47,900,111,10,0.999
Completed,0.74,30,871,183,10,0.999
Completed,0.73,111,3550,86,10,0.999
Completed,0.74,425,1594,22,10,0.999
Completed,0.73,39,1946,499,9,0.601
Completed,0.71,138,3638,3074,3,0.117
Completed,0.7,22,4397,1532,6,0.974
Completed,0.67,125,1108,3958,5,0.491
Completed,0.67,27,100,2119,1,0.31
Completed,0.65,181,4312,4545,10,0.794
Completed,0.69,70,2649,1163,4,0.184
Completed,0.65,213,1840,3738,8,0.669
Completed,0.69,20,1296,1809,3,0.828
Completed,0.69,52,3047,4224,7,0.313
Completed,0.73,54,3767,223,1,0.705
Completed,0.7,61,498,2807,10,0.189
Completed,0.72,137,720,810,6,0.011
Completed,0.71,138,4952,3394,5,0.526
Completed,0.69,74,3250,2473,8,0.386
Completed,0.66,5,2500,4889,2,0.901
Completed,0.72,27,2319,2260,7,0.138
Completed,0.65,59,3419,4833,3,0.652
Completed,0.71,31,4769,709,9,0.264
Completed,0.66,13,890,3137,1,0.778
Completed,0.74,76,3026,154,10,0.001
Completed,0.73,433,3464,32,1,0.338
Completed,0.73,199,4963,75,10,0.999
Completed,0.73,346,968,21,1,0.503
Completed,0.73,290,3656,46,10,0.001
Completed,0.74,44,931,158,1,0.001
Completed,0.73,40,2592,100,1,0.733
Completed,0.64,373,1,5000,1,0.001
Completed,0.73,82,843,67,1,0.766
Completed,0.74,1043,4524,20,1,0.268
Completed,0.73,120,1478,90,10,0.001
Completed,0.74,26,580,148,4,0.477
Completed,0.74,68,2907,107,1,0.001
Completed,0.73,339,5000,45,10,0.17
Completed,0.73,56,2837,311,10,0.001
Completed,0.74,973,4076,14,10,0.627
Completed,0.73,45,1046,139,1,0.495
Completed,0.72,58,900,617,1,0.001
Completed,0.74,22,313,118,10,0.09
Completed,0.71,20,1105,668,1,0.999
Completed,0.73,22,5000,2264,10,0.999
Completed,0.74,99,4430,126,1,0.377
Completed,0.72,22,1191,717,10,0.999
Completed,0.74,74,5000,185,1,0.672
Completed,0.73,96,3832,121,1,0.472
Completed,0.74,60,3629,213,1,0.001
Completed,0.74,25,2282,123,1,0.999
