Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.81,1684,3261,4852,1,0.999
Completed,0.91,583,609,662,2,0.999
Completed,0.92,867,678,616,2,0.915
Completed,0.89,1238,4619,2672,2,0.999
Completed,0.88,673,3760,2500,1,0.999
Completed,0.92,1013,4626,512,1,0.584
Completed,0.88,1603,1662,2611,1,0.611
Completed,0.88,923,1780,2909,1,0.999
Completed,0.89,1483,4992,3123,2,0.999
Completed,0.83,648,721,1994,1,0.999
Completed,0.85,1259,522,1307,2,0.999
Completed,0.86,1742,167,230,4,0.001
Completed,0.86,743,1094,2647,1,0.999
Completed,0.88,1363,460,650,10,0.999
Completed,0.88,521,456,863,3,0.999
Completed,0.88,1067,4065,3184,1,0.999
Completed,0.84,1881,1862,4455,1,0.999
Completed,0.88,2159,609,1321,9,0.999
Completed,0.85,381,265,766,1,0.999
Completed,0.85,313,494,1321,1,0.999
Completed,0.87,941,604,1292,1,0.842
Completed,0.86,1648,4351,3605,3,0.999
Completed,0.88,560,801,1565,2,0.999
Completed,0.92,840,3355,365,2,0.942
Completed,0.9,392,2241,323,1,0.873
Completed,0.91,764,2238,264,2,0.896
Completed,0.93,931,1254,277,2,0.83
Completed,0.91,703,1871,2232,1,0.999
Completed,0.93,2364,1402,279,7,0.233
Completed,0.92,1177,1784,443,1,0.3
Completed,0.91,579,662,753,1,0.999
Completed,0.92,878,4253,528,1,0.715
Completed,0.87,1194,4101,3402,1,0.776
Completed,0.91,908,747,852,4,0.886
Completed,0.9,788,1778,2308,1,0.999
Completed,0.89,1426,1793,2336,1,0.854
Completed,0.92,1005,4338,551,1,0.95
Completed,0.88,567,1158,1898,1,0.999
Completed,0.91,688,696,774,4,0.999
Completed,0.85,989,1455,3317,1,0.903
Completed,0.85,1163,881,2124,2,0.956
Completed,0.89,1658,1561,2073,2,0.999
Completed,0.88,1415,1848,3199,2,0.999
Completed,0.91,647,674,755,1,0.884
Completed,0.9,786,4176,2044,1,0.999
Completed,0.89,894,224,320,3,0.778
Completed,0.92,1014,1811,668,3,0.999
Completed,0.92,1397,1315,463,1,0.206
Completed,0.92,875,1803,766,1,0.999
Completed,0.92,1111,4313,452,4,0.976
Completed,0.92,1303,3789,448,7,0.936
Completed,0.92,1573,873,158,2,0.903
Completed,0.92,903,4367,425,1,0.982
Completed,0.93,1639,1471,400,10,0.496
Completed,0.92,1027,4569,479,4,0.999
Completed,0.92,324,234,228,1,0.999
Completed,0.92,1379,1340,365,6,0.527
Completed,0.91,480,1180,882,1,0.938
Completed,0.88,925,1845,2595,1,0.999
Completed,0.92,1536,4623,495,1,0.216
Completed,0.9,1778,5000,1779,1,0.699
Completed,0.84,1074,4718,3774,1,0.999
Completed,0.87,352,217,593,1,0.999
Completed,0.89,746,4563,2411,1,0.999
Completed,0.91,938,698,860,7,0.999
Completed,0.9,1327,1618,1686,1,0.859
Completed,0.91,679,4956,1794,1,0.999
Completed,0.92,1129,5000,719,2,0.93
Completed,0.92,1214,3281,525,1,0.827
Completed,0.93,852,5000,877,1,0.724
Completed,0.91,657,581,465,1,0.564
Completed,0.91,492,641,529,1,0.999
Completed,0.92,963,772,417,7,0.73
Completed,0.91,948,4787,1570,1,0.999
Completed,0.92,834,3077,318,1,0.931
Completed,0.9,1030,269,407,7,0.999
Completed,0.91,1235,1212,984,1,0.698
Completed,0.89,1040,666,895,5,0.966
Completed,0.87,632,247,464,1,0.844
Completed,0.93,819,4156,914,1,0.749
Completed,0.89,525,259,353,1,0.895
Completed,0.89,374,232,358,1,0.999
Completed,0.91,863,234,334,3,0.999
Completed,0.92,895,3659,543,1,0.717
Completed,0.9,420,692,900,1,0.925
Completed,0.9,738,5000,2076,1,0.999
Completed,0.91,1220,3670,1265,1,0.701
Completed,0.92,735,4113,649,1,0.999
Completed,0.93,630,3671,466,1,0.938
