Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.75,154,1146,96,10,0.999
Completed,0.72,126,1135,110,10,0.999
Completed,0.77,276,1064,35,1,0.001
Completed,0.57,14,4355,3494,10,0.999
Completed,0.72,111,1063,141,10,0.001
Completed,0.73,94,967,161,10,0.001
Completed,0.75,218,1121,58,10,0.999
Completed,0.75,149,1096,84,1,0.999
Completed,0.76,277,4711,78,10,0.001
Completed,0.6,17,888,1257,1,0.89
Completed,0.59,10,1068,3037,10,0.999
Completed,0.8,600,1166,13,10,0.001
Completed,0.77,360,4948,55,10,0.001
Completed,0.64,25,1179,1124,10,0.999
Completed,0.76,249,1050,49,1,0.999
Completed,0.56,7,773,3351,1,0.999
Completed,0.57,13,3262,2656,1,0.999
Completed,0.59,17,5000,2799,10,0.999
Completed,0.59,32,4173,1318,1,0.999
Completed,0.59,22,5000,2222,10,0.999
Completed,0.62,20,1089,1681,1,0.999
Completed,0.57,12,3618,3597,1,0.999
Completed,0.76,174,1119,75,10,0.999
Completed,0.74,165,1067,80,10,0.001
Completed,0.75,133,1021,95,1,0.001
Completed,0.72,67,605,164,1,0.626
Completed,0.58,22,1112,1747,10,0.001
Completed,0.73,131,1055,117,10,0.001
Completed,0.78,384,1086,25,10,0.001
Completed,0.72,81,1067,250,10,0.999
Completed,0.76,270,1113,45,10,0.999
Completed,0.77,518,4757,30,10,0.001
Completed,0.73,109,990,147,1,0.999
Completed,0.71,62,970,276,1,0.999
Completed,0.58,27,5000,1943,10,0.999
Completed,0.54,13,920,2899,10,0.001
Completed,0.59,12,1374,3111,1,0.999
Completed,0.79,318,1073,31,1,0.999
Completed,0.64,41,848,496,1,0.001
Completed,0.69,65,661,167,1,0.999
Completed,0.63,45,1021,464,10,0.001
Completed,0.59,14,5000,3027,10,0.999
Completed,0.56,11,1823,3934,1,0.001
Completed,0.59,13,1162,2874,10,0.999
Completed,0.56,248,4213,3574,10,0.001
Completed,0.55,15,4042,3835,1,0.999
Completed,0.54,8,1378,4689,10,0.001
Completed,0.77,240,1095,61,1,0.999
Completed,0.58,37,1132,2685,1,0.001
Completed,0.55,8,4137,4341,1,0.999
Completed,0.54,8,4594,4655,10,0.001
Completed,0.72,131,1051,125,1,0.999
Completed,0.56,10,1262,3892,10,0.999
Completed,0.62,45,751,965,10,0.001
Completed,0.58,8,4245,4065,1,0.999
Completed,0.56,8,1865,4304,10,0.001
Completed,0.54,8,1683,4455,10,0.999
Completed,0.53,8,1202,4804,10,0.001
Completed,0.58,17,5000,2938,10,0.001
Completed,0.7,79,1026,270,10,0.382
Completed,0.69,49,944,448,1,0.999
Completed,0.57,185,5000,2213,10,0.001
Completed,0.55,9,4442,4462,1,0.999
Completed,0.51,8,1090,3678,1,0.999
Completed,0.62,21,1250,1487,1,0.999
Completed,0.66,45,652,315,10,0.541
Completed,0.56,10,1936,4153,10,0.001
Completed,0.53,10,1449,4595,1,0.001
Completed,0.57,9,3317,4184,1,0.001
Completed,0.54,10,5000,4634,1,0.001
Completed,0.69,56,866,298,1,0.001
Completed,0.74,74,883,162,1,0.464
Completed,0.56,7,5000,3976,10,0.001
Completed,0.64,37,656,351,1,0.999
Completed,0.57,18,5000,2355,10,0.999
Completed,0.56,7,1760,4125,1,0.999
Completed,0.73,142,1100,91,1,0.999
Completed,0.6,22,4960,1741,1,0.246
Completed,0.57,17,1165,2269,1,0.999
Completed,0.7,58,956,295,1,0.582
Completed,0.58,12,1070,2038,1,0.999
Completed,0.58,14,5000,3138,10,0.999
Completed,0.54,8,1567,4469,10,0.001
Completed,0.64,48,831,364,1,0.541
Completed,0.57,16,5000,2596,1,0.838
Completed,0.59,12,1058,2851,10,0.4
Completed,0.55,9,4016,4420,1,0.001
Completed,0.57,10,1449,3527,10,0.999
Completed,0.71,99,1031,135,1,0.518
Completed,0.55,15,4017,2585,10,0.999
Completed,0.61,22,4072,2074,1,0.999
Completed,0.58,9,1132,3431,1,0.999
Completed,0.77,316,1041,27,1,0.001
Completed,0.61,17,1051,1690,1,0.413
Completed,0.53,5,2101,2630,1,0.421
Completed,0.55,9,5000,4252,1,0.001
Completed,0.75,178,1110,77,1,0.999
Completed,0.55,8,4667,4393,10,0.001
Completed,0.6,45,995,756,10,0.001
Completed,0.56,9,1142,3830,10,0.001
Completed,0.61,24,5000,1597,1,0.999
Completed,0.53,5,2047,3855,10,0.001
Completed,0.62,26,1355,1322,10,0.399
Completed,0.58,12,1291,2589,1,0.999
Completed,0.75,198,1111,66,10,0.999
Completed,0.62,22,786,985,1,0.999
Completed,0.6,24,1271,1626,1,0.999
Completed,0.58,15,2949,2145,1,0.999
Completed,0.62,21,1055,1566,1,0.999
Completed,0.72,92,929,146,1,0.554
Completed,0.56,14,3777,3762,1,0.999
Completed,0.59,19,1379,2146,1,0.999
Completed,0.56,20,1098,1981,1,0.999
Completed,0.58,21,5000,2672,1,0.095
Completed,0.54,8,655,3284,10,0.999
Completed,0.63,33,1190,987,1,0.514
Completed,0.8,385,1106,26,1,0.999
Completed,0.57,13,1542,3731,10,0.999
Completed,0.58,29,938,950,1,0.999
Completed,0.59,21,5000,2726,10,0.999
Completed,0.57,14,4159,3943,1,0.483
Completed,0.58,42,4907,887,1,0.513
Completed,0.56,7,2879,4090,1,0.999
Completed,0.74,105,1064,131,10,0.502
Completed,0.52,5,267,4816,10,0.001
Completed,0.52,5,2136,4578,1,0.999
Completed,0.59,16,853,1410,1,0.999
Completed,0.81,555,1133,17,10,0.999
