Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.61,13607,2220,4207,4,0.952
Completed,0.66,11801,926,1527,4,0.346
Completed,0.65,12388,1419,3891,1,0.252
Completed,0.66,12078,2455,1773,5,0.78
Completed,0.74,4991,3444,440,2,0.59
Completed,0.8,2097,2686,133,5,0.139
Completed,0.67,4745,4713,1634,1,0.711
Completed,0.67,9755,349,817,8,0.431
Completed,0.63,12966,2944,4271,3,0.68
Completed,0.64,13623,220,1333,8,0.607
Completed,0.73,4851,1551,294,4,0.997
Completed,0.72,6843,4999,475,7,0.5
Completed,0.73,7872,3537,481,10,0.821
Completed,0.73,5711,1133,342,6,0.639
Completed,0.7,12411,1845,762,4,0.526
Completed,0.67,10505,2550,1314,1,0.686
Completed,0.59,11081,130,1604,3,0.493
Completed,0.66,11672,633,3090,2,0.279
Completed,0.65,14219,2088,653,10,0.842
Completed,0.63,13789,2413,3572,4,0.575
Completed,0.69,12735,4613,1446,7,0.755
Completed,0.58,14172,141,3944,6,0.658
Completed,0.78,4000,3382,252,6,0.876
Completed,0.7,6686,1706,533,3,0.8
Completed,0.73,8690,489,421,7,0.149
Completed,0.67,9969,3678,3035,1,0.644
Completed,0.65,9558,2276,2012,1,0.548
Completed,0.67,10038,1612,3337,5,0.708
Completed,0.68,10688,3622,835,3,0.861
Completed,0.66,13683,4525,3508,3,0.441
Completed,0.68,12806,3777,2494,2,0.289
Completed,0.59,10881,188,2541,2,0.381
Completed,0.74,5248,2595,331,6,0.773
Completed,0.73,10301,868,390,1,0.457
Completed,0.74,10133,1777,263,9,0.158
Completed,0.67,11041,2925,2645,2,0.51
Completed,0.65,8478,495,2783,5,0.95
Completed,0.67,9779,161,508,10,0.718
Completed,0.68,12396,3502,1470,5,0.732
Completed,0.68,11278,4544,1946,3,0.436
Completed,0.54,12776,73,4445,1,0.026
Completed,0.66,11630,4155,3794,2,0.639
Completed,0.68,11755,1244,1296,1,0.79
Completed,0.72,5647,4732,281,3,0.604
Completed,0.66,10444,4833,3750,1,0.885
Completed,0.73,9492,1399,454,5,0.372
Completed,0.73,7231,4292,359,4,0.738
Completed,0.66,7651,2508,1144,1,0.41
Completed,0.63,12427,296,3081,3,0.742
Completed,0.68,13009,4135,1368,6,0.662
Completed,0.68,14239,1861,1545,10,0.844
Completed,0.81,1984,417,71,4,0.752
Completed,0.69,5518,1001,1180,4,0.445
Completed,0.79,3846,3003,210,3,0.692
Completed,0.73,7482,4672,396,10,0.928
Completed,0.68,10156,4233,1555,1,0.564
Completed,0.67,11124,3236,3349,2,0.49
Completed,0.66,12764,1009,4053,3,0.974
Completed,0.63,10930,4467,4655,1,0.361
Completed,0.64,10410,2239,2708,1,0.845
Completed,0.68,11983,1648,1378,4,0.88
Completed,0.65,13528,3737,3879,4,0.532
Completed,0.69,13182,2774,872,9,0.553
Completed,0.79,2129,2475,147,2,0.919
Completed,0.67,12287,1970,2997,3,0.586
Completed,0.66,11809,3513,3607,1,0.203
Completed,0.67,12746,2434,990,8,0.598
Completed,0.65,12527,331,1287,5,0.191
Completed,0.68,4613,3047,1422,1,0.256
Completed,0.66,7734,197,864,1,0.771
Completed,0.7,10175,771,518,6,0.302
Completed,0.65,10860,3128,4553,1,0.552
Completed,0.69,10998,2635,727,5,0.704
Completed,0.72,10700,3352,379,10,0.238
Completed,0.67,12295,1467,2052,3,0.893
Completed,0.66,8746,3805,4093,1,0.926
Completed,0.68,11807,3905,1877,4,0.583
Completed,0.48,13781,31,4187,9,0.454
Completed,0.42,14329,2002,1863,8,0.422
Completed,0.62,12813,2326,3924,2,0.159
Completed,0.68,7164,4631,663,2,0.623
Completed,0.7,12880,4076,543,9,0.52
Completed,0.58,10921,118,3164,2,0.961
Completed,0.66,12829,2814,3850,3,0.448
Completed,0.68,11116,3361,1969,2,0.744
Completed,0.66,13539,457,1064,8,0.698
Completed,0.73,4452,2300,292,7,0.822
Completed,0.72,4795,2808,498,1,0.998
Completed,0.64,4254,63,321,4,0.555
Completed,0.79,3246,4871,156,8,0.638
Completed,0.73,8626,3759,464,7,0.091
Completed,0.68,8706,1688,2253,6,0.578
Completed,0.74,4497,4317,272,2,0.377
Completed,0.68,10972,4084,2505,1,0.327
Completed,0.66,11342,1293,1667,4,0.684
Completed,0.68,13256,3039,1239,9,0.762
Completed,0.73,9243,1089,431,8,0.871
Completed,0.83,8399,1983,52,9,0.253
Completed,0.66,10923,4863,3047,1,0.461
Completed,0.59,10477,2168,4862,1,0.941
Completed,0.67,9961,1620,1743,2,0.239
Completed,0.66,11985,2616,2363,2,0.597
Completed,0.65,10922,1319,4039,6,0.475
Completed,0.67,13842,3186,3532,4,0.632
Completed,0.62,12809,177,2226,4,0.91
Completed,0.78,1618,837,241,5,0.657
Completed,0.82,2754,3247,104,2,0.849
Completed,0.78,2921,3574,181,4,0.295
Completed,0.59,10639,2106,1435,3,0.536
Completed,0.69,11574,2721,999,6,0.318
Completed,0.6,11741,238,3759,1,0.568
Completed,0.72,9959,1803,368,8,0.955
Completed,0.73,6233,2547,301,10,0.105
Completed,0.74,6847,4786,349,3,0.275
Completed,0.68,10846,1933,2290,2,0.761
Completed,0.66,11704,4651,2426,3,0.699
Completed,0.67,11958,3421,1115,5,0.571
Completed,0.66,13912,1669,910,9,0.747
Completed,0.69,13897,3817,1455,8,0.234
Completed,0.66,13244,3080,4126,8,0.593
Completed,0.67,12702,2750,1343,4,0.825
Completed,0.68,13258,4389,1090,10,0.48
Completed,0.68,5935,3486,690,9,0.896
Completed,0.73,5114,3107,411,4,0.429
Completed,0.79,2759,2873,169,4,0.257
Completed,0.66,11439,1110,2375,2,0.988
Completed,0.67,12342,4788,1049,5,0.679
Completed,0.67,6702,1938,1588,4,0.162
Completed,0.67,13339,300,669,9,0.503
Completed,0.65,11741,1365,3075,1,0.064
Completed,0.79,3805,1655,213,7,0.331
Completed,0.65,12610,590,3549,3,0.766
Completed,0.66,12260,3530,2567,2,0.019
Completed,0.68,9942,2379,1186,2,0.859
Completed,0.66,11847,1003,2576,8,0.3
Completed,0.68,13428,3519,2198,4,0.55
Completed,0.66,14333,425,1558,7,0.46
Completed,0.54,9537,95,4224,3,0.192
Completed,0.68,12501,2573,844,7,0.942
Completed,0.69,11051,805,586,9,0.195
Completed,0.66,10795,1948,3177,1,0.63
Completed,0.68,13656,4470,1598,6,0.379
Completed,0.63,12203,678,4523,2,0.502
Completed,0.64,11009,1540,2910,6,0.165
Completed,0.82,5924,1869,68,1,0.428
Completed,0.68,12263,2857,1549,3,0.241
Completed,0.79,3426,4127,204,5,0.112
Completed,0.65,13821,2765,2875,5,0.691
Completed,0.66,12168,1258,4358,2,0.875
Completed,0.69,5807,3888,869,7,0.127
Completed,0.67,13596,4188,3671,3,0.394
Completed,0.68,13315,1583,1419,8,0.643
Completed,0.63,11741,538,4840,4,0.204
Completed,0.81,2581,3066,91,10,0.954
Completed,0.8,1573,1023,150,4,0.276
Completed,0.68,10002,4878,1476,2,0.088
Completed,0.68,10978,4905,2767,8,0.922
Completed,0.65,12484,2958,4977,1,0.273
Completed,0.69,12745,1483,732,8,0.319
Completed,0.64,8848,2183,928,2,0.572
Completed,0.67,13018,3171,1939,5,0.758
Completed,0.68,8428,2592,3426,1,0.981
Completed,0.65,12457,1431,4441,3,0.67
Completed,0.69,12377,2926,1111,6,0.749
Completed,0.69,14084,1152,1490,8,0.56
Completed,0.65,12412,2292,1300,4,0.405
Completed,0.64,11634,1248,4959,6,0.965
Completed,0.64,12211,3092,3801,5,0.057
Completed,0.68,13482,491,977,9,0.805
Completed,0.66,11961,1634,2787,3,0.37
Completed,0.64,11042,3861,4576,2,0.852
Completed,0.65,13992,3272,4119,3,0.727
Completed,0.69,13022,627,659,8,0.478
Completed,0.67,13733,1897,1965,6,0.357
Completed,0.67,13836,3379,795,9,0.046
Completed,0.7,6816,263,467,3,0.948
Completed,0.69,12173,1691,1235,5,0.152
Completed,0.66,10846,3035,2247,2,0.461
Completed,0.64,11001,2390,2863,2,0.472
Completed,0.69,14162,4946,1914,7,0.721
Completed,0.64,13786,967,3559,2,0.247
Completed,0.69,12494,3557,1355,7,0.994
Completed,0.65,12768,461,2385,3,0.032
Completed,0.68,9386,4266,1059,2,0.341
Completed,0.77,5397,4528,236,9,0.303
Completed,0.65,12792,4616,4815,3,0.984
Completed,0.65,10872,660,3639,5,0.675
Completed,0.7,13142,3259,1430,9,0.425
Completed,0.68,12240,3959,1141,4,0.77
Completed,0.68,11956,1810,1850,4,0.258
Completed,0.69,8821,4759,822,1,0.443
Completed,0.64,13608,4819,3038,3,0.036
Completed,0.65,7702,1160,4213,1,0.351
Completed,0.69,5509,3676,720,7,0.6
Completed,0.68,10756,580,539,5,0.378
Completed,0.67,11030,4069,1713,2,0.189
Completed,0.69,11343,1373,1002,2,0.706
Completed,0.67,13683,2728,2491,4,0.89
Completed,0.67,13458,4561,1405,5,0.517
Completed,0.68,11937,1984,1543,2,0.959
Completed,0.83,5129,3291,55,3,0.646
Completed,0.66,13973,480,3322,3,0.097
Completed,0.67,10568,1081,1766,3,0.414
Completed,0.69,12759,3489,2172,3,0.314
Completed,0.67,13351,2899,3185,4,0.412
Completed,0.67,14353,1425,2357,6,0.488
Completed,0.7,8363,893,1087,3,0.621
Completed,0.54,10549,2016,2673,7,0.062
Completed,0.7,8782,3152,1222,2,0.932
Completed,0.76,528,16,36,8,0.093
Completed,0.64,9064,4303,4267,1,0.016
Completed,0.68,12796,1781,803,6,0.763
Completed,0.65,12997,345,2936,4,0.325
Completed,0.64,12874,2256,3415,3,0.201
Completed,0.67,14168,4767,1831,8,0.949
Completed,0.66,6387,2311,612,1,0.294
Completed,0.69,10814,3667,1630,4,0.11
Completed,0.66,12995,3072,3112,3,0.137
Completed,0.66,14280,1576,4130,4,0.446
Completed,0.69,13863,4215,626,10,0.697
Completed,0.79,2462,2738,173,7,0.4
Completed,0.66,12138,3212,2796,4,0.589
Completed,0.69,12458,4668,944,8,0.025
Completed,0.68,7919,1917,1120,9,0.468
Completed,0.67,10948,794,2618,1,0.903
Completed,0.64,12710,282,1449,5,0.868
Completed,0.8,3246,3820,120,3,0.557
Completed,0.68,11505,1671,1933,2,0.041
Completed,0.7,11395,2977,914,5,0.354
Completed,0.66,12673,4992,3278,2,0.261
Completed,0.65,11992,2364,1654,7,0.511
Completed,0.67,7206,401,778,1,0.17
Completed,0.65,10947,3429,3964,1,0.104
Completed,0.68,13301,800,1124,7,0.851
Completed,0.66,12987,1923,2634,3,0.291
Completed,0.67,12261,4659,2809,2,0.233
Completed,0.68,14276,3204,950,10,0.671
Completed,0.67,5381,109,310,2,0.323
Completed,0.68,12990,3916,1327,4,0.011
Completed,0.66,9929,2884,2095,1,0.837
Completed,0.68,10033,1185,618,3,0.901
Completed,0.7,10174,2247,339,9,0.056
Completed,0.67,9015,1124,3399,1,0.619
Completed,0.67,14237,3729,1825,6,0.371
Completed,0.68,12439,615,1917,4,0.654
Completed,0.67,13848,4114,901,3,0.965
Completed,0.68,11848,1340,1465,2,0.451
Completed,0.66,13519,748,2236,3,0.078
Completed,0.68,12751,4603,1218,4,0.263
Completed,0.56,12138,2017,1081,1,0.199
Completed,0.63,14014,1284,4911,5,0.047
Completed,0.79,5607,3884,157,10,0.795
Completed,0.66,10477,516,4136,2,0.874
Completed,0.69,8436,3071,641,7,0.125
Completed,0.69,10671,1046,701,2,0.677
Completed,0.68,13059,4852,2186,5,0.99
Completed,0.65,13187,1078,4491,7,0.341
Completed,0.67,10152,1785,2942,1,0.994
Completed,0.68,14026,4301,1992,7,0.245
Completed,0.81,12658,1451,22,6,0.727
Completed,0.66,14234,2653,1507,9,0.916
Completed,0.82,8188,4425,41,1,0.035
Completed,0.76,1769,2157,217,5,0.474
Completed,0.67,12161,3195,1391,3,0.163
Completed,0.7,11657,2892,559,8,0.329
Completed,0.67,12906,1156,2036,6,0.393
Completed,0.65,10630,3117,4510,2,0.897
Completed,0.8,2096,660,113,10,0.569
Completed,0.56,14046,2096,3645,2,0.005
Completed,0.68,12039,1891,1268,8,0.689
Completed,0.68,13728,3023,1709,5,0.616
Completed,0.64,13284,3563,4900,2,0.765
Completed,0.79,3193,958,190,8,0.015
Completed,0.66,13144,4947,4346,3,0.523
Completed,0.69,12433,2387,881,8,0.272
Completed,0.66,13425,951,2857,5,0.832
Completed,0.65,10069,436,1844,1,0.922
Completed,0.66,12353,1518,2319,3,0.22
Completed,0.65,13940,3371,2953,4,0.215
Completed,0.66,12157,1903,4280,2,0.399
Completed,0.68,13762,4494,791,6,0.649
Completed,0.69,6300,3974,590,1,0.184
Completed,0.68,10932,1826,2398,1,0.665
Completed,0.69,12351,2824,1074,4,0.979
Completed,0.65,13865,2188,1496,6,0.136
Completed,0.66,8490,557,1248,3,0.543
Completed,0.67,12512,4094,2263,5,0.858
Completed,0.68,9466,2705,1779,2,0.062
Completed,0.69,13664,729,932,5,0.248
Completed,0.67,13172,1959,2082,4,0.12
Completed,0.68,8164,3314,756,1,0.308
Completed,0.65,13517,1303,3256,3,0.155
Completed,0.69,13885,3865,1676,8,0.902
Completed,0.69,12145,1638,961,7,0.391
Completed,0.68,7907,4910,980,2,0.816
Completed,0.66,12604,368,2267,6,0.262
Completed,0.66,12153,1726,3972,3,0.821
Completed,0.67,14197,4360,1098,8,0.071
Completed,0.68,14315,4405,1872,4,0.142
Completed,0.63,5255,2138,1696,2,0.336
Completed,0.7,7734,3135,527,4,0.021
Completed,0.64,11086,2627,4197,1,0.235
Completed,0.65,13551,4329,4962,3,0.906
Completed,0.63,11383,322,3482,1,0.722
Completed,0.7,13574,2952,1276,7,0.471
Completed,0.69,12442,1097,1054,9,0.282
Completed,0.67,9458,2336,1157,4,0.629
Completed,0.68,10853,3641,2325,2,0.937
Completed,0.68,9238,547,1412,10,0.038
Completed,0.66,8931,1592,4827,2,0.601
Completed,0.81,5571,4182,87,7,0.351
Completed,0.67,12341,679,1720,7,0.739
Completed,0.68,10140,1949,570,7,0.61
Completed,0.65,13211,3402,1585,8,0.799
Completed,0.64,11353,308,2156,2,0.21
Completed,0.69,11213,3796,673,5,0.396
Completed,0.68,10181,4978,2195,1,0.13
Completed,0.68,14055,4967,2573,5,0.661
Completed,0.66,11619,2366,2204,10,0.411
Completed,0.69,13253,3532,1190,8,0.227
Completed,0.68,6981,1538,849,1,0.082
Completed,0.68,10086,2566,2018,3,0.268
Completed,0.67,10251,818,1594,2,0.519
Completed,0.7,10087,4458,580,5,0.828
Completed,0.63,4648,2048,405,1,0.647
Completed,0.67,10586,3227,1730,3,0.956
Completed,0.65,10967,2575,2904,2,0.796
Completed,0.69,13633,3932,860,10,0.362
Completed,0.83,3541,2865,62,8,0.533
Completed,0.67,14330,3652,2596,5,0.47
Completed,0.69,12837,4697,1167,7,0.908
Completed,0.65,13465,2232,2369,5,0.317
Completed,0.68,12355,3747,1045,3,0.002
Completed,0.8,2684,591,200,9,0.973
Completed,0.67,10558,1656,3543,1,0.414
Completed,0.7,4815,1361,682,6,0.178
Completed,0.6,8802,2148,3227,4,0.865
Completed,0.65,13674,4397,3364,2,0.673
Completed,0.65,13577,879,4377,4,0.986
Completed,0.81,3900,1601,98,3,0.07
Completed,0.68,14260,1030,1481,7,0.951
