Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,5000,2639,100,1,0.001
Failed,,,5000,1991,100,545,0.999
Failed,,,1938,3618,1,1,0.999
Failed,,,3695,1910,13,726,0.934
Failed,,,5000,1325,35,509,0.999
Failed,,,2421,3931,100,1000,0.667
Failed,,,480,2343,92,1,0.001
Failed,,,2219,4027,100,15,0.999
Failed,,,3349,4704,100,536,0.999
Failed,,,3563,1260,88,932,0.001
Failed,,,1,2177,81,1000,0.001
Failed,,,1,962,100,706,0.001
Failed,,,166,2323,1,163,0.999
Failed,,,1,2480,3,1,0.001
Failed,,,5000,4639,100,1000,0.999
Failed,,,5000,2689,1,291,0.001
Failed,,,5000,1780,9,466,0.001
Failed,,,1,789,53,306,0.001
Failed,,,5000,1771,100,14,0.446
Failed,,,1,2540,1,474,0.001
Failed,,,1,871,74,504,0.999
Failed,,,1013,3976,85,1000,0.001
Failed,,,5000,812,80,707,0.001
Failed,,,5000,726,57,401,0.001
Failed,,,4840,4349,14,1,0.793
Failed,,,5000,2638,1,7,0.001
Failed,,,5000,3126,99,986,0.999
Failed,,,4034,4632,100,991,0.577
Failed,,,2965,2651,100,978,0.999
Failed,,,1,2986,100,937,0.001
Failed,,,5000,2558,66,1000,0.001
Failed,,,2559,1097,100,882,0.999
Failed,,,5000,3446,96,102,0.999
Failed,,,1,4472,1,1000,0.001
Failed,,,5000,4909,1,106,0.001
Failed,,,1789,1530,32,1000,0.001
Failed,,,4798,3658,1,16,0.999
Failed,,,1,4965,100,139,0.999
Failed,,,1,1018,82,843,0.999
Failed,,,5000,3407,1,744,0.936
Failed,,,1,2269,92,969,0.001
Failed,,,5000,3205,100,373,0.999
Failed,,,5000,2873,99,771,0.125
Failed,,,1,2687,15,789,0.999
Failed,,,1,3078,100,365,0.37
Failed,,,5000,5000,17,1000,0.999
Failed,,,1,4627,100,905,0.999
Failed,,,1,4774,29,1,0.001
Failed,,,3933,2853,100,701,0.999
Failed,,,525,2406,100,1000,0.999
Failed,,,1612,3086,91,1000,0.001
Failed,,,5000,3154,67,961,0.999
Failed,,,5000,1708,14,865,0.999
Failed,,,5000,1094,94,587,0.344
Failed,,,2292,3085,96,1000,0.001
Failed,,,430,3557,100,474,0.102
Failed,,,4730,4481,1,1000,0.001
Failed,,,833,3020,1,842,0.865
Failed,,,1,1991,79,614,0.12
Failed,,,1,2653,100,31,0.001
Failed,,,113,874,100,467,0.443
Failed,,,1,4081,69,1000,0.106
Failed,,,5000,1032,56,759,0.001
Failed,,,3803,4145,100,51,0.496
Failed,,,1160,4582,100,971,0.127
Failed,,,78,810,100,665,0.001
Failed,,,5000,2472,73,631,0.999
Failed,,,5000,4022,1,630,0.999
Failed,,,2068,3886,100,87,0.144
Failed,,,5000,3788,69,260,0.001
Failed,,,1239,803,91,716,0.958
Failed,,,5000,2695,1,593,0.001
Failed,,,1,1671,1,906,0.999
Failed,,,5000,2756,46,495,0.999
Failed,,,3410,4025,80,972,0.999
Failed,,,5000,725,1,507,0.001
Failed,,,1,4114,15,147,0.588
Failed,,,5000,3464,100,55,0.999
Failed,,,2173,1956,91,484,0.773
Failed,,,4429,3014,98,926,0.696
Failed,,,5000,2333,100,718,0.001
Failed,,,1,4206,83,450,0.001
Failed,,,1452,4720,62,829,0.999
Failed,,,1,4453,2,639,0.001
Failed,,,1,1833,100,812,0.999
Failed,,,2414,4189,49,171,0.422
Failed,,,807,4642,100,1000,0.001
Failed,,,3349,3102,28,704,0.156
Failed,,,4630,4419,71,50,0.382
Failed,,,4812,948,39,305,0.723
Failed,,,2579,3876,99,843,0.826
Failed,,,2201,4809,35,204,0.08
Failed,,,59,16,79,682,0.495
Failed,,,3798,3645,7,434,0.585
Failed,,,311,3483,43,31,0.763
Failed,,,1437,4036,62,748,0.523
Failed,,,1170,1100,1,146,0.934
Failed,,,2964,1861,76,360,0.14
Failed,,,3899,1321,31,46,0.001
Failed,,,2955,1904,100,148,0.999
Failed,,,2149,4329,82,70,0.348
Failed,,,4312,2836,60,293,0.847
Failed,,,624,3334,58,418,0.406
Failed,,,2142,1804,6,940,0.053
Failed,,,1750,4185,38,822,0.132
Failed,,,4597,3027,22,537,0.627
Failed,,,2546,3724,50,322,0.071
Failed,,,1889,4664,66,349,0.688
Failed,,,4111,3174,95,9,0.195
Failed,,,4211,1787,69,402,0.642
Failed,,,452,4398,48,656,0.309
Failed,,,1979,465,91,241,0.147
Failed,,,4448,4091,87,267,0.534
Failed,,,2710,4790,58,623,0.231
Failed,,,3722,2484,98,741,0.087
Failed,,,1,4069,95,1000,0.001
Failed,,,4002,2692,41,157,0.486
Failed,,,3786,1159,81,556,0.756
Failed,,,2247,2342,61,834,0.251
Failed,,,2651,1399,25,215,0.53
Failed,,,4805,3463,63,675,0.926
Failed,,,2486,518,67,644,0.016
Failed,,,3748,3129,39,398,0.908
Failed,,,2734,826,5,278,0.767
Failed,,,1475,2821,77,525,0.184
Failed,,,3214,2239,72,143,0.19
Failed,,,4197,2588,16,746,0.356
Failed,,,4124,2451,42,854,0.809
Failed,,,1912,973,25,506,0.308
Failed,,,773,1509,81,227,0.035
Failed,,,1189,3117,11,472,0.813
Failed,,,138,4879,53,793,0.919
Failed,,,3527,2080,29,288,0.578
Failed,,,3883,3059,84,828,0.993
Failed,,,3982,899,49,479,0.265
Failed,,,221,2898,71,731,0.659
Failed,,,3624,4236,89,876,0.162
Failed,,,1240,591,86,602,0.516
Failed,,,706,4004,6,847,0.363
Failed,,,1632,3811,82,150,0.639
Failed,,,27,4966,26,738,0.827
Failed,,,4253,981,100,43,0.138
Failed,,,3737,3226,15,967,0.483
Failed,,,575,1677,89,921,0.099
Failed,,,443,2817,12,149,0.512
Failed,,,4029,1801,63,577,0.453
Failed,,,3295,3968,49,431,0.17
Failed,,,2463,3857,20,488,0.989
Failed,,,2977,3710,28,249,0.713
Failed,,,2312,3125,71,673,0.412
Failed,,,3413,1641,4,103,0.6
Failed,,,2633,4758,32,974,0.083
Failed,,,3325,911,81,999,0.264
Failed,,,1602,3854,75,361,0.155
Failed,,,4611,3094,86,93,0.559
Failed,,,3126,1498,93,597,0.197
Failed,,,3885,4288,22,396,0.417
Failed,,,2250,1354,68,878,0.346
Failed,,,3069,2018,38,451,0.529
Failed,,,32,2779,28,758,0.297
Failed,,,1702,1742,54,31,0.138
Failed,,,4761,1649,88,294,0.464
Failed,,,3228,2559,19,552,0.12
Failed,,,2513,4384,15,420,0.722
Failed,,,2869,2089,99,125,0.104
Failed,,,1946,1447,53,608,0.563
Failed,,,383,3,97,432,0.618
Failed,,,2685,4951,99,87,0.904
Failed,,,3998,1946,11,893,0.542
Failed,,,2382,3236,70,497,0.019
Failed,,,2397,1775,8,751,0.323
Failed,,,3233,1121,100,293,0.277
Failed,,,38,4269,75,940,0.53
Failed,,,3593,2767,75,736,0.86
Failed,,,1575,1145,71,760,0.668
Failed,,,2995,3477,38,284,0.193
Failed,,,2692,2473,68,240,0.588
Failed,,,1253,4806,48,718,0.054
Failed,,,4657,727,30,997,0.842
Failed,,,1140,1509,52,138,0.829
Failed,,,677,4732,9,563,0.952
Failed,,,1740,716,1,476,0.324
Failed,,,2828,3360,84,951,0.785
Failed,,,2506,1887,10,524,0.431
Failed,,,1437,4533,81,51,0.958
Failed,,,257,258,37,876,0.583
Failed,,,3846,2611,55,418,0.058
Failed,,,4531,1156,100,267,0.188
Failed,,,903,3510,17,808,0.703
Failed,,,2083,1691,73,133,0.831
Failed,,,3190,4338,43,660,0.309
Failed,,,3209,1051,24,960,0.646
Failed,,,2140,3699,92,498,0.245
Failed,,,805,1727,48,577,0.369
Failed,,,4393,4082,69,100,0.771
Failed,,,1891,3453,37,583,0.153
