Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,4482,1906,32,901,0.608
Failed,,,2998,3416,39,489,0.438
Failed,,,4224,558,73,711,0.082
Failed,,,2155,3780,21,47,0.534
Failed,,,1836,2067,15,725,0.779
Failed,,,2595,4721,7,998,0.096
Failed,,,3859,1328,80,218,0.486
Failed,,,2264,3105,26,538,0.878
Failed,,,4398,662,57,250,0.149
Failed,,,1706,4940,3,508,0.724
Failed,,,151,4476,66,466,0.323
Failed,,,1743,4767,56,696,0.006
Failed,,,1454,2465,12,823,0.66
Failed,,,1602,3071,19,21,0.127
Failed,,,3895,1922,13,418,0.357
Failed,,,2209,3738,67,832,0.777
Failed,,,2192,1119,47,488,0.266
Failed,,,344,3311,17,398,0.75
Failed,,,1241,1843,31,334,0.903
Failed,,,1128,4417,6,3,0.025
Failed,,,4124,4102,19,954,0.589
Failed,,,4946,726,30,770,0.693
Failed,,,1471,4847,76,481,0.179
Failed,,,1430,82,26,964,0.449
Failed,,,4012,836,42,514,0.366
Failed,,,2406,4841,88,240,0.757
Failed,,,2394,3369,34,267,0.242
Failed,,,568,2505,29,36,0.372
Failed,,,2234,3853,97,941,0.114
Failed,,,4254,4796,59,981,0.78
Failed,,,385,4528,20,870,0.687
Failed,,,2061,2910,37,66,0.73
Failed,,,712,3334,23,794,0.755
Failed,,,2572,1619,52,7,0.344
Failed,,,3994,33,67,151,0.892
Failed,,,3551,421,64,814,0.248
Failed,,,4364,4634,39,220,0.405
Failed,,,2497,1843,87,619,0.812
Failed,,,1585,300,13,993,0.484
Failed,,,1724,3493,81,213,0.629
Failed,,,4451,5,40,386,0.009
Failed,,,3472,1097,18,786,0.807
Failed,,,4661,4314,84,807,0.621
Failed,,,3485,4468,79,704,0.755
Failed,,,3267,3629,87,449,0.154
Failed,,,4573,3398,7,199,0.058
Failed,,,1603,2799,58,396,0.081
Failed,,,3138,1425,72,89,0.849
Failed,,,3950,3444,46,996,0.506
Failed,,,4760,4604,92,469,0.02
Failed,,,1624,1736,35,819,0.7
Failed,,,1768,4480,73,103,0.413
Failed,,,4899,1685,3,736,0.867
Failed,,,162,2843,14,812,0.076
