Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,4383,1889,1,474,0.539
Failed,,,8,3646,70,83,0.001
Failed,,,2437,4805,72,483,0.384
Failed,,,3407,963,1,206,0.999
Failed,,,3001,4792,100,661,0.936
Failed,,,2313,1592,61,686,0.028
Failed,,,1,4115,48,81,0.068
Failed,,,1818,4286,100,945,0.999
Failed,,,860,1987,55,144,0.999
Failed,,,1364,5000,1,438,0.999
Failed,,,1,1808,76,837,0.739
Failed,,,2122,1196,100,655,0.116
Failed,,,4764,3998,22,374,0.281
Failed,,,1,4187,100,85,0.001
Failed,,,3581,2656,36,198,0.082
Failed,,,5000,775,1,273,0.999
Failed,,,193,3381,32,228,0.003
Failed,,,3967,2726,1,581,0.524
Failed,,,1,1,100,80,0.072
Failed,,,4725,1266,100,884,0.866
Failed,,,3579,4309,100,853,0.994
Failed,,,707,4437,100,163,0.999
Failed,,,80,5000,1,942,0.067
Failed,,,4178,3523,25,969,0.282
Failed,,,3445,1770,100,855,0.943
Failed,,,1,4714,1,646,0.001
Failed,,,1,2880,100,860,0.823
Failed,,,1,3230,100,83,0.001
Failed,,,5000,1047,98,541,0.384
Failed,,,1121,4916,22,404,0.562
Failed,,,1097,1708,100,349,0.667
Failed,,,4268,803,69,831,0.998
Failed,,,5000,710,1,342,0.694
Failed,,,3265,2050,1,961,0.193
Failed,,,84,1545,31,821,0.968
Failed,,,4527,1140,37,408,0.26
Failed,,,2702,3487,100,531,0.643
Failed,,,4097,3300,74,600,0.001
Failed,,,358,1905,91,83,0.001
Failed,,,1,1,81,81,0.139
Failed,,,5000,2074,69,942,0.879
Failed,,,4482,864,73,290,0.386
Failed,,,1366,847,1,519,0.001
Failed,,,1218,997,100,341,0.119
Failed,,,555,2490,1,485,0.593
Failed,,,745,3349,1,236,0.001
Failed,,,5000,1779,1,575,0.001
Failed,,,2823,3402,100,861,0.903
Failed,,,5000,4097,100,439,0.001
Failed,,,1672,2082,1,41,0.747
Failed,,,1514,2826,49,535,0.592
Failed,,,4817,2605,72,348,0.001
Failed,,,2443,1830,79,183,0.106
Failed,,,326,1480,100,338,0.406
Failed,,,1,959,52,771,0.808
Failed,,,2948,737,53,560,0.722
Failed,,,4360,5000,51,490,0.563
Failed,,,4971,3778,76,275,0.568
Failed,,,3558,946,1,683,0.001
Failed,,,1,4516,1,443,0.999
Failed,,,2353,1941,67,36,0.734
Failed,,,4011,1281,100,983,0.235
Failed,,,4187,918,1,310,0.924
Failed,,,3348,3304,1,479,0.583
Failed,,,1,1205,100,737,0.999
Failed,,,1628,1,83,80,0.119
Failed,,,3993,2186,41,277,0.298
Failed,,,3283,1923,78,155,0.35
Failed,,,1921,4649,92,186,0.387
Failed,,,824,1217,76,145,0.345
Failed,,,3066,3392,94,377,0.535
Failed,,,2738,4521,46,250,0.394
Failed,,,318,2234,75,982,0.26
Failed,,,425,2217,82,112,0.461
Failed,,,3994,1922,36,1,0.275
Failed,,,1499,4056,32,891,0.068
Failed,,,357,1424,23,795,0.978
Failed,,,1,4322,2,749,0.369
Failed,,,4903,2697,62,641,0.228
Failed,,,854,4496,41,11,0.206
Failed,,,3637,4904,23,678,0.639
Failed,,,1631,1877,62,315,0.825
Failed,,,5000,1663,26,369,0.389
Failed,,,439,1488,84,107,0.166
Failed,,,141,295,87,309,0.434
Failed,,,1786,2561,13,591,0.655
Failed,,,3829,1916,96,438,0.159
Failed,,,4807,3516,61,303,0.101
Failed,,,674,782,43,513,0.191
Failed,,,1884,3712,100,36,0.386
Failed,,,2653,3605,1,536,0.001
Failed,,,1,2018,82,119,0.001
Failed,,,4650,2471,49,603,0.529
Failed,,,1,3781,47,572,0.001
Failed,,,990,3782,56,677,0.266
Failed,,,2391,791,48,279,0.999
Failed,,,5000,1826,16,557,0.379
Failed,,,1,29,86,129,0.085
Failed,,,3558,4774,83,118,0.196
Failed,,,807,420,3,902,0.739
Failed,,,2097,2745,59,426,0.934
Failed,,,4770,2141,26,579,0.375
Failed,,,3871,3681,19,714,0.317
Failed,,,297,2284,66,665,0.146
Failed,,,1509,4631,21,126,0.466
Failed,,,4109,235,89,848,0.968
Failed,,,1197,1034,86,126,0.524
Failed,,,1071,2807,71,166,0.455
Failed,,,299,4952,75,88,0.716
Failed,,,2085,4400,70,292,0.161
Failed,,,838,4053,85,149,0.12
Failed,,,1593,1162,32,546,0.999
Failed,,,4708,4977,49,788,0.497
Failed,,,419,4251,65,1000,0.357
Failed,,,2336,2085,50,347,0.14
Failed,,,1046,4752,93,824,0.445
Failed,,,3338,359,22,165,0.993
Failed,,,983,1948,74,610,0.7
Failed,,,2194,4889,19,70,0.88
Failed,,,4673,534,98,912,0.43
Failed,,,4320,3959,59,796,0.372
Failed,,,1296,855,26,201,0.813
Failed,,,4981,1858,17,945,0.928
Failed,,,211,1142,18,228,0.618
Failed,,,1424,3195,75,690,0.797
Failed,,,4213,1301,42,284,0.262
Failed,,,2122,556,78,149,0.18
Failed,,,909,2609,34,687,0.499
Failed,,,3475,1965,52,341,0.939
Failed,,,4559,959,25,278,0.241
Failed,,,2134,3258,32,763,0.734
Failed,,,4734,1404,53,234,0.201
Failed,,,1859,2329,25,882,0.551
Failed,,,571,4665,68,420,0.871
Failed,,,2546,310,48,577,0.314
Failed,,,2933,3745,72,989,0.973
Failed,,,182,1849,39,23,0.462
Failed,,,1472,3894,94,562,0.142
Failed,,,4381,4336,56,979,0.785
Failed,,,2484,1190,36,11,0.275
Failed,,,1196,3225,79,535,0.08
Failed,,,3171,1329,12,439,0.605
Failed,,,3203,4976,54,589,0.044
Failed,,,1184,618,37,432,0.522
Failed,,,527,2466,100,135,0.117
Failed,,,1737,4527,44,659,0.312
Failed,,,700,3073,98,399,0.63
Failed,,,3687,2429,18,614,0.181
Failed,,,247,317,91,585,0.801
Failed,,,1538,2692,49,124,0.622
Failed,,,4098,2048,68,904,0.065
Failed,,,4450,3617,76,773,0.131
Failed,,,2435,1724,9,239,0.68
Failed,,,1226,3785,54,716,0.984
Failed,,,7,3482,83,725,0.509
Failed,,,3111,1629,3,256,0.052
Failed,,,2721,4438,79,188,0.641
Failed,,,1685,3044,57,365,0.474
Failed,,,3933,2399,36,648,0.96
Failed,,,4909,3345,22,529,0.777
Failed,,,1956,1449,88,499,0.283
Failed,,,921,1235,77,286,0.929
Failed,,,688,2440,62,982,0.91
Failed,,,1899,4475,6,442,0.731
Failed,,,336,3381,95,851,0.844
Failed,,,2779,1486,16,131,0.342
Failed,,,448,1209,64,566,0.105
Failed,,,897,19,49,58,0.874
Failed,,,625,4083,8,173,0.932
Failed,,,2512,940,78,832,0.381
Failed,,,1159,2800,5,155,0.278
Failed,,,3208,2155,85,874,0.782
Failed,,,3244,3442,2,28,0.695
Failed,,,1123,1587,84,993,0.245
Failed,,,2410,3922,28,454,0.425
Failed,,,3485,6,80,409,0.098
Failed,,,4974,4486,75,91,0.485
Failed,,,1910,92,43,937,0.95
