Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,4985,4701,3468,0.075
Completed,0.91,0,3031,70,1289,0.564
Completed,0.91,0,1428,2606,4406,0.485
Completed,0.91,0,1333,237,1014,0.812
Completed,0.91,0,2930,2714,2883,0.237
Completed,0.91,0,4728,2380,1952,0.745
Completed,0.91,0,628,4985,3821,0.327
Completed,0.91,0,149,1403,3710,0.414
Completed,0.91,0,4174,3773,577,0.52
Completed,0.91,0,3472,978,4648,0.027
Completed,0.91,0,1945,3534,1515,0.914
Completed,0.91,0,2469,1899,4689,0.617
Completed,0.91,0,3368,4529,1572,0.448
Completed,0.91,1,3917,410,3127,0.941
Completed,0.91,0,514,2854,10,0.117
Completed,0.91,0,1210,838,2463,0.155
Completed,0.91,0,4683,3361,4344,0.792
Completed,0.91,0,2731,1859,901,0.284
Completed,0.91,0,1756,4254,2782,0.64
Completed,0.91,1,1730,120,2384,0.315
Completed,0.91,0,2708,2519,4268,0.736
Completed,0.91,0,4663,2264,821,0.249
Completed,0.91,0,1182,4789,2705,0.825
Completed,0.91,0,532,1520,4768,0.911
Completed,0.91,0,3927,3968,1649,0.022
Completed,0.91,1,3382,1095,3205,0.524
Completed,0.91,0,2484,3729,86,0.416
Completed,0.91,0,1934,2094,3632,0.119
Completed,0.91,0,3454,4646,501,0.946
Completed,0.91,0,4158,605,4569,0.443
Completed,0.91,0,136,2971,1438,0.614
Completed,0.91,0,651,643,1094,0.653
Completed,0.91,0,4754,3244,2961,0.295
Completed,0.91,0,2958,1664,2031,0.782
Completed,0.91,0,1353,4137,3897,0.143
Completed,0.91,0,1415,1772,429,0.535
Completed,0.91,0,3015,4304,3548,0.391
Completed,0.91,0,4967,927,1365,0.905
Completed,0.91,0,869,3313,4485,0.044
Completed,0.91,0,231,340,3047,0.192
Completed,0.91,1,4257,2960,1164,0.866
Completed,0.91,0,3709,1966,3984,0.367
Completed,0.91,0,2185,4420,2101,0.698
Completed,0.91,0,2228,1087,4181,0.776
Completed,0.91,0,3130,3466,2315,0.164
Completed,0.91,0,3831,1297,2618,0.663
Completed,0.91,0,432,3842,752,0.27
Completed,0.91,0,970,2428,1722,0.496
Completed,0.91,0,4446,4896,4852,0.577
Completed,0.91,1,2648,187,158,0.063
Completed,0.91,0,1675,2801,3289,0.987
Completed,0.91,0,1634,2297,4619,0.707
Completed,0.91,0,2533,4756,1486,0.351
Completed,0.91,0,4488,7,3681,0.851
Completed,0.91,0,1086,2632,548,0.214
Completed,0.91,0,317,1216,1923,0.05
Completed,0.91,0,3790,3608,3792,0.874
Completed,0.91,0,3244,1476,984,0.389
Completed,0.91,0,2269,4012,2854,0.558
Completed,0.91,0,2070,483,930,0.98
Completed,0.91,0,3668,3093,2811,0.093
Completed,0.91,0,4372,2139,2492,0.578
Completed,0.91,0,272,4601,4373,0.472
Completed,0.91,0,828,1630,3156,0.261
Completed,0.91,0,4853,4171,39,0.68
Completed,0.91,0,3057,756,4718,0.179
Completed,0.91,0,1530,3130,1601,0.754
Completed,0.91,0,1317,806,2571,0.427
Completed,0.91,0,2839,3435,702,0.506
Completed,0.91,0,4791,1817,4133,0.01
Completed,0.91,0,771,4260,2264,0.931
Completed,0.91,0,16,1933,265,0.83
Completed,0.91,0,4121,4454,3398,0.22
Completed,0.91,0,3573,453,1827,0.732
Completed,0.91,0,1970,2848,4960,0.341
Completed,0.91,0,2365,1330,1260,0.138
Completed,0.91,0,3345,3809,4376,0.81
Completed,0.91,0,4047,974,322,0.298
Completed,0.91,0,569,3579,3438,0.627
Completed,0.91,0,1146,308,4032,0.604
Completed,0.91,0,4543,2680,2151,0.462
Completed,0.91,0,2745,2384,3094,0.959
Completed,0.91,0,1850,4940,1213,0.099
Completed,0.91,0,1833,1434,2917,0.803
Completed,0.91,0,2811,4054,1038,0.129
Completed,0.91,1,4609,1186,3855,0.635
Completed,0.91,0,1128,3638,1976,0.305
Completed,0.91,0,596,54,533,0.454
Completed,0.91,0,3991,2585,3657,0.597
Completed,0.91,0,3289,2334,1471,0.106
Completed,0.91,0,2392,4719,4595,0.967
Completed,0.91,0,2027,709,1694,0.515
Completed,0.91,0,3546,3178,4820,0.434
Completed,0.91,0,4094,1593,132,0.925
Completed,0.91,0,72,4208,3258,0.001
Completed,0.91,0,705,2179,4232,0.226
Completed,0.91,0,4808,4561,2361,0.838
Completed,0.91,1,2856,515,2670,0.332
Completed,0.91,0,1251,3061,799,0.725
Completed,0.91,0,1508,426,4897,0.084
Completed,0.91,0,3108,2875,1773,0.973
Completed,0.91,0,4904,1876,3335,0.478
Completed,0.91,0,806,4511,211,0.587
Completed,0.91,0,284,1838,2278,0.673
Completed,0.91,0,4311,4238,4158,0.253
Completed,0.91,0,3607,856,717,0.763
Completed,0.91,0,2082,3384,2596,0.186
Completed,0.91,0,2330,2362,1120,0.358
Completed,0.91,0,3232,4962,2991,0.716
Completed,0.91,0,3778,258,2058,0.206
Completed,0.91,0,378,2730,3929,0.845
Completed,0.91,0,1034,1001,3580,0.883
Completed,0.91,0,4509,3552,454,0.057
Completed,0.91,0,2555,1387,4518,0.552
Completed,0.91,0,1582,3752,1392,0.381
Completed,0.91,0,1697,1151,62,0.158
Completed,0.91,0,2597,3673,3191,0.767
Completed,0.91,0,4395,1546,1625,0.278
Completed,0.91,0,993,3942,4754,0.669
Completed,0.91,0,419,2211,2758,0.569
