Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.58,32,4272,583,2926,0.313
Completed,0.58,123,1548,4413,1610,0.689
Completed,0.58,30,1820,1723,2552,0.857
Completed,0.61,144,3921,3205,1348,0.231
Completed,0.58,32,3043,818,4091,0.651
Completed,0.58,92,280,4178,445,0.275
Completed,0.58,31,858,228,2104,0.396
Completed,0.6,226,3721,4836,3362,0.521
Completed,0.61,164,4630,2389,1103,0.095
Completed,0.58,34,2356,2627,4998,0.97
Completed,0.61,231,2317,2304,1494,0.351
Completed,0.58,34,4435,2692,2732,0.723
Completed,0.58,32,3447,79,620,0.144
Completed,0.61,471,741,4849,4221,0.765
Completed,0.58,30,7,752,3231,0.902
Completed,0.6,147,2925,4263,1929,0.031
Completed,0.58,31,3882,1711,4819,0.601
Completed,0.62,132,1625,3353,958,0.479
Completed,0.58,33,1275,361,4410,0.07
Completed,0.57,110,4154,4655,751,0.941
Completed,0.58,33,2653,1946,3478,0.425
Completed,0.63,251,357,3119,2299,0.547
Completed,0.63,125,1093,1288,174,0.683
Completed,0.58,34,3172,3709,4053,0.311
Completed,0.58,32,4709,939,1780,0.82
Completed,0.63,293,1964,3989,3061,0.199
Completed,0.58,34,1922,1456,4183,0.494
Completed,0.59,101,4840,3569,343,0.619
Completed,0.57,32,3217,1161,2616,0.013
Completed,0.59,126,960,3894,1296,0.888
Completed,0.58,32,402,490,1236,0.752
Completed,0.58,30,2521,4477,4856,0.127
Completed,0.58,33,4111,2051,2129,0.74
Completed,0.58,34,1405,2906,3346,0.364
Completed,0.58,31,1680,882,2414,0.212
Completed,0.65,652,3759,4085,3677,0.837
Completed,0.62,154,2873,1816,788,0.294
Completed,0.58,30,128,3141,4687,0.67
Completed,0.58,34,688,2472,2862,0.533
Completed,0.63,217,3567,2554,1663,0.407
Completed,0.58,31,4490,301,3776,0.959
Completed,0.58,85,2194,4754,135,0.084
Completed,0.58,32,2468,16,3541,0.703
Completed,0.61,144,4607,4942,2244,0.332
Completed,0.58,32,3607,2211,4504,0.785
Completed,0.6,111,883,2756,648,0.163
Completed,0.58,32,167,1628,1804,0.043
Completed,0.64,598,3069,3427,3047,0.914
Completed,0.65,267,4032,679,305,0.467
Completed,0.64,684,1797,4347,3911,0.589
Completed,0.59,131,1444,2019,489,0.984
Completed,0.58,33,4307,3035,4363,0.112
Completed,0.58,34,2794,444,1470,0.504
Completed,0.61,181,520,4581,2746,0.382
Completed,0.58,31,1234,1032,4725,0.261
Completed,0.6,117,3334,3925,1061,0.632
Completed,0.58,32,4880,1351,3168,0.25
Completed,0.59,151,2117,3616,1984,0.871
Completed,0.59,119,2121,1363,338,0.367
Completed,0.58,39,4866,3633,4197,0.739
Completed,0.58,32,3328,1020,1300,0.128
Completed,0.61,210,1249,3908,2601,0.749
Completed,0.58,30,514,436,4851,0.886
Completed,0.6,114,2810,4579,1250,0.015
Completed,0.58,30,4310,2026,3351,0.617
Completed,0.63,254,1431,3038,2114,0.495
Completed,0.58,41,1781,672,3692,0.085
Completed,0.59,164,4038,4344,2409,0.956
Completed,0.56,34,3082,1636,4673,0.409
Completed,0.58,110,163,3429,793,0.531
Completed,0.63,348,897,2223,1678,0.667
Completed,0.58,31,3603,2773,2858,0.296
Completed,0.58,31,4592,3,121,0.836
Completed,0.59,266,2473,4925,3781,0.215
Completed,0.58,32,2200,304,2230,0.592
Completed,0.64,290,4474,4761,3546,0.466
Completed,0.62,125,3564,2470,663,0.916
Completed,0.58,33,701,2546,4499,0.04
Completed,0.58,36,124,1799,3033,0.162
Completed,0.62,177,2887,3129,1809,0.787
Completed,0.58,38,3765,899,3926,0.329
Completed,0.59,103,1664,4098,300,0.704
Completed,0.58,32,1392,2034,4367,0.872
Completed,0.59,125,4115,2894,474,0.247
Completed,0.58,32,2536,508,2741,0.635
Completed,0.61,117,397,4489,1485,0.26
Completed,0.71,1216,976,1163,1066,0.38
Completed,0.58,33,3211,3901,4710,0.506
Completed,0.58,33,4827,1453,1979,0.111
Completed,0.65,647,1925,3562,3182,0.986
Completed,0.58,34,1960,956,4541,0.687
Completed,0.6,120,4723,4001,935,0.316
Completed,0.58,34,3178,1270,3666,0.8
Completed,0.63,207,1078,3697,2424,0.179
Completed,0.59,101,363,1944,28,0.059
Completed,0.58,33,2637,3111,3882,0.93
Completed,0.58,31,4151,364,1615,0.452
Completed,0.6,180,1288,4662,2911,0.574
Completed,0.65,403,1641,1708,1363,0.968
Completed,0.63,306,3876,3346,2548,0.097
Completed,0.66,250,2912,754,431,0.52
Completed,0.59,1573,10,4271,4096,0.398
Completed,0.58,40,727,96,3377,0.277
Completed,0.58,133,3451,4861,2099,0.648
Completed,0.58,32,4451,2287,4983,0.234
Completed,0.6,134,2311,2680,1108,0.855
Completed,0.58,30,2350,2396,2718,0.478
Completed,0.62,205,4646,2629,1499,0.604
Completed,0.58,31,3724,220,4236,0.028
Completed,0.59,123,845,4834,615,0.903
Completed,0.58,37,284,806,1915,0.767
Completed,0.63,300,3029,4161,3236,0.142
Completed,0.61,211,3915,1736,973,0.724
Completed,0.58,32,1836,3222,4814,0.349
Completed,0.58,31,1562,571,756,0.197
Completed,0.58,35,2677,2127,2294,0.31
Completed,0.58,32,558,2830,3492,0.685
Completed,0.58,32,1117,1537,4057,0.548
Completed,0.6,101,3374,3489,159,0.423
Completed,0.58,31,4996,1237,3056,0.943
Completed,0.59,136,2078,3818,1795,0.068
Completed,0.58,40,2050,315,2815,0.819
Completed,0.62,138,3903,4512,1970,0.43
Completed,0.58,39,3399,1915,3826,0.675
Completed,0.59,101,1164,3082,87,0.297
Completed,0.58,31,589,1319,2364,0.434
Completed,0.78,13598,2729,3745,3725,0.561
Completed,0.7,720,4235,985,836,0.071
Completed,0.58,41,1512,4031,4638,0.948
Completed,0.62,187,1862,2335,1205,0.601
Completed,0.58,39,3963,2729,4884,0.473
Completed,0.58,31,3001,126,2157,0.893
Completed,0.58,205,239,4890,3316,0.016
Completed,0.58,30,812,706,4155,0.153
Completed,0.59,98,3674,4222,374,0.78
Completed,0.58,33,4677,1679,2646,0.351
Completed,0.61,123,2402,3317,1267,0.729
Completed,0.58,31,2285,1765,4756,0.108
Completed,0.61,130,4403,3251,1033,0.981
Completed,0.58,31,3479,855,3139,0.401
Completed,0.6,143,772,4210,2014,0.525
Completed,0.58,33,43,191,516,0.645
Completed,0.65,598,2962,4805,4332,0.271
Completed,0.62,221,3845,2348,1439,0.845
Completed,0.58,30,1589,2580,2774,0.221
Completed,0.58,33,1316,1208,1851,0.327
Completed,0.61,339,4196,3788,2997,0.7
Completed,0.61,118,2612,1488,255,0.182
Completed,0.58,30,316,3440,3959,0.805
Completed,0.58,30,1047,2156,3592,0.927
Completed,0.64,316,3126,2860,2197,0.053
Completed,0.58,31,2107,2036,2087,0.831
Completed,0.62,382,2920,3715,2920,0.18
Completed,0.63,739,2685,4266,3810,0.775
Completed,0.58,33,1090,3488,4345,0.422
Completed,0.64,425,1621,3092,2596,0.347
Completed,0.58,31,4458,29,904,0.943
Completed,0.62,393,3577,4889,4094,0.229
Completed,0.58,31,37,1982,2409,0.577
Completed,0.59,98,831,3830,344,0.658
Completed,0.58,32,3061,1780,3658,0.008
Completed,0.63,151,4055,3128,1346,0.792
Completed,0.58,30,2370,1234,4653,0.389
Completed,0.6,129,1882,4586,1636,0.091
Completed,0.58,32,4192,2304,4871,0.743
Completed,0.6,243,2612,2789,133,0.458
Completed,0.58,30,1006,352,3361,0.859
Completed,0.58,30,486,3449,3883,0.903
Completed,0.58,33,3401,931,2112,0.305
Completed,0.62,258,4946,4153,2885,0.52
Completed,0.66,416,1484,1479,1122,0.173
Completed,0.58,30,1350,4276,4826,0.76
Completed,0.58,31,4764,1365,1833,0.42
Completed,0.64,453,3144,3729,3174,0.627
Completed,0.63,157,435,661,169,0.039
Completed,0.64,321,1204,2515,1923,0.197
Completed,0.58,31,2722,616,3920,0.608
Completed,0.59,117,4229,4467,1075,0.316
Completed,0.58,31,2163,2413,3084,0.974
Completed,0.6,101,2339,3407,632,0.551
