Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.74,5,1941,3529,0.428,33,0.01
Completed,0.75,11,1649,633,0.001,50,0.25
Completed,0.74,6,1604,1894,0.605,21,0.01
Completed,0.73,4,1,2556,0.534,34,0.001
Completed,0.74,7,4124,2248,0.454,16,0.001
Completed,0.74,14,5000,1394,0.478,23,0.005
Completed,0.74,5,1604,1834,0.392,1,0.05
Completed,0.74,14,4922,1857,0.413,1,0.001
Completed,0.75,7,5000,1512,0.001,29,0.25
Completed,0.74,5,1852,2082,0.507,35,0.001
Completed,0.75,6,4918,1621,0.356,26,0.05
Completed,0.75,7,2666,565,0.018,27,0.05
Completed,0.75,8,903,607,0.999,12,0.025
Completed,0.73,5,213,508,0.525,4,0.1
Completed,0.73,4,1,464,0.531,1,0.025
Completed,0.75,6,998,909,0.544,39,0.005
Completed,0.75,15,3697,757,0.477,19,0.005
Completed,0.75,7,3825,1451,0.386,1,0.05
Completed,0.74,4,4474,3407,0.795,22,0.1
Completed,0.73,6,4289,3083,0.405,50,0.05
Completed,0.74,5,2677,1183,0.999,31,0.005
Completed,0.74,16,1707,321,0.001,5,0.25
Completed,0.75,10,4466,810,0.964,4,0.005
Completed,0.74,7,4668,1864,0.732,31,0.05
Completed,0.73,5,5000,3229,0.314,24,0.05
Completed,0.74,5,2957,1855,0.706,14,0.05
Completed,0.74,5,4637,3520,0.493,32,0.1
Completed,0.74,5,1675,2116,0.752,29,0.005
Completed,0.73,4,3980,4537,0.75,38,0.001
Completed,0.75,9,1126,682,0.442,1,0.005
Completed,0.74,4,1852,3528,0.427,21,0.005
Completed,0.75,9,2726,473,0.933,29,0.005
Completed,0.74,6,4159,3926,0.958,48,0.01
Completed,0.73,5,1667,3286,0.597,24,0.025
Completed,0.74,6,3881,1711,0.285,1,0.25
Completed,0.74,7,3474,2176,0.621,35,0.001
Completed,0.74,73,1890,2094,0.166,12,0.001
Completed,0.73,4,3988,4696,0.225,17,0.1
Completed,0.73,3,135,3235,0.616,19,0.001
Completed,0.73,4,909,4500,0.74,35,0.001
Completed,0.74,8,3779,1900,0.722,16,0.005
Completed,0.73,3,295,3057,0.454,1,0.025
Completed,0.74,6,5000,2491,0.892,30,0.05
