Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.56,2,1525,284,0.999,1,0.1
Completed,0.55,2,952,636,0.999,1,0.1
Completed,0.55,0,3791,2521,0.001,1,0.25
Completed,0.55,0,2411,5000,0.001,1,0.005
Completed,0.55,0,3975,2919,0.001,1,0.1
Completed,0.55,0,3367,1300,0.999,1,0.005
Completed,0.55,1,1,317,0.999,1,0.05
Completed,0.55,2,246,320,0.999,50,0.05
Completed,0.56,2,3889,290,0.999,50,0.025
Completed,0.55,0,1072,2131,0.999,1,0.005
Completed,0.55,1,3803,1327,0.999,1,0.1
Completed,0.55,0,2378,2227,0.999,50,0.1
Completed,0.55,0,2440,4689,0.001,50,0.05
Completed,0.55,1,947,644,0.999,1,0.025
Completed,0.55,0,1495,3957,0.001,50,0.01
Completed,0.55,1,4992,1867,0.999,1,0.001
Completed,0.55,0,70,2243,0.001,1,0.25
Completed,0.56,3,1627,282,0.999,50,0.025
Completed,0.56,2,1094,336,0.999,1,0.005
Completed,0.55,1,4050,1254,0.999,50,0.1
Completed,0.55,0,3359,2485,0.001,50,0.001
Completed,0.55,0,630,3356,0.999,1,0.025
Completed,0.56,2,877,339,0.999,1,0.05
Completed,0.55,0,914,3950,0.999,1,0.1
Completed,0.55,0,3915,4761,0.001,1,0.1
Completed,0.55,0,1261,4275,0.999,50,0.1
Completed,0.55,1,1184,1350,0.001,1,0.001
Completed,0.55,0,645,1299,0.001,1,0.005
Completed,0.55,0,3489,3112,0.999,50,0.1
Completed,0.55,0,3791,4797,0.999,50,0.025
Completed,0.56,2,813,304,0.999,50,0.025
Completed,0.55,0,4579,2543,0.999,50,0.05
Completed,0.55,0,3296,3480,0.001,1,0.001
Completed,0.55,0,922,1962,0.999,50,0.25
Completed,0.55,1,957,604,0.999,1,0.025
Completed,0.55,0,3732,4270,0.999,50,0.005
Completed,0.56,3,4222,283,0.999,50,0.1
Completed,0.55,0,3982,3707,0.001,1,0.1
Completed,0.55,0,2788,2917,0.001,50,0.1
Completed,0.55,0,2572,4355,0.999,50,0.1
Completed,0.55,0,1074,5000,0.999,50,0.001
Completed,0.55,0,1122,4575,0.001,1,0.1
Completed,0.55,0,5000,2527,0.999,1,0.1
Completed,0.55,0,1591,4690,0.001,50,0.025
Completed,0.57,7,4899,94,0.999,50,0.025
Completed,0.55,1,1333,1313,0.999,50,0.05
Completed,0.55,0,4357,4234,0.999,17,0.25
Completed,0.55,0,4022,2148,0.001,50,0.001
Completed,0.55,0,1,1801,0.999,50,0.001
Completed,0.55,1,1022,593,0.999,1,0.1
Completed,0.57,3,3848,248,0.999,1,0.025
Completed,0.55,0,758,3005,0.001,50,0.01
Completed,0.58,4,4882,187,0.999,50,0.025
Completed,0.55,0,1082,4120,0.999,1,0.01
Completed,0.55,0,2989,3239,0.999,1,0.1
Completed,0.56,2,1074,337,0.999,1,0.25
Completed,0.55,1,3735,1226,0.999,50,0.25
Completed,0.55,0,1299,2328,0.001,1,0.005
Completed,0.55,0,874,4898,0.999,50,0.025
Completed,0.55,1,970,556,0.999,1,0.025
Completed,0.56,3,4344,286,0.999,50,0.025
Completed,0.55,0,5000,2120,0.999,1,0.1
Completed,0.55,0,3432,2679,0.001,50,0.01
Completed,0.55,1,3287,1212,0.999,50,0.025
Completed,0.55,0,4967,1675,0.999,1,0.005
Completed,0.56,2,1063,336,0.999,1,0.025
Completed,0.56,3,1740,273,0.999,50,0.1
Completed,0.55,0,1331,4900,0.999,50,0.005
Completed,0.55,0,1062,4136,0.999,1,0.025
Completed,0.56,2,1014,337,0.999,1,0.05
Completed,0.56,2,953,349,0.999,1,0.005
Completed,0.55,0,1801,2937,0.001,1,0.1
Completed,0.55,0,4042,2219,0.001,1,0.1
Completed,0.56,3,1696,277,0.999,1,0.1
Completed,0.55,0,1881,1669,0.001,1,0.1
Completed,0.56,3,4537,282,0.999,50,0.025
Completed,0.56,2,1046,345,0.999,50,0.025
Completed,0.55,0,1004,2558,0.001,50,0.01
Completed,0.55,1,984,554,0.999,50,0.1
Completed,0.55,0,3254,3337,0.001,50,0.025
Completed,0.55,0,3872,3959,0.999,1,0.25
Completed,0.56,2,984,342,0.999,50,0.01
Completed,0.55,0,5000,1983,0.001,50,0.1
Completed,0.55,0,3342,4327,0.001,1,0.25
Completed,0.56,2,771,348,0.999,1,0.005
Completed,0.56,2,772,354,0.999,1,0.001
Completed,0.55,0,1664,3567,0.001,50,0.005
Completed,0.55,0,2903,5000,0.001,50,0.025
Completed,0.55,0,3824,3918,0.001,1,0.1
Completed,0.55,0,4081,2818,0.001,1,0.001
Completed,0.55,0,3883,3561,0.001,1,0.25
Completed,0.57,3,4445,270,0.999,50,0.025
Completed,0.55,1,1,332,0.999,50,0.005
Completed,0.55,0,959,3070,0.001,1,0.25
Completed,0.56,2,760,347,0.999,1,0.25
Completed,0.55,2,920,513,0.999,50,0.1
Completed,0.55,1,975,1242,0.001,1,0.25
Completed,0.55,0,1006,3841,0.001,50,0.1
Completed,0.55,0,1,4441,0.999,50,0.25
Completed,0.55,0,3428,4509,0.001,50,0.01
Completed,0.56,2,3745,261,0.999,1,0.025
Completed,0.55,1,320,386,0.999,1,0.025
Completed,0.56,1,435,388,0.999,1,0.025
Completed,0.55,0,3844,5000,0.001,50,0.1
Completed,0.55,0,1804,4573,0.001,1,0.025
Completed,0.55,0,4311,4321,0.999,1,0.05
Completed,0.55,0,3547,1719,0.999,1,0.01
Completed,0.55,0,1108,3491,0.999,1,0.005
Completed,0.55,0,1213,3568,0.001,50,0.25
Completed,0.56,2,1584,285,0.999,1,0.025
Completed,0.55,0,2130,3361,0.001,1,0.1
Completed,0.57,4,4956,193,0.999,1,0.1
Completed,0.55,1,2741,1251,0.999,50,0.01
Completed,0.55,1,1,338,0.999,1,0.025
Completed,0.55,0,3020,2504,0.001,1,0.025
Completed,0.55,0,1078,5000,0.001,50,0.1
Completed,0.55,0,1534,2213,0.999,50,0.05
Completed,0.55,0,3642,2254,0.001,1,0.25
Completed,0.55,0,1322,4562,0.999,1,0.05
Completed,0.55,0,1,1129,0.001,1,0.005
Completed,0.57,3,4584,261,0.999,50,0.025
Completed,0.56,2,867,351,0.999,1,0.025
Completed,0.57,2,3351,280,0.999,1,0.05
Completed,0.55,0,4103,4223,0.001,50,0.025
Completed,0.55,0,545,2279,0.803,35,0.25
Completed,0.55,0,5000,5000,0.705,31,0.05
Completed,0.55,0,794,4973,0.724,37,0.001
Completed,0.55,0,1866,4799,0.458,28,0.01
Completed,0.55,0,430,3649,0.915,7,0.005
Completed,0.55,0,1154,4222,0.533,50,0.025
Completed,0.55,0,4985,4155,0.61,1,0.001
Completed,0.55,0,608,2199,0.33,9,0.1
Completed,0.55,0,4099,3560,0.994,44,0.025
Completed,0.55,0,4555,1377,0.104,4,0.01
Completed,0.55,0,780,2514,0.689,44,0.1
Completed,0.55,0,4604,3599,0.749,50,0.1
Completed,0.55,1,2169,975,0.54,32,0.05
Completed,0.55,0,3160,4827,0.128,17,0.025
Completed,0.55,0,3855,4272,0.864,8,0.25
Completed,0.55,0,3591,1991,0.65,14,0.025
Completed,0.55,0,1287,1623,0.908,24,0.1
Completed,0.55,1,4955,831,0.226,46,0.05
Completed,0.55,0,5000,3391,0.678,8,0.025
Completed,0.55,0,5000,5000,0.518,10,0.025
Completed,0.57,4,5000,165,0.999,1,0.05
Completed,0.55,0,5000,2713,0.707,6,0.05
Completed,0.57,3,5000,232,0.999,6,0.05
Completed,0.57,3,3909,207,0.999,50,0.025
Completed,0.55,0,1280,3744,0.999,1,0.01
Completed,0.55,1,3924,1645,0.863,7,0.1
Completed,0.55,0,235,3690,0.01,29,0.25
Completed,0.55,1,2057,202,0.319,40,0.05
Completed,0.55,0,3393,4425,0.557,24,0.005
Completed,0.55,1,2682,838,0.237,47,0.001
Completed,0.55,0,1517,3794,0.889,19,0.01
Completed,0.55,0,799,2276,0.688,1,0.005
Completed,0.55,0,4610,3054,0.434,36,0.025
Completed,0.56,2,4850,339,0.563,35,0.001
Completed,0.55,0,1186,4874,0.309,7,0.01
Completed,0.55,0,1758,1548,0.113,14,0.1
Completed,0.55,0,3069,3280,0.763,49,0.05
Completed,0.55,0,3633,2179,0.444,20,0.025
Completed,0.55,0,2444,2644,0.682,42,0.1
Completed,0.55,1,476,975,0.988,28,0.001
Completed,0.55,0,4311,4243,0.134,12,0.25
