Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.05,1153,3205,0.084
Completed,0.04,387,2090,0.766
Completed,0.05,1452,653,0.309
Completed,0.05,1455,4678,0.618
Completed,0.07,1271,4487,0.258
Completed,0.05,1560,846,0.564
Completed,0.07,1476,1892,0.109
Completed,0.05,1371,3404,0.791
Completed,0.05,1458,2601,0.244
Completed,0.04,1625,1480,0.933
Completed,0.05,381,7,0.393
Completed,0.05,1595,4038,0.707
Completed,0.07,1343,4254,0.057
Completed,0.04,1454,453,0.871
Completed,0.05,1487,1811,0.33
Completed,0.04,1018,2859,0.52
Completed,0.05,1392,3619,0.445
Completed,0.05,1380,2337,0.627
Completed,0.05,1544,1176,0.172
Completed,0.06,1334,4744,0.978
Completed,0.06,1306,4794,0.478
Completed,0.05,1469,1165,0.668
Completed,0.05,1310,2189,0.127
Completed,0.05,1387,3729,0.941
Completed,0.1,1604,2930,0.024
Completed,0.05,1593,1780,0.83
Completed,0.04,1765,324,0.375
Completed,0.06,1412,4344,0.557
Completed,0.07,1336,3928,0.211
Completed,0.05,1372,156,0.892
Completed,0.05,806,1493,0.437
Completed,0.04,420,2550,0.745
Completed,0.05,1111,3313,0.291
Completed,0.05,770,2022,0.606
Completed,0.05,1228,878,0.065
Completed,0.06,1326,4415,0.753
Completed,0.07,1424,4535,0.12
Completed,0.05,1484,757,0.812
Completed,0.05,590,2136,0.269
Completed,0.05,1612,3198,0.585
Completed,0.04,1500,2670,0.38
Completed,0.05,1567,1373,0.688
Completed,0.04,1510,271,0.231
Completed,0.05,1615,3814,0.915
Completed,0.06,1330,4147,0.318
Completed,0.04,1313,521,0.501
Completed,0.1,1695,1586,0.044
Completed,0.04,1108,3123,0.853
Completed,0.06,1606,3532,0.183
Completed,0.04,1458,2386,0.999
Completed,0.05,1641,971,0.456
Completed,0.05,1434,4988,0.647
Completed,0.06,1321,4941,0.365
Completed,0.04,1214,979,0.548
Completed,0.05,1223,2375,0.03
Completed,0.05,1600,3582,0.836
Completed,0.05,1360,3056,0.137
Completed,0.05,1288,1614,0.95
