Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.04,6,438,16,3188,str('H'),1,str('stdev'),0.013,65
Completed,0.08,3,4124,9,1044,str('KL'),2,str('tstat'),0.611,28
Completed,0.05,4,2945,13,4101,str('H'),2,str('tstat'),0.809,23
Completed,0.04,8,1635,1,1400,str('KL'),1,str('stdev'),0.316,86
Completed,0.04,29,2386,10,12,str('KL'),1,str('tstat'),0.99,50
Completed,0.04,4,3738,4,2946,str('H'),3,str('stdev'),0.384,62
Completed,0.04,4,4894,18,2233,str('KL'),2,str('stdev'),0.195,89
Completed,0.04,4,1250,7,4454,str('H'),3,str('tstat'),0.681,1
Completed,0.04,4,784,15,2160,str('H'),2,str('tstat'),0.908,78
Completed,0.04,4,4636,0,4860,str('KL'),3,str('stdev'),0.466,15
Completed,0.04,4,3292,18,554,str('H'),2,str('stdev'),0.145,36
Completed,0.08,3,2149,9,2696,str('KL'),3,str('tstat'),0.732,73
Completed,0.04,4,1337,20,4009,str('KL'),3,str('stdev'),0.087,13
Completed,0.04,11,2522,6,1786,str('H'),1,str('tstat'),0.538,100
Completed,0.06,3,3844,12,3750,str('KL'),2,str('tstat'),0.853,51
Completed,0.04,5,34,3,815,str('H'),3,str('stdev'),0.274,39
Completed,0.06,3,48,14,3477,str('KL'),3,str('stdev'),0.178,55
Completed,0.04,6,3887,0,711,str('H'),1,str('tstat'),0.698,43
Completed,0.05,3,2556,17,3765,str('KL'),2,str('tstat'),0.878,8
Completed,0.06,10,1400,8,1692,str('H'),1,str('stdev'),0.494,96
Completed,0.04,5,2154,20,345,str('H'),3,str('tstat'),0.827,32
Completed,0.06,4,3346,5,2656,str('KL'),2,str('stdev'),0.298,69
Completed,0.04,7,4660,11,1942,str('H'),2,str('stdev'),0.124,82
Completed,0.04,4,858,2,4790,str('KL'),2,str('tstat'),0.5,19
Completed,0.04,9,1177,16,2493,str('KL'),1,str('tstat'),0.776,91
Completed,0.04,3,4870,10,4570,str('H'),2,str('stdev'),0.35,4
Completed,0.05,5,3684,13,262,str('KL'),3,str('stdev'),0.043,47
Completed,0.04,5,2381,2,3032,str('H'),1,str('tstat'),0.583,60
Completed,0.04,4,1572,11,4298,str('H'),3,str('stdev'),0.221,21
Completed,0.04,7,2911,4,1453,str('KL'),2,str('tstat'),0.656,83
Completed,0.04,4,4080,19,3414,str('H'),3,str('tstat'),0.953,68
Completed,0.04,4,424,7,1106,str('KL'),1,str('stdev'),0.421,30
Completed,0.04,4,594,18,4385,str('H'),2,str('tstat'),0.324,73
Completed,0.04,4,4280,7,2308,str('KL'),3,str('stdev'),0.802,35
Completed,0.04,3,3101,10,2866,str('H'),1,str('stdev'),0.62,16
Completed,0.04,5,1791,4,96,str('KL'),3,str('tstat'),0.006,79
Completed,0.05,4,2230,13,1326,str('KL'),2,str('stdev'),0.673,39
Completed,0.04,5,3581,1,4171,str('H'),1,str('tstat'),0.204,52
Completed,0.04,16,4738,16,960,str('KL'),1,str('tstat'),0.376,99
Completed,0.08,3,1094,9,3268,str('H'),3,str('stdev'),0.998,12
Completed,0.06,6,628,12,896,str('H'),1,str('stdev'),0.723,86
Completed,0.04,4,4480,3,3663,str('KL'),3,str('tstat'),0.152,24
Completed,0.04,4,3136,20,1858,str('H'),3,str('tstat'),0.457,27
Completed,0.04,5,1992,6,3932,str('KL'),2,str('stdev'),0.915,65
Completed,0.04,8,1493,18,2783,str('KL'),1,str('tstat'),0.281,1
Completed,0.06,4,2679,8,472,str('H'),3,str('stdev'),0.844,88
Completed,0.04,5,4000,15,4936,str('KL'),1,str('stdev'),0.545,63
Completed,0.04,4,190,0,2088,str('H'),2,str('tstat'),0.079,50
Completed,0.05,6,254,17,229,str('H'),2,str('tstat'),0.789,52
Completed,0.06,4,3937,8,3085,str('KL'),1,str('stdev'),0.335,40
Completed,0.06,3,2742,14,2373,str('H'),1,str('stdev'),0.026,11
Completed,0.04,4,1430,0,4672,str('KL'),3,str('tstat'),0.601,99
Completed,0.06,3,1890,12,3283,str('KL'),2,str('stdev'),0.206,38
Completed,0.04,4,3238,3,1217,str('H'),3,str('tstat'),0.668,75
Completed,0.04,6,4377,19,4275,str('KL'),1,str('tstat'),0.972,76
Completed,0.06,4,731,5,1496,str('H'),2,str('stdev'),0.404,13
Completed,0.06,8,991,14,3869,str('H'),1,str('stdev'),0.132,91
Completed,0.04,4,4840,2,1569,str('KL'),3,str('tstat'),0.742,4
Completed,0.04,4,3479,16,3533,str('H'),3,str('tstat'),0.928,47
Completed,0.04,5,2332,10,675,str('KL'),2,str('stdev'),0.447,60
Completed,0.04,4,1855,19,1987,str('KL'),2,str('tstat'),0.871,24
Completed,0.04,4,3038,7,4764,str('H'),3,str('stdev'),0.253,87
Completed,0.04,5,4343,11,458,str('KL'),3,str('stdev'),0.076,64
Completed,0.04,4,531,4,2523,str('H'),3,str('tstat'),0.55,27
Completed,0.04,4,331,11,1755,str('KL'),3,str('stdev'),0.709,72
Completed,0.04,4,4173,4,4055,str('H'),2,str('tstat'),0.165,35
Completed,0.04,4,2818,18,841,str('KL'),3,str('tstat'),0.476,16
Completed,0.04,6,1665,6,3698,str('H'),1,str('stdev'),0.899,79
Completed,0.04,4,2435,15,4891,str('H'),3,str('tstat'),0.294,43
Completed,0.08,4,3630,9,2114,str('KL'),1,str('stdev'),0.83,55
Completed,0.05,4,4923,13,2670,str('H'),2,str('stdev'),0.528,96
Completed,0.04,5,1123,1,605,str('KL'),3,str('tstat'),0.098,8
Completed,0.04,4,912,20,2899,str('KL'),3,str('tstat'),0.368,83
Completed,0.06,5,4607,5,43,str('H'),2,str('stdev'),0.756,21
Completed,0.05,4,3400,13,4506,str('KL'),2,str('stdev'),0.572,30
Completed,0.04,6,2100,3,2206,str('H'),1,str('tstat'),0.055,68
Completed,0.04,5,1307,15,1091,str('H'),1,str('stdev'),0.627,7
Completed,0.04,4,2649,1,3156,str('KL'),2,str('tstat'),0.247,94
Completed,0.05,5,3795,17,1349,str('H'),3,str('tstat'),0.426,57
Completed,0.06,5,141,8,4128,str('KL'),1,str('stdev'),0.95,44
Completed,0.05,4,156,17,3068,str('H'),1,str('stdev'),0.874,34
Completed,0.06,5,3800,8,221,str('KL'),3,str('tstat'),0.252,71
Completed,0.04,6,2643,15,4685,str('H'),3,str('tstat'),0.078,80
Completed,0.04,5,1292,1,2374,str('KL'),2,str('stdev'),0.547,17
Completed,0.05,6,2104,13,1225,str('KL'),2,str('tstat'),0.131,56
Completed,0.04,6,3414,3,3300,str('H'),1,str('stdev'),0.745,44
Completed,0.04,4,4593,20,1494,str('KL'),3,str('stdev'),0.926,7
Completed,0.06,11,907,5,4262,str('H'),1,str('tstat'),0.448,95
Completed,0.05,5,1127,13,1577,str('H'),3,str('tstat'),0.205,22
Completed,0.04,7,4937,1,3886,str('KL'),1,str('stdev'),0.671,85
Completed,0.04,5,3616,15,674,str('H'),3,str('stdev'),0.968,67
Completed,0.08,3,2431,9,3520,str('KL'),2,str('tstat'),0.405,29
Completed,0.04,4,1680,18,4748,str('KL'),3,str('stdev'),0.792,93
Completed,0.04,4,2824,6,1979,str('H'),1,str('tstat'),0.334,5
Completed,0.04,4,4167,11,2536,str('KL'),1,str('tstat'),0.026,45
Completed,0.04,7,316,4,460,str('H'),2,str('stdev'),0.598,58
Completed,0.04,5,545,11,4052,str('KL'),1,str('tstat'),0.626,41
Completed,0.04,4,4347,4,1743,str('H'),3,str('stdev'),0.25,53
Completed,0.04,4,3033,19,3705,str('KL'),2,str('stdev'),0.422,98
Completed,0.04,5,1841,7,859,str('H'),1,str('tstat'),0.951,10
Completed,0.04,6,2338,16,2125,str('H'),1,str('stdev'),0.371,74
Completed,0.04,3,3494,10,4894,str('KL'),2,str('tstat'),0.755,37
Completed,0.06,4,4825,14,587,str('H'),2,str('tstat'),0.572,14
Completed,0.04,4,986,2,2663,str('KL'),3,str('stdev'),0.052,77
Completed,0.04,5,736,19,55,str('KL'),3,str('stdev'),0.297,2
Completed,0.06,4,4392,5,2902,str('H'),2,str('tstat'),0.829,90
Completed,0.06,4,3223,12,2189,str('KL'),1,str('tstat'),0.53,61
Completed,0.04,4,1884,3,4499,str('H'),3,str('stdev'),0.095,49
Completed,0.06,7,1444,14,3153,str('H'),1,str('tstat'),0.708,88
Completed,0.04,4,2746,0,1079,str('KL'),3,str('stdev'),0.168,25
Completed,0.05,3,3932,17,4135,str('H'),2,str('stdev'),0.474,26
Completed,0.06,4,240,8,1367,str('KL'),3,str('tstat'),0.9,63
Completed,0.04,6,186,15,716,str('KL'),1,str('tstat'),0.222,36
Completed,0.04,4,3986,0,3497,str('H'),2,str('stdev'),0.653,74
Completed,0.04,6,2693,18,1688,str('KL'),2,str('stdev'),0.955,77
Completed,0.06,5,1498,8,3755,str('H'),3,str('tstat'),0.419,15
Completed,0.04,4,1977,20,2637,str('H'),1,str('stdev'),0.773,51
Completed,0.04,5,3130,6,339,str('KL'),3,str('tstat'),0.35,38
Completed,0.06,3,4485,12,4800,str('H'),2,str('tstat'),0.041,13
Completed,0.04,11,643,3,1946,str('KL'),1,str('stdev'),0.585,100
Completed,0.04,4,1079,16,4551,str('KL'),1,str('stdev'),0.824,23
Completed,0.08,3,4732,9,2488,str('H'),3,str('tstat'),0.3,85
Completed,0.05,5,3587,13,3043,str('KL'),1,str('tstat'),0.124,66
Completed,0.04,5,2245,1,266,str('H'),3,str('stdev'),0.504,28
Completed,0.04,5,1787,10,1458,str('H'),3,str('tstat'),0.179,89
Completed,0.04,4,3087,4,4317,str('KL'),2,str('stdev'),0.696,2
Completed,0.04,6,4294,18,1102,str('H'),1,str('stdev'),0.882,49
Completed,0.04,4,599,6,3404,str('KL'),3,str('tstat'),0.494,62
Completed,0.04,4,419,19,2322,str('H'),2,str('stdev'),0.278,41
Completed,0.04,5,4065,7,4386,str('KL'),1,str('tstat'),0.846,54
Completed,0.04,5,2926,11,81,str('H'),3,str('tstat'),0.545,97
Completed,0.04,4,1578,4,2857,str('KL'),1,str('stdev'),0.083,10
Completed,0.05,5,2367,13,4170,str('KL'),1,str('tstat'),0.725,71
Completed,0.04,5,3679,2,1312,str('H'),2,str('stdev'),0.15,33
Completed,0.04,4,4874,16,3277,str('KL'),3,str('stdev'),0.461,18
Completed,0.04,6,1191,10,975,str('H'),1,str('tstat'),0.915,81
