Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.33,810,132,67,0.345,1
Completed,0.33,346,2057,0,0.146,480
Completed,0.28,323,2050,43,0.387,1
Completed,0.17,16,3399,110,0.452,4488
Completed,0.17,16,250,0,0.707,5000
Completed,0.17,16,863,54,0.999,3725
Completed,0.17,15,2318,99,0.999,5000
Completed,0.17,16,5000,127,0.482,4131
Completed,0.25,6250,3724,67,0.001,5000
Completed,0.2,15,3340,123,0.999,4224
Completed,0.17,16,4961,127,0.999,4867
Completed,0.17,17,1241,0,0.999,4987
Completed,0.17,15,3052,127,0.806,5000
Completed,0.17,13,1,64,0.527,1
Completed,0.17,16,1476,127,0.673,1842
Completed,0.17,19,2995,0,0.905,3891
Completed,0.17,17,4089,0,0.469,5000
Completed,0.17,15,4312,27,0.609,5000
Completed,0.19,2476,1831,71,0.14,5000
Completed,0.17,13,2249,85,0.84,1777
Completed,0.26,6699,1761,107,0.001,4836
Completed,0.28,3338,4012,0,0.808,130
Completed,0.17,25,764,127,0.939,4716
Completed,0.17,19,970,127,0.541,4336
Completed,0.17,14,4370,86,0.466,4267
Completed,0.17,14,1084,0,0.448,5000
Completed,0.17,18,2151,101,0.909,4090
Completed,0.17,15,792,86,0.322,5000
Completed,0.21,832,384,80,0.131,5000
Completed,0.17,14,2338,0,0.652,1631
Completed,0.17,13,3371,83,0.999,1439
Completed,0.17,16,1,127,0.576,4508
Completed,0.17,11,3425,0,0.999,276
Completed,0.21,270,2632,127,0.189,5000
Completed,0.3,6210,4925,0,0.249,2062
Completed,0.17,15,4072,0,0.999,4948
Completed,0.17,16,2133,127,0.369,5000
Completed,0.17,16,5000,66,0.878,4383
Completed,0.17,17,1,16,0.105,1
Completed,0.17,14,4743,0,0.708,1114
Completed,0.17,14,5000,0,0.579,2492
Completed,0.17,15,3472,127,0.875,3876
Completed,0.17,13,419,0,0.899,1595
Completed,0.17,15,2757,0,0.848,2314
Completed,0.3,353,5000,0,0.695,547
Completed,0.33,170,2026,0,0.043,378
Completed,0.17,14,3028,68,0.792,3924
Completed,0.17,15,3610,0,0.879,1793
Completed,0.17,16,4672,0,0.945,3676
Completed,0.17,15,4707,0,0.423,3962
Completed,0.17,15,1661,127,0.905,4662
Completed,0.17,14,4413,127,0.827,4238
Completed,0.19,175,2855,127,0.32,3295
Completed,0.17,17,2445,127,0.88,3145
Completed,0.17,14,1,0,0.458,3736
Completed,0.17,16,3855,82,0.903,5000
Completed,0.17,16,146,29,0.422,5000
Completed,0.17,13,223,42,0.835,1002
Completed,0.17,15,999,127,0.582,2204
Completed,0.17,14,2094,127,0.661,3792
Completed,0.17,18,1,120,0.013,3981
Completed,0.17,17,4048,127,0.447,3846
Completed,0.17,16,1366,127,0.544,3775
Completed,0.3,204,4649,0,0.727,755
Completed,0.26,12,3424,25,0.588,3881
Completed,0.17,16,5000,36,0.474,3976
Completed,0.17,13,3538,0,0.606,1452
Completed,0.17,16,2848,64,0.582,4755
Completed,0.17,15,4109,127,0.999,1901
Completed,0.17,18,1623,46,0.839,2036
Completed,0.17,13,3978,0,0.999,342
Completed,0.17,15,1,127,0.999,3766
Completed,0.26,286,229,15,0.301,1988
Completed,0.17,18,1,0,0.108,1373
Completed,0.27,385,3915,52,0.562,1721
Completed,0.17,14,72,0,0.548,2068
Completed,0.16,45,2088,77,0.577,481
Completed,0.17,18,1,64,0.1,4298
Completed,0.18,169,2872,60,0.558,1952
Completed,0.17,18,3181,0,0.471,3433
Completed,0.17,203,2916,0,0.396,3647
Completed,0.17,15,4163,127,0.821,3366
Completed,0.17,14,123,127,0.714,2540
Completed,0.17,11,1717,54,0.945,114
Completed,0.17,15,1000,0,0.603,3462
Completed,0.17,16,4714,64,0.829,5000
Completed,0.17,18,1,104,0.162,1
Completed,0.17,14,2901,127,0.872,3086
Completed,0.17,16,897,0,0.844,3968
Completed,0.17,16,3564,55,0.803,4984
Completed,0.17,14,4661,0,0.999,304
Completed,0.17,16,2786,75,0.321,5000
Completed,0.17,22,3819,50,0.725,3822
Completed,0.17,14,4525,0,0.782,1306
Completed,0.17,16,3787,127,0.491,3031
Completed,0.17,17,1,39,0.623,54
Completed,0.17,14,1,127,0.501,1700
Completed,0.17,17,3940,16,0.454,3484
Completed,0.17,13,352,0,0.999,2616
Completed,0.17,16,4707,0,0.503,3490
Completed,0.17,15,1606,119,0.934,764
Completed,0.17,20,1,0,0.195,2245
Completed,0.17,15,1228,0,0.56,1824
Completed,0.29,359,5000,0,0.718,849
Completed,0.17,16,491,0,0.581,4559
Completed,0.17,16,3322,93,0.857,1962
Completed,0.17,23,3252,127,0.924,4656
Completed,0.2,3309,4973,96,0.147,4901
Completed,0.17,16,30,127,0.871,4169
Completed,0.19,40,2004,0,0.083,357
Completed,0.17,21,720,0,0.347,4238
Completed,0.17,27,1,70,0.146,3352
Completed,0.17,17,4367,100,0.365,4968
Completed,0.17,15,3691,127,0.836,3221
Completed,0.17,16,398,0,0.432,2799
Completed,0.17,17,4282,0,0.637,1531
Completed,0.17,14,5000,0,0.654,2015
Completed,0.17,15,484,83,0.655,4345
Completed,0.17,14,4167,101,0.492,2279
Completed,0.17,15,2012,55,0.644,5000
Completed,0.17,17,4822,127,0.79,3074
Completed,0.17,14,3946,68,0.75,5000
Completed,0.17,18,3797,15,0.931,4242
Completed,0.17,13,575,127,0.999,1961
Completed,0.3,655,5000,0,0.76,207
