Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.57,1181,119,0,0.999,4274
Completed,0.61,28,4277,3,0.999,5000
Completed,0.57,64,3700,1,0.688,2560
Completed,0.57,40,396,7,0.999,5000
Completed,0.61,29,3947,3,0.999,2566
Completed,0.57,35,5000,1,0.999,1936
Completed,0.57,30,1686,1,0.27,624
Completed,0.57,38,4778,7,0.999,5000
Completed,0.61,32,4586,3,0.999,3124
Completed,0.57,44,3434,1,0.999,5000
Completed,0.57,34,4300,1,0.999,1585
Completed,0.57,36,3732,7,0.999,2901
Completed,0.57,1175,109,0,0.438,3542
Completed,0.57,35,3039,7,0.999,2275
Completed,0.62,1198,860,3,0.605,3121
Completed,0.57,48,1294,1,0.32,4566
Completed,0.57,65,1,7,0.464,1641
Completed,0.57,39,3690,6,0.999,2629
Completed,0.61,36,1,3,0.999,2588
Completed,0.63,242,2203,3,0.587,4725
Completed,0.62,27,1,3,0.47,1686
Completed,0.57,40,755,6,0.999,3942
Completed,0.61,36,1419,3,0.999,2921
Completed,0.61,34,2435,3,0.999,3239
Completed,0.61,737,1343,3,0.731,4824
Completed,0.57,38,172,6,0.999,3739
Completed,0.63,290,2215,3,0.377,4953
Completed,0.63,68,2112,3,0.788,5000
Completed,0.61,31,954,3,0.999,5000
Completed,0.61,30,544,3,0.999,2975
Completed,0.57,40,3287,7,0.999,5000
Completed,0.7,40,1,3,0.001,4284
Completed,0.57,36,2924,6,0.999,5000
Completed,0.57,40,3712,6,0.866,5000
Completed,0.57,46,647,2,0.89,5000
Completed,0.57,39,4284,7,0.999,1628
Completed,0.61,32,440,3,0.999,5000
Completed,0.57,35,1485,1,0.63,764
Completed,0.57,40,4161,1,0.573,5000
Completed,0.57,37,1,1,0.619,2244
Completed,0.61,29,2833,3,0.999,5000
Completed,0.57,39,4555,2,0.999,5000
Completed,0.57,34,3599,1,0.43,1743
Completed,0.59,43,1,5,0.542,1335
Completed,0.57,39,2601,7,0.999,3615
Completed,0.74,1862,2320,3,0.245,1
Completed,0.57,40,2149,7,0.999,5000
Completed,0.57,30,1961,1,0.438,591
Completed,0.57,59,633,5,0.999,4680
Completed,0.74,348,95,3,0.001,1271
Completed,0.57,40,1309,7,0.999,3363
Completed,0.57,130,2009,0,0.999,1680
Completed,0.57,5391,618,0,0.999,5000
Completed,0.61,34,4854,3,0.999,2891
Completed,0.61,212,2047,4,0.357,997
Completed,0.57,50,4240,4,0.999,5000
Completed,0.57,38,1110,6,0.999,4685
Completed,0.57,35,4744,7,0.999,1961
Completed,0.61,28,2026,3,0.999,3075
Completed,0.57,43,4443,1,0.616,2770
Completed,0.57,39,2372,6,0.999,4098
Completed,0.57,40,2479,6,0.999,2001
Completed,0.65,2599,3618,5,0.943,1203
Completed,0.73,2969,2750,3,0.001,2482
Completed,0.62,399,2030,4,0.001,4111
Completed,0.57,43,2440,2,0.999,5000
Completed,0.57,45,4144,2,0.477,4048
Completed,0.57,43,4220,2,0.999,2927
Completed,0.57,2349,125,2,0.598,1
Completed,0.57,47,3601,1,0.185,4892
Completed,0.61,1278,3962,3,0.742,5000
Completed,0.57,42,1149,2,0.499,3047
Completed,0.59,58,2001,5,0.258,4685
Completed,0.63,2153,1835,3,0.562,4456
Completed,0.61,40,2001,3,0.516,2532
Completed,0.57,46,1,1,0.505,5000
Completed,0.57,35,2937,2,0.282,2683
Completed,0.57,6779,982,7,0.38,5000
Completed,0.6,1191,276,5,0.797,4735
Completed,0.57,42,718,2,0.577,4796
Completed,0.57,39,2013,1,0.181,5000
Completed,0.57,40,475,4,0.999,4385
Completed,0.57,46,2845,2,0.532,5000
Completed,0.57,31,3498,2,0.238,411
Completed,0.57,58,4886,6,0.999,4848
Completed,0.57,45,3346,2,0.539,4005
Completed,0.58,51,1,5,0.001,3703
Completed,0.6,3448,1896,4,0.332,4474
Completed,0.59,167,2046,4,0.566,99
Completed,0.57,39,3717,2,0.401,1932
Completed,0.57,34,3229,1,0.116,1458
Completed,0.57,38,1998,1,0.511,3230
Completed,0.56,412,4795,1,0.25,436
Completed,0.57,44,1,6,0.658,1863
Completed,0.57,43,3019,4,0.999,5000
Completed,0.57,34,3261,1,0.554,1686
Completed,0.57,48,1,4,0.582,4068
Completed,0.57,35,452,6,0.999,3455
Completed,0.57,49,1,4,0.252,5000
Completed,0.57,39,3961,5,0.999,4668
Completed,0.57,46,4797,1,0.556,4407
Completed,0.61,33,1252,3,0.999,5000
Completed,0.57,40,5000,1,0.767,5000
Completed,0.57,55,2194,4,0.999,5000
Completed,0.57,40,3511,4,0.999,3420
Completed,0.57,35,4381,1,0.156,652
Completed,0.59,250,2817,6,0.916,189
Completed,0.57,47,1876,5,0.999,5000
Completed,0.57,36,814,1,0.761,2785
Completed,0.57,36,4501,6,0.999,3422
Completed,0.57,34,3511,2,0.941,2599
Completed,0.57,38,2183,6,0.826,4236
Completed,0.57,31,4660,1,0.327,784
Completed,0.57,36,2857,4,0.63,3356
Completed,0.73,1322,373,3,0.13,1779
Completed,0.57,38,574,4,0.993,4550
Completed,0.7,1464,3051,3,0.495,473
Completed,0.57,2961,1908,1,0.048,2095
Completed,0.59,375,2698,6,0.756,1881
Completed,0.61,5143,657,5,0.123,4781
Completed,0.57,24,3144,2,0.622,79
Completed,0.59,351,2434,6,0.741,1755
Completed,0.57,38,4959,1,0.242,3303
Completed,0.57,33,2522,4,0.808,836
Completed,0.68,48,7,3,0.309,4258
Completed,0.58,163,28,7,0.726,1207
Completed,0.57,37,2455,2,0.285,3719
Completed,0.57,29,637,1,0.914,381
Completed,0.6,8425,1204,6,0.358,656
Completed,0.57,34,3691,1,0.857,4089
Completed,0.62,1135,1278,3,0.66,3170
Completed,0.57,35,1887,5,0.972,2745
Completed,0.57,35,4412,2,0.473,2428
Completed,0.57,6862,3069,7,0.545,4992
Completed,0.57,10526,554,0,0.046,300
Completed,0.57,592,356,7,0.828,3686
Completed,0.57,9057,2881,0,0.329,1494
Completed,0.6,10177,4682,5,0.65,4056
Completed,0.57,38,2168,2,0.151,1239
Completed,0.61,1465,1544,4,0.464,345
Completed,0.61,26,4030,3,0.963,4402
Completed,0.57,37,1012,1,0.516,2861
Completed,0.57,38,3659,4,0.73,3055
Completed,0.71,3834,1135,3,0.231,2123
Completed,0.58,4569,791,7,0.626,197
Completed,0.57,38,1655,2,0.323,2691
Completed,0.63,2454,4767,3,0.511,1715
Completed,0.59,4964,2672,6,0.438,4143
Completed,0.57,37,187,1,0.937,720
Completed,0.57,37,278,4,0.565,2069
Completed,0.72,2845,2803,3,0.066,2991
Completed,0.59,394,4761,6,0.882,527
Completed,0.57,35,2246,1,0.383,4575
Completed,0.57,11374,1622,7,0.197,3847
Completed,0.61,9851,3409,5,0.253,3592
Completed,0.57,32,934,2,0.752,1390
Completed,0.57,34,3269,7,0.997,1430
Completed,0.57,7541,745,0,0.498,3632
Completed,0.57,38,1025,4,0.892,4361
Completed,0.72,2362,3540,3,0.393,929
Completed,0.59,8364,3945,6,0.586,3366
Completed,0.57,33,1421,1,0.087,1809
Completed,0.58,484,2056,7,0.275,2234
Completed,0.57,38,421,2,0.705,4717
Completed,0.61,3757,545,5,0.419,1297
Completed,0.57,37,3022,2,0.918,3489
Completed,0.57,195,2016,0,0.6,3784
Completed,0.57,36,1384,6,0.787,4677
Completed,0.57,30,3899,1,0.288,620
Completed,0.57,24,1056,2,0.436,52
Completed,0.57,40,711,6,0.955,1957
Completed,0.57,35,3226,1,0.456,2909
Completed,0.6,1306,4256,4,0.524,454
Completed,0.72,5611,1732,3,0.025,4531
Completed,0.61,3045,2370,5,0.337,3931
Completed,0.57,32,4846,2,0.836,1133
Completed,0.58,4262,2595,7,0.144,3636
Completed,0.57,1550,110,0,0.643,1464
Completed,0.6,1121,155,6,0.187,2954
Completed,0.57,33,2631,1,0.686,2031
Completed,0.59,2381,4891,4,0.364,4456
Completed,0.6,188,2406,3,0.863,409
Completed,0.61,11891,1775,5,0.551,1136
Completed,0.57,36,4290,2,0.052,3963
Completed,0.68,3669,4210,3,0.351,3220
Completed,0.59,2139,3346,6,0.668,763
Completed,0.57,39,822,1,0.169,4215
Completed,0.6,5352,1102,5,0.688,3467
Completed,0.57,34,3617,2,0.189,1285
Completed,0.57,6978,3866,7,0.759,3798
Completed,0.57,36,4456,1,0.573,4623
Completed,0.61,3869,2985,4,0.375,2178
Completed,0.6,163,501,3,0.874,3120
